                                 Started job on |	Aug 16 18:43:01
                             Started mapping on |	Aug 16 18:57:55
                                    Finished on |	Aug 16 18:58:17
       Mapping speed, Million of reads per hour |	163.57

                          Number of input reads |	999593
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	878758
                        Uniquely mapped reads % |	87.91%
                          Average mapped length |	106.55
                       Number of splices: Total |	404834
            Number of splices: Annotated (sjdb) |	399365
                       Number of splices: GT/AG |	401325
                       Number of splices: GC/AG |	2755
                       Number of splices: AT/AC |	384
               Number of splices: Non-canonical |	370
                      Mismatch rate per base, % |	0.40%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.69
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.30
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	105953
             % of reads mapped to multiple loci |	10.60%
        Number of reads mapped to too many loci |	242
             % of reads mapped to too many loci |	0.02%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	14576
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	64
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
