model	kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16
requested_revision	b0477522ac5d044ad03578aa724ec8e4bdbd405b
model_commit	b0477522ac5d044ad03578aa724ec8e4bdbd405b
python	3.10.14
torch	2.2.0+cpu
transformers	4.38.1
token_count	1001
mask_token_id	3
base_ids	A:7,C:8,G:9,T:10
output_vocab_size	16
position_0based	true_base	pred_base	base_entropy_bits	full_vocab_entropy_bits	non_acgt_probability
0	A	A	1.987596035	1.987596154	5.96046448e-08
499	A	A	1.574035048	1.574037313	1.1920929e-07
999	T	G	1.959801912	1.959807634	1.1920929e-07
