build	identity_z_score	best_z_score	best_assignment_observed_to_group
GRCh38	17.887279	17.887279	AIIamacrine->AIIamacrine;Astrocyte->Astrocyte;Cone->Cone;GABAamacrine->GABAamacrine;Horizontal->Horizontal;Microglia->Microglia;Mullerglia->Mullerglia;Retinalganglioncell->Retinalganglioncell;Rod->Rod
GRCh38_group_scores
group	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
Rod	49.1962	68.6474	78.0358	41.2156	48.0541	80.3871	76.1057	36.0130	203.1260
Cone	4.3217	4.8090	30.6727	4.1023	5.0209	3.4260	3.8389	3.9928	5.2884
AIIamacrine	64.2190	68.8143	95.7114	49.3708	46.5415	73.3322	71.9378	46.4065	121.9959
GABAamacrine	27.3176	14.8717	13.7587	77.8422	18.9299	16.7487	22.1874	11.3388	9.4453
Horizontal	61.6507	40.1538	27.7229	26.8171	129.6611	42.2669	47.8569	47.3753	15.8244
Retinalganglioncell	4.3478	10.7910	8.0504	5.8462	6.1200	5.2686	4.4019	52.7131	4.5096
Mullerglia	19.4508	62.7364	9.3992	11.9374	9.8828	32.8897	71.9331	12.6501	4.4237
Astrocyte	12.2232	52.6376	5.2776	10.5853	11.5447	22.3879	32.5835	12.9491	4.5966
Microglia	18.3423	12.7783	12.1740	16.5948	18.5995	38.9452	15.0867	13.1306	11.5659
GRCh37	7.507685	14.129857	AIIamacrine->Cone;Astrocyte->AIIamacrine;Cone->Microglia;GABAamacrine->Astrocyte;Horizontal->Horizontal;Microglia->GABAamacrine;Mullerglia->Mullerglia;Retinalganglioncell->Retinalganglioncell;Rod->Rod
GRCh37_group_scores
group	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
Rod	15.5394	13.4683	16.3099	13.2001	17.0858	17.3791	15.7941	13.8314	20.5735
Cone	16.5460	9.9729	7.8932	15.6284	11.4500	9.8497	7.5702	16.9728	7.1680
AIIamacrine	5.2370	18.4578	6.6698	4.4053	3.6424	11.9709	7.0068	5.5482	4.3266
GABAamacrine	5.0271	3.7073	2.4461	7.4139	9.4893	10.8362	3.7483	5.6368	2.8188
Horizontal	5.2657	1.7313	1.3541	2.3503	6.8337	2.9322	1.5530	4.5725	0.9069
Retinalganglioncell	1.3387	1.2119	1.7204	2.2933	1.8743	1.4503	1.2094	4.1426	1.0829
Mullerglia	9.5076	13.2707	4.4615	11.8281	7.4265	11.2113	11.8684	9.6489	3.0614
Astrocyte	3.2349	3.1824	2.8760	4.0064	2.9387	3.4952	3.2282	3.1780	2.8051
Microglia	9.4013	7.5158	9.4543	9.5468	9.9778	10.6957	8.1497	9.0547	8.9321
