marker	rows	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
RHO	3	92.3391	97.7305	88.7332	54.4632	71.9324	131.2019	113.5968	43.9217	369.0257
NRL	3	77.4702	84.5847	80.3041	71.9423	74.1763	93.1902	94.5175	54.3430	114.5436
NR2E3	3	20.1913	33.0637	34.9355	21.2882	23.6720	40.5868	34.6098	24.0308	113.3998
GNAT1	3	97.1546	139.6908	218.2073	71.4290	93.2972	167.4970	190.0625	62.7657	439.8039
PDE6B	3	48.9152	57.2308	101.5835	44.7917	45.5740	71.2414	63.4672	35.7370	203.5446
SAG	3	30.2447	44.0849	77.5977	26.6643	32.7425	59.1022	52.2060	25.4584	183.4356
PDE6A	3	33.5395	74.4929	41.1127	28.3393	33.5958	61.9224	63.1282	23.9357	181.1964
OPN1SW	3	12.5879	13.5442	25.1221	9.5635	12.8947	9.8095	6.4834	10.3737	8.2651
OPN1MW	3	0.0845	0.1328	0.7024	0.0810	0.1580	0.0000	0.1165	0.0952	0.1596
OPN1LW	3	10.3068	9.8262	75.4284	8.0506	9.5130	12.8750	11.9921	6.8999	25.9875
ARR3	3	2.9569	3.4524	51.8144	2.4854	2.7496	3.5559	2.8921	2.8552	3.3902
GNAT2	3	41.3963	32.7981	156.7861	51.7617	53.1592	55.0558	38.9532	37.7832	23.2937
PDE6C	3	4.3086	5.7098	75.8622	5.2410	5.2780	6.4988	2.8603	4.9489	7.5566
SLC6A9	3	115.9097	111.4074	208.3113	77.3454	78.3798	120.7793	112.8870	70.5698	269.4986
DAB1	3	35.5670	42.4915	43.9637	31.5001	27.6225	44.5106	45.8286	30.5025	55.2128
CALB2	3	72.8237	8.4983	17.7053	34.2556	35.7134	13.4880	10.9222	32.6915	19.3135
GAD1	3	24.1619	34.2588	52.6201	85.2879	14.1589	30.2868	54.4519	19.3199	43.5865
GAD2	3	9.0396	7.4360	3.8014	59.2450	8.1856	8.0928	16.4097	7.4234	1.9538
SLC32A1	3	93.1839	12.8802	12.9743	93.3115	58.4056	19.1285	12.2040	10.1358	9.8320
LHX1	3	44.9446	60.6832	113.4215	38.9023	132.0762	60.9415	57.2169	32.2632	82.2569
ONECUT1	3	44.4377	16.8638	18.7176	15.4799	158.4030	29.1832	28.1688	71.4263	11.8318
PROX1	3	117.2614	63.2061	10.0199	31.9863	104.1692	42.4260	67.9589	46.1107	4.0576
RBPMS	3	1.7741	29.7441	2.2519	2.1342	2.9708	3.4333	2.5637	33.2149	1.3009
POU4F1	3	8.3637	10.2245	18.5524	11.5896	11.5041	7.8476	7.5110	73.3298	12.8353
POU4F2	3	5.4913	4.1164	12.4165	8.0236	6.6686	5.3952	4.3964	60.1009	5.4359
SNCG	3	20.9516	33.0637	27.9319	20.9370	38.9370	32.6166	49.8436	66.4298	25.6852
