gene	Control_#1_B_cell	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#2_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#3_B_cell	Control_#3_T_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
ABHD17A	2	409	93	0	5	9	426	47	1	14	277	0	59	1	8	33	818	0	94	2	38	665	0	96	1	29	52	636	8	127	18	82	6	87
ABI1	7	126	56	0	1	10	147	41	1	9	88	0	59	11	5	41	295	0	74	2	49	217	2	87	17	10	77	191	8	73	75	30	4	18
ABTB1	1	46	35	6	4	4	64	18	4	4	32	4	20	21	2	16	138	8	71	9	12	89	33	71	25	13	23	82	71	38	77	18	6	18
ACAP2	9	259	229	2	1	18	279	151	2	20	184	1	141	28	1	68	612	0	309	15	106	293	1	299	54	1	122	297	12	181	210	11	14	46
ACER3	4	326	188	7	2	25	297	113	7	21	211	0	135	32	2	110	1004	0	322	5	82	574	2	324	33	8	91	370	2	159	89	48	22	108
ACP1	6	118	45	0	4	15	152	31	0	4	105	28	48	0	1	52	398	25	57	1	46	345	78	55	0	18	70	412	331	76	12	46	13	58
ACSL6	13	455	180	7	0	44	479	119	12	20	321	5	156	37	0	133	1488	7	291	13	159	871	7	368	70	0	117	640	116	154	167	3	47	159
ACTB	67	3373	4924	38	329	196	4956	3497	75	204	2635	19	3851	364	307	868	13320	30	7115	165	804	10075	135	8166	321	1253	1026	9772	428	8202	2482	4139	375	1860
ACTG1	20	1608	1005	0	70	43	1777	770	5	63	1260	0	993	20	58	375	6263	0	1860	17	316	4593	2	1669	25	303	369	4514	31	2214	159	1202	128	753
ACTN1	4	241	113	14	19	4	166	87	9	11	163	1	95	71	24	19	645	0	162	19	27	263	0	224	73	79	31	231	12	79	230	271	6	31
ACTR2	20	356	417	3	2	33	402	360	7	29	255	0	298	51	3	115	991	0	628	19	152	660	3	581	63	7	196	701	4	567	338	40	19	88
ACTR3	16	271	191	7	3	33	297	163	10	26	196	1	174	52	4	122	1042	3	411	16	126	673	16	360	49	24	150	592	121	337	438	126	26	125
ADAM10	6	178	126	1	1	9	157	106	2	10	150	1	113	16	6	35	347	1	194	4	47	201	3	216	22	4	29	198	10	198	72	24	6	30
ADAM17	24	542	424	6	1	47	509	317	10	37	353	1	255	40	0	227	2010	1	594	12	226	1047	2	669	80	3	150	650	5	299	222	4	76	284
ADAR	15	524	212	11	0	36	480	167	9	33	405	7	154	39	1	124	1317	8	324	40	193	896	13	344	70	1	187	847	30	228	149	7	25	131
ADD1	9	157	59	0	1	22	152	45	0	15	111	1	29	5	1	75	417	3	99	0	68	256	23	91	7	3	88	272	63	79	28	16	16	39
ADD3	10	349	86	4	5	28	360	65	3	29	294	0	54	5	6	84	1234	0	102	1	77	509	0	109	8	26	146	612	14	96	59	84	12	99
ADIPOR1	2	61	56	0	9	2	48	48	2	2	43	51	40	4	6	12	115	107	75	4	27	111	268	73	11	29	35	114	651	64	38	58	3	12
