gene	log2_fold_change	p_value	fdr
MTATP6P1	1.41781810262286	1.67858313403168e-07	0.000239869529853127
CDKL5	0.846996769137238	1.72563241848337e-06	0.00123296436300637
UFD1	-0.806141839713797	3.51287790502e-06	0.00139851485673452
MS4A4E	0.793084431630229	3.91466719869705e-06	0.00139851485673452
MTND1P23	-3.30965379030983	5.59669769478232e-06	0.00159953620116879
FOSB	1.06973448489225	8.96111308581309e-06	0.00204205752615071
CLTA	-0.648680360869128	1.00030809538523e-05	0.00204205752615071
TSGA10	0.584157805786568	9.26527666744272e-05	0.014677112542556
BLOC1S1	-0.694132672679526	9.51259807153959e-05	0.014677112542556
ACTG1	-0.753225293221188	0.000109786859244948	0.014677112542556
IFI16	-0.699838740254137	0.000112979872615896	0.014677112542556
H1-2	-1.76673000380733	0.000128851622069831	0.0153440806614824
DNAJC21	-0.664387356834572	0.00014453489826894	0.0158877207404858
KDM6B	0.715899201107103	0.000179500164911426	0.0173773796034601
SIRT2	0.52276178159608	0.000182407763507279	0.0173773796034601
ZNHIT1	-0.669543285503363	0.000213771278680341	0.019092447327138
P2RX7	0.617220984528516	0.000234652148158577	0.0197245835128592
MT-ND4L	0.695250012614636	0.00028232661020059	0.0224135958875913
PFN1	-0.610878698606758	0.000332454267682699	0.0250040604483462
GAPDH	-0.607821251922628	0.000361645253241837	0.0258395533441293
FXR2	0.585746159742687	0.00042751063187652	0.027429331858622
MAP3K11	0.506283519427665	0.000458737399388489	0.027429331858622
FGFR1OP2	-0.635279719822907	0.000484244430007413	0.027429331858622
PRR11	0.540635854045685	0.000484608119485799	0.027429331858622
S100A4	-0.847924223854976	0.00049432977649909	0.027429331858622
TSPAN10	0.605059770629001	0.000499064120590744	0.027429331858622
NR4A2	0.896378230700095	0.000521392393675977	0.027595175206036
NDUFA13	-0.667536393042565	0.000608737963507499	0.0279427942968332
TMEM212	0.530108629402868	0.000613028534795909	0.0279427942968332
CERCAM	0.545310394157903	0.000617097380784269	0.0279427942968332
TXNL1	-0.584914544167434	0.000646948293880869	0.0279427942968332
MTND2P28	0.680492625825378	0.000648204542060914	0.0279427942968332
TXN	-0.621787058752801	0.000659022775014433	0.0279427942968332
CD63	-0.644688179198568	0.000674707862730953	0.0279427942968332
COX6A1	-0.563067747483532	0.000684393142329713	0.0279427942968332
OPHN1	0.554011947321662	0.000731764273160455	0.0284791623204249
PRELID1	-0.575978267045895	0.000737389087372792	0.0284791623204249
POMP	-0.607858880353344	0.000765495887369121	0.028786674290802
PTPN6	-0.553850247104822	0.000819097643477517	0.0300125777571634
SHKBP1	-0.517299585536411	0.0009941228838801	0.0347763473050768
HBA1	-1.83753802629575	0.000997781833105772	0.0347763473050768
CHMP5	-0.595683186547653	0.00110572154188282	0.037620859127394
THOC5	0.469215278315378	0.00115282422610094	0.0377317969979644
GABRD	0.47939617250551	0.00116179081029421	0.0377317969979644
DYNLRB1	-0.551380349331417	0.001335528417517	0.0424104468584842
RBX1	-0.59619468263993	0.00142594869566631	0.0426084573282879
SERF2	-0.544361949553085	0.00147194097003728	0.0426084573282879
TAF2	0.50228609583431	0.00147551610273825	0.0426084573282879
ATP5MF	-0.565311957410352	0.00147575999832799	0.0426084573282879
CFL1	-0.508234086728599	0.00149084875186452	0.0426084573282879
ZFP36	0.624378744248615	0.00160505337954836	0.0449729662622471
MED12	0.458100791974588	0.00187245975145824	0.0514566343237275
COX8A	-0.49675321194326	0.00197923255709722	0.0527568465026666
EMP3	-0.594179678849664	0.00199361071458642	0.0527568465026666
MLLT6-1	0.481383044929208	0.0021124501939766	0.0548852968580467
TNFAIP3	0.862458356118432	0.00224542511843772	0.0551550855008432
TMEM59	-0.486074179926743	0.00225328042302158	0.0551550855008432
MT-ND3	0.60661674354233	0.00226327673293528	0.0551550855008432
SLC25A3	-0.478574307584471	0.00228775025078552	0.0551550855008432
MICAL3	0.474802248278721	0.00236840728981422	0.0551550855008432
ALDOA	-0.566125498097341	0.00238152548811954	0.0551550855008432
PSMD13	-0.455703910778634	0.00239301280689453	0.0551550855008432
TSPYL1	0.441896010892304	0.00258947341427615	0.0584415510878175
RPS27L	-0.537480568337024	0.00261739626985327	0.0584415510878175
NBPF10	0.553766631598575	0.00267433259243021	0.0587941734551196
NOP10	-0.592663010591093	0.00295578673215467	0.0639721417606964
CMBL	0.467808886272197	0.00299939363048751	0.0639721417606964
B2M	-0.851258824301218	0.00305617815734037	0.0642246851005793
ACTB	-0.494760111954939	0.00328003430849147	0.0679299858961494
GATD1	0.458161321389265	0.00337365792772657	0.0688708168388752
PIM1	-0.832935161436651	0.00346321651009702	0.0689324369313987
GPX1	-0.565663771476236	0.00347315287547985	0.0689324369313987
TMUB2	-0.521557230853035	0.0036044192599349	0.0692691704737042
THOC7	-0.456731959949871	0.00366745649260761	0.0692691704737042
YBX1	-0.49822121505571	0.00380822421908314	0.0692691704737042
ARIH1	0.464290261613634	0.00381193867578503	0.0692691704737042
EIF5A	-0.513487014282515	0.00388573915193193	0.0692691704737042
