	MethylationPercentage
57	100.000000
99	91.304348
108	100.000000
115	100.000000
426	100.000000
484	100.000000
571	100.000000
583	100.000000
602	100.000000
638	100.000000
711	91.666667
728	100.000000
795	90.909091
868	100.000000
897	100.000000
987	100.000000
1000	100.000000
1047	100.000000
1083	100.000000
1131	100.000000
1186	100.000000
1433	100.000000
1436	100.000000
1455	100.000000
1650	100.000000
1703	100.000000
1717	100.000000
1832	90.909091
1937	100.000000
1945	100.000000
2000	91.666667
2042	91.666667
2046	100.000000
2052	100.000000
2152	100.000000
2156	100.000000
2165	100.000000
2170	100.000000
2209	91.666667
2284	100.000000
2306	100.000000
2314	100.000000
2421	100.000000
2427	92.857143
2474	100.000000
2584	100.000000
2586	91.666667
2628	100.000000
2805	90.322581
2814	100.000000
2868	100.000000
2939	100.000000
2952	100.000000
2974	100.000000
2989	100.000000
3010	100.000000
3018	100.000000
3030	100.000000
3050	100.000000
3133	100.000000
3227	100.000000
3264	100.000000
3290	100.000000
3304	100.000000
3343	100.000000
3404	100.000000
3520	100.000000
3548	100.000000
3597	100.000000
3603	100.000000
3612	100.000000
3620	100.000000
3651	100.000000
3660	90.909091
3703	100.000000
3772	100.000000
3775	100.000000
3778	100.000000
3825	100.000000
3848	100.000000
3879	100.000000
3880	100.000000
3993	100.000000
4044	100.000000
4068	90.909091
4071	100.000000
4088	100.000000
4160	100.000000
4162	100.000000
4328	100.000000
4355	100.000000
4384	100.000000
4419	91.666667
4493	92.307692
4515	92.307692
4536	100.000000
4658	100.000000
5222	100.000000
5297	100.000000
5298	100.000000
5299	100.000000
5315	100.000000
5327	100.000000
5329	100.000000
5330	100.000000
5434	100.000000
5456	100.000000
5964	93.750000
6205	100.000000
6582	100.000000
6594	100.000000
7216	100.000000
7408	100.000000
7415	100.000000
7418	100.000000
7425	100.000000
7428	100.000000
7431	100.000000
7439	100.000000
7552	100.000000
7590	100.000000
7652	100.000000
7780	100.000000
7790	100.000000
7844	100.000000
7861	100.000000
7896	90.909091
8032	100.000000
8118	92.857143
8121	100.000000
8127	100.000000
8166	90.909091
8245	100.000000
8259	100.000000
8275	90.909091
8306	100.000000
8390	100.000000
8392	100.000000
8400	100.000000
8505	100.000000
8581	100.000000
8639	100.000000
8640	100.000000
8665	100.000000
8677	100.000000
8951	100.000000
8957	100.000000
8968	100.000000
8972	100.000000
9284	100.000000
9285	100.000000
9289	100.000000
9305	92.857143
9307	95.238095
9310	100.000000
9319	100.000000
9331	100.000000
9343	100.000000
9370	100.000000
10568	90.740741
11970	100.000000
12005	100.000000
12011	100.000000
12065	100.000000
12087	100.000000
12104	100.000000
12158	100.000000
12198	100.000000
12215	100.000000
12268	100.000000
12278	100.000000
12504	100.000000
12515	100.000000
12657	100.000000
12670	100.000000
12745	100.000000
12816	100.000000
12835	90.909091
13181	100.000000
13191	100.000000
13192	100.000000
13214	100.000000
13247	100.000000
13258	90.909091
13298	100.000000
13319	100.000000
13384	100.000000
13410	100.000000
13433	100.000000
13557	93.750000
13724	100.000000
13808	100.000000
13816	100.000000
13846	100.000000
13859	100.000000
13895	100.000000
13999	100.000000
14033	100.000000
14266	100.000000
14292	100.000000
14297	100.000000
14307	100.000000
14309	90.909091
14330	100.000000
14428	100.000000
15177	100.000000
15254	100.000000
15276	100.000000
16163	92.857143
16970	100.000000
16972	100.000000
16980	100.000000
17061	100.000000
17115	100.000000
17598	100.000000
17664	100.000000
17667	92.307692
17668	100.000000
17677	100.000000
17722	100.000000
17809	100.000000
17878	100.000000
17954	100.000000
18128	100.000000
18129	100.000000
18133	100.000000
18137	100.000000
18144	100.000000
18172	100.000000
18215	100.000000
18223	100.000000
18303	100.000000
18304	100.000000
18305	100.000000
18310	100.000000
18345	100.000000
18350	100.000000
18362	100.000000
18371	100.000000
18372	100.000000
18388	100.000000
18399	100.000000
18410	92.307692
18413	100.000000
18430	100.000000
18474	100.000000
18479	100.000000
18506	100.000000
18509	100.000000
18517	100.000000
18549	100.000000
18580	100.000000
18609	100.000000
18656	100.000000
18734	100.000000
18739	100.000000
18798	100.000000
19226	100.000000
19394	100.000000
19416	100.000000
19423	100.000000
19488	100.000000
19493	100.000000
19527	100.000000
19596	100.000000
19617	100.000000
19626	100.000000
19631	92.307692
