	MethylationPercentage
45	0.000000
94	0.000000
114	0.000000
118	0.000000
140	0.000000
418	0.000000
420	0.000000
509	0.000000
527	0.000000
574	0.000000
579	1.818182
623	7.142857
633	0.000000
635	0.000000
704	0.000000
734	0.000000
756	0.000000
809	0.000000
828	0.000000
1075	0.000000
1096	0.000000
1144	0.000000
1241	6.666667
1272	0.000000
1273	0.000000
1437	0.000000
1441	0.000000
1588	0.000000
1639	0.000000
1707	0.000000
1710	0.000000
1713	0.000000
1762	7.692308
1870	0.000000
1882	0.000000
1885	0.000000
1907	0.000000
1927	0.000000
1932	0.000000
1998	0.000000
2048	0.000000
2050	0.000000
2154	0.000000
2160	0.000000
2235	0.000000
2278	0.000000
2305	0.000000
2320	0.000000
2321	0.000000
2354	0.000000
2391	0.000000
2441	0.000000
2498	0.000000
2612	8.333333
2627	0.000000
2778	0.000000
2789	0.000000
2800	0.000000
2852	7.692308
2854	0.000000
2857	0.000000
2886	5.555556
2938	0.000000
2940	0.000000
2943	0.000000
2996	9.090909
3015	0.000000
3019	0.000000
3027	0.000000
3053	0.000000
3131	0.000000
3138	0.000000
3217	0.000000
3285	9.090909
3305	0.000000
3351	0.000000
3364	0.000000
3370	7.142857
3371	9.090909
3384	0.000000
3462	0.000000
3601	0.000000
3610	0.000000
3618	0.000000
3627	0.000000
3650	0.000000
3727	0.000000
3756	0.000000
3758	0.000000
3948	0.000000
3955	8.163265
4009	0.000000
4037	0.000000
4076	0.000000
4171	0.000000
4240	0.000000
4335	0.000000
4436	0.000000
4491	0.000000
4550	0.000000
4554	0.000000
4591	0.000000
4739	7.692308
4747	0.000000
5301	0.000000
5445	0.000000
5450	0.000000
5452	0.000000
5460	0.000000
5470	0.000000
5580	9.090909
5961	0.000000
6203	0.000000
6204	0.000000
6255	0.000000
6587	0.000000
6597	0.000000
6599	0.000000
6601	0.000000
6804	8.333333
7387	7.142857
7403	0.000000
7407	0.000000
7412	0.000000
7417	0.000000
7420	0.000000
7427	0.000000
7496	0.000000
7568	0.000000
7588	0.000000
7622	0.000000
7654	0.000000
7665	9.090909
7688	0.000000
7771	0.000000
7839	0.000000
7894	0.000000
7984	0.000000
7990	9.090909
8003	0.000000
8088	0.000000
8100	0.000000
8228	0.000000
8232	0.000000
8251	0.000000
8252	0.000000
8298	0.000000
8453	0.000000
8469	0.000000
8516	0.000000
8572	0.000000
8634	0.000000
8636	0.000000
8701	0.000000
8954	0.000000
8955	0.000000
8958	0.000000
8960	0.000000
8971	0.000000
8996	0.000000
9279	0.000000
9345	0.000000
9380	0.000000
10570	9.090909
11965	0.000000
11976	0.000000
11985	0.000000
12013	0.000000
12067	0.000000
12102	0.000000
12109	0.000000
12403	0.000000
12489	8.333333
12509	0.000000
12616	0.000000
12750	9.090909
12825	0.000000
12947	0.000000
13149	0.000000
13189	0.000000
13195	0.000000
13249	7.142857
13299	0.000000
13320	0.000000
13325	0.000000
13354	0.000000
13358	0.000000
13366	0.000000
13415	0.000000
13416	0.000000
13417	0.000000
13446	0.000000
13456	0.000000
13655	9.090909
13751	9.090909
13854	9.090909
13855	0.000000
13960	0.000000
13992	0.000000
14001	0.000000
14311	0.000000
14312	0.000000
14314	0.000000
14345	0.000000
14411	0.000000
14436	3.448276
14451	6.896552
14524	0.000000
15183	0.000000
15184	8.333333
15195	0.000000
16258	0.000000
16402	0.000000
16977	0.000000
16983	0.000000
17026	0.000000
17027	0.000000
17036	0.000000
17107	0.000000
17110	0.000000
17582	0.000000
17593	0.000000
17688	0.000000
17696	0.000000
17697	0.000000
17699	0.000000
17711	0.000000
17885	0.000000
18115	0.000000
18123	0.000000
18149	0.000000
18150	0.000000
18159	0.000000
18224	0.000000
18226	0.000000
18229	0.000000
18240	0.000000
18246	0.000000
18298	0.000000
18315	0.000000
18321	0.000000
18355	9.090909
18377	0.000000
18380	0.000000
18392	0.000000
18404	0.000000
18432	0.000000
18473	0.000000
18475	0.000000
18490	0.000000
18514	0.000000
18515	0.000000
18528	0.000000
18639	0.000000
18694	0.000000
18729	0.000000
18733	0.000000
18800	0.000000
18805	0.000000
19180	0.000000
19202	0.000000
19223	0.000000
19390	0.000000
19393	0.000000
19502	0.000000
19609	0.000000
19611	0.000000
19614	0.000000
19625	0.000000
19650	0.000000
19697	0.000000
