metric	value
phase3_sample_column	SAMPLE_NAME
phase3_unique_individuals	2947
afgr_atac_fastq_records	200
afgr_atac_unique_individuals	100
afgr_atac_unique_experiments	100
afgr_individuals_in_phase3	50
afgr_individuals_not_in_phase3	50
filtered_grch38_bam_records_for_afgr_experiments	0
filtered_grch38_bam_records_for_phase3_overlap	0
overlap_samples_with_multiple_filtered_bams	0
overlap_samples_without_filtered_bam	50
missing_filtered_bam_samples	HG02571,HG02588,HG02610,HG02623,HG02642,HG02678,HG02759,HG02763,HG02798,HG02840,HG02852,HG02870,HG02884,HG02885,HG02938,HG02943,HG02970,HG02973,HG02981,HG03025,HG03039,HG03045,HG03060,HG03064,HG03066,HG03095,HG03097,HG03103,HG03108,HG03135,HG03139,HG03159,HG03175,HG03196,HG03280,HG03342,HG03354,HG03378,HG03432,HG03439,HG03442,HG03457,HG03460,HG03469,HG03520,HG03521,HG03558,HG03565,HG03571,HG03575
