metric	value
phase3_source	IGSR 1000 Genomes 30x on GRCh38
phase3_sample_column	Sample name
phase3_unique_individuals	3202
afgr_atac_fastq_records	200
afgr_atac_unique_individuals	100
afgr_atac_unique_experiments	100
exact_label_overlap	50
normalized_overlap_GM_to_NA	83
afgr_individuals_not_in_normalized_phase3	17
filtered_grch38_bam_records_for_afgr	100
selected_bam_records	83
checksum_lines	83
duplicate_md5s	0
checksums_alphabetically_sorted	1
checksum_file_md5sum	1127bd47e06e7c19e8f0d5b5458a244a
