metric	value
phase3_sample_column	Sample name
phase3_unique_individuals	3202
phase3_unique_SAMPLE_ID_values	0
phase3_unique_SAMPLE_NAME_values	0
phase3_unique_RUN_ID_values	0
afgr_atac_fastq_records	200
afgr_atac_unique_individuals	100
afgr_atac_unique_experiments	100
afgr_individuals_in_phase3	50
afgr_individuals_in_phase3_after_GM_to_NA_normalization	83
afgr_individuals_not_in_phase3	50
afgr_normalized_ids_not_in_phase3	17
filtered_grch38_bam_records_for_afgr_experiments	100
filtered_grch38_bam_records_for_phase3_overlap	50
filtered_grch38_bam_records_for_normalized_phase3_overlap	83
bam_inventory_file_records	710
bam_inventory_file_records_with_afgr_sample	100
bam_inventory_file_records_with_afgr_experiment	100
bam_inventory_file_records_file_format_bam	710
bam_inventory_file_records_output_type_alignments	710
bam_inventory_file_records_assembly_grch38	710
bam_inventory_file_records_filtered_alias	636
bam_inventory_file_records_alias_contains_no_chrM_MT	636
bam_inventory_file_records_alias_contains_nodup	710
overlap_samples_with_multiple_filtered_bams	0
overlap_samples_without_filtered_bam	0
normalized_overlap_samples_without_filtered_bam	0
selected_bam_records_missing_accession_or_md5sum	0
missing_filtered_bam_samples	
