sample	in_phase3_index	experiment	bam_accession	md5sum	dataset	filtered_bam_alias
HG02571	1	ENCSR400ISH	ENCFF030ITR		/experiments/ENCSR400ISH/	
HG02588	1	ENCSR189VFC	ENCFF025ITU		/experiments/ENCSR189VFC/	
HG02610	1	ENCSR905PWV	ENCFF230HVR		/experiments/ENCSR905PWV/	
HG02623	1	ENCSR821JHD	ENCFF495DQP		/experiments/ENCSR821JHD/	
HG02642	1	ENCSR821QHC	ENCFF705PBQ		/experiments/ENCSR821QHC/	
HG02678	1	ENCSR180HEL	ENCFF447ZRG		/experiments/ENCSR180HEL/	
HG02759	1	ENCSR144ZXR	ENCFF687QML		/experiments/ENCSR144ZXR/	
HG02763	1	ENCSR404OEO	ENCFF321SNO		/experiments/ENCSR404OEO/	
HG02798	1	ENCSR524CPZ	ENCFF960AXI		/experiments/ENCSR524CPZ/	
HG02840	1	ENCSR854ZBA	ENCFF720BLR		/experiments/ENCSR854ZBA/	
HG02852	1	ENCSR368FYV	ENCFF978QLZ		/experiments/ENCSR368FYV/	
HG02870	1	ENCSR420RVW	ENCFF358GWK		/experiments/ENCSR420RVW/	
HG02884	1	ENCSR604YEQ	ENCFF079OKV		/experiments/ENCSR604YEQ/	
HG02885	1	ENCSR621JYI	ENCFF056MAS		/experiments/ENCSR621JYI/	
HG02938	1	ENCSR920FQJ	ENCFF966ELR		/experiments/ENCSR920FQJ/	
HG02943	1	ENCSR123WME	ENCFF657AXO		/experiments/ENCSR123WME/	
HG02970	1	ENCSR857MCZ	ENCFF320DVY		/experiments/ENCSR857MCZ/	
HG02973	1	ENCSR038WVV	ENCFF395ZMS		/experiments/ENCSR038WVV/	
HG02981	1	ENCSR208HAP	ENCFF710GAW		/experiments/ENCSR208HAP/	
HG03025	1	ENCSR673ZMQ	ENCFF715RQC		/experiments/ENCSR673ZMQ/	
HG03039	1	ENCSR381LJX	ENCFF231QTG		/experiments/ENCSR381LJX/	
HG03045	1	ENCSR249FXU	ENCFF216MFD		/experiments/ENCSR249FXU/	
HG03060	1	ENCSR470ZNM	ENCFF207CZR		/experiments/ENCSR470ZNM/	
HG03064	1	ENCSR487SOP	ENCFF270VDV		/experiments/ENCSR487SOP/	
HG03066	1	ENCSR040PBN	ENCFF479XDB		/experiments/ENCSR040PBN/	
HG03095	1	ENCSR359HFH	ENCFF801THG		/experiments/ENCSR359HFH/	
HG03097	1	ENCSR608KJD	ENCFF919PWF		/experiments/ENCSR608KJD/	
HG03103	1	ENCSR833ACP	ENCFF925NDY		/experiments/ENCSR833ACP/	
HG03108	1	ENCSR962ITF	ENCFF948HNW		/experiments/ENCSR962ITF/	
HG03135	1	ENCSR096VEO	ENCFF004CBW		/experiments/ENCSR096VEO/	
HG03139	1	ENCSR615YIL	ENCFF231YYD		/experiments/ENCSR615YIL/	
HG03159	1	ENCSR940YDN	ENCFF998WJT		/experiments/ENCSR940YDN/	
HG03175	1	ENCSR305XRF	ENCFF963YZH		/experiments/ENCSR305XRF/	
HG03196	1	ENCSR063UNG	ENCFF767FGV		/experiments/ENCSR063UNG/	
HG03280	1	ENCSR554WGQ	ENCFF588QWF		/experiments/ENCSR554WGQ/	
HG03342	1	ENCSR528YDD	ENCFF848NBQ		/experiments/ENCSR528YDD/	
HG03354	1	ENCSR025MEO	ENCFF132WNX		/experiments/ENCSR025MEO/	
HG03378	1	ENCSR824DUE	ENCFF497QOS		/experiments/ENCSR824DUE/	
HG03432	1	ENCSR839UOB	ENCFF170VVQ		/experiments/ENCSR839UOB/	
HG03439	1	ENCSR376YMU	ENCFF326QXM		/experiments/ENCSR376YMU/	
HG03442	1	ENCSR858GTE	ENCFF130DND		/experiments/ENCSR858GTE/	
HG03457	1	ENCSR322SBN	ENCFF785NTV		/experiments/ENCSR322SBN/	
HG03460	1	ENCSR345NVR	ENCFF110EWQ		/experiments/ENCSR345NVR/	
HG03469	1	ENCSR163KRG	ENCFF430HQS		/experiments/ENCSR163KRG/	
HG03520	1	ENCSR624CTU	ENCFF614WUU		/experiments/ENCSR624CTU/	
HG03521	1	ENCSR594TMY	ENCFF129JFT		/experiments/ENCSR594TMY/	
HG03558	1	ENCSR278JWM	ENCFF842JIO		/experiments/ENCSR278JWM/	
HG03565	1	ENCSR835WBW	ENCFF220BRO		/experiments/ENCSR835WBW/	
HG03571	1	ENCSR000RBT	ENCFF009NCL		/experiments/ENCSR000RBT/	
HG03575	1	ENCSR331JFZ	ENCFF632MBC		/experiments/ENCSR331JFZ/	
