barcode	column_index	total_counts	detected_genes	rank	gene	count
Cell_11249_MCI	1007	1167	664	1	Malat1	134
Cell_11249_MCI	1007	1167	664	2	Inmt	25
Cell_11249_MCI	1007	1167	664	3	Mgp	25
Cell_11249_MCI	1007	1167	664	4	Gsn	23
Cell_11249_MCI	1007	1167	664	5	Fth1	18
Cell_11249_MCI	1007	1167	664	6	Apoe	14
Cell_11249_MCI	1007	1167	664	7	Igfbp7	8
Cell_11249_MCI	1007	1167	664	8	Serping1	7
Cell_11249_MCI	1007	1167	664	9	Mfap4	7
Cell_11249_MCI	1007	1167	664	10	Rps23	7
Cell_11249_MCI	1007	1167	664	11	Rpl21	6
Cell_11249_MCI	1007	1167	664	12	Tmsb10	6
Cell_11249_MCI	1007	1167	664	13	Ftl1	6
Cell_11249_MCI	1007	1167	664	14	Gpx3	6
Cell_11249_MCI	1007	1167	664	15	Rpl37a	5
Cell_11249_MCI	1007	1167	664	16	Tmsb4x	5
Cell_11249_MCI	1007	1167	664	17	Rps27	5
Cell_11249_MCI	1007	1167	664	18	Sparcl1	5
Cell_11249_MCI	1007	1167	664	19	Rps16	5
Cell_11249_MCI	1007	1167	664	20	Rpl13a	5
Cell_11249_MCI	1007	1167	664	21	Rpl18a	5
Cell_11249_MCI	1007	1167	664	22	Itm2b	5
Cell_11249_MCI	1007	1167	664	23	Ubb	5
Cell_11249_MCI	1007	1167	664	24	Rps29	5
Cell_11249_MCI	1007	1167	664	25	Rpl10a	5
Cell_11249_MCI	1007	1167	664	26	Rps3a1	4
Cell_11249_MCI	1007	1167	664	27	Rpl34	4
Cell_11249_MCI	1007	1167	664	28	Cyr61	4
Cell_11249_MCI	1007	1167	664	29	Tmem176a	4
Cell_11249_MCI	1007	1167	664	30	Ifitm3	4
Cell_11249_MCI	1007	1167	664	31	Rpl41	4
Cell_11249_MCI	1007	1167	664	32	Tpt1	4
Cell_11249_MCI	1007	1167	664	33	Rplp1	4
Cell_11249_MCI	1007	1167	664	34	Eif1	4
Cell_11249_MCI	1007	1167	664	35	Laptm4a	4
Cell_11249_MCI	1007	1167	664	36	Rps7	4
Cell_11249_MCI	1007	1167	664	37	Rpl37	4
Cell_11249_MCI	1007	1167	664	38	Fau	4
Cell_11249_MCI	1007	1167	664	39	Cfh	3
Cell_11249_MCI	1007	1167	664	40	Fmo2	3
Cell_11249_MCI	1007	1167	664	41	Fkbp7	3
Cell_11249_MCI	1007	1167	664	42	Nop10	3
Cell_11249_MCI	1007	1167	664	43	B2m	3
Cell_11249_MCI	1007	1167	664	44	Gpm6b	3
Cell_11249_MCI	1007	1167	664	45	S100a6	3
Cell_11249_MCI	1007	1167	664	46	Selenbp1	3
Cell_11249_MCI	1007	1167	664	47	Nfib	3
