row	component	borzoi_parameters	source_line
1	DNA convolution	31232	DNA convolution                                                    31,232                                 31,232
2	Convolutional tower	1558112	Convolutional tower                                           1,558,112                            1,558,112
3	continuation	2239392	2,239,392                            2,239,392
4	continuation	3299648	3,299,648                            3,299,648
5	continuation	4733728	4,733,728                            4,733,728
6	continuation	6761792	6,761,792                            6,761,792
7	continuation	9834496	9,834,496                            9,834,496
8	Unet skip connection 1	1967616	Unet skip connection 1                                       1,967,616                            1,967,616
9	continuation	2560	2,560                                   2,560
10	Unet skip connection 2	2360832	Unet skip connection 2                                       2,360,832                            2,360,832
11	continuation	3072	3,072                                   3,072
12	Transformer tower	15758336	Transformer tower                                               15,758,336                     16,530,432
13	continuation	15758336	15,758,336                     16,530,432
14	continuation	15758336	15,758,336                     16,530,432
15	continuation	15758336	15,758,336                     16,530,432
16	continuation	15758336	15,758,336                     16,530,432
17	continuation	15758336	15,758,336                     16,530,432
18	continuation	15758336	15,758,336                     16,530,432
19	continuation	15758336	15,758,336                     16,530,432
20	Upsampling layer 1	2363904	Upsampling layer 1                                             2,363,904                            2,363,904
21	continuation	2365440	2,365,440                            2,365,440
22	Upsampling layer 2	2363904	Upsampling layer 2                                             2,363,904                            2,363,904
23	continuation	2365440	2,365,440                            2,365,440
24	Joined pointwise convolutions	2954112	Joined pointwise convolutions                            2,954,112                            2,954,112
25	Human head	14620731	Human head                                                     14,620,731                          14,620,731
26	Mouse head	5009968	Mouse head                                                         5,009,968                            5,009,968
