key	value
pydeseq2_version	0.5.4
design	~Group
contrast	Cisplatin_IC50_CBD_IC50 vs DMSO
prefilter_rule	count > 10 in at least one of all 30 samples
all_samples_for_prefilter	30
fit_samples	12
fit_groups	DMSO|DMSO_Serum_starvation|Cisplatin_IC50_CBD_IC50|Cisplatin_IC50_CBD_IC50_Serum_starvation_16h
group_replication	"{""Cisplatin_IC50_CBD_IC50"": 3, ""Cisplatin_IC50_CBD_IC50_Serum_starvation_16h"": 3, ""DMSO"": 3, ""DMSO_Serum_starvation"": 3}"
input_genes	63677
genes_after_all30_prefilter	20130
genes_nonzero_in_fit	20129
results_rows	20129
thresholds	padj<=0.05;abs(log2FoldChange)>=0.5;baseMean>=10
significant_ensg_rows	679
unique_mapped_foreground_symbols	656
