taxon	count	fraction_of_reads	fraction_of_classified
root	1615	0.27101863	0.31117534
Homo sapiens	901	0.15119987	0.17360308
human gammaherpesvirus 4	523	0.08776640	0.10077071
Sus scrofa	199	0.03339486	0.03834297
Homininae	137	0.02299043	0.02639692
Catarrhini	126	0.02114449	0.02427746
Suidae	108	0.01812385	0.02080925
Fargesia denudata	95	0.01594227	0.01830443
Boreoeutheria	84	0.01409632	0.01618497
cellular organisms	70	0.01174694	0.01348748
Simiiformes	64	0.01074006	0.01233141
Euarchontoglires	54	0.00906192	0.01040462
Hominidae	50	0.00839067	0.00963391
Hominoidea	49	0.00822286	0.00944123
Laurasiatheria	47	0.00788723	0.00905588
Eukaryota	38	0.00637691	0.00732177
Eutheria	37	0.00620910	0.00712909
Apteryx mantelli mantelli	35	0.00587347	0.00674374
Euteleostomi	31	0.00520222	0.00597303
Staphylococcus cohnii	31	0.00520222	0.00597303
Hippodamia variegata	30	0.00503440	0.00578035
Megaleporinus elongatus	25	0.00419533	0.00481696
Bilateria	25	0.00419533	0.00481696
Macaca mulatta	22	0.00369189	0.00423892
Cercopithecidae	20	0.00335627	0.00385356
Mus musculus	20	0.00335627	0.00385356
Primates	17	0.00285283	0.00327553
Staphylococcus	15	0.00251720	0.00289017
Amniota	14	0.00234939	0.00269750
Artiodactyla	14	0.00234939	0.00269750
Pan troglodytes	13	0.00218157	0.00250482
Cercopithecinae	13	0.00218157	0.00250482
Cebus imitator	12	0.00201376	0.00231214
Opisthokonta	11	0.00184595	0.00211946
Platyrrhini	10	0.00167813	0.00192678
Bos taurus	9	0.00151032	0.00173410
Pongo	8	0.00134251	0.00154143
Pongo abelii	7	0.00117469	0.00134875
Timema monikensis	7	0.00117469	0.00134875
Phacochoerus africanus	7	0.00117469	0.00134875
Oryzias latipes	7	0.00117469	0.00134875
Timema tahoe	7	0.00117469	0.00134875
Equus caballus	6	0.00100688	0.00115607
Sapajus apella	6	0.00100688	0.00115607
Vitis vinifera	6	0.00100688	0.00115607
Pan paniscus	6	0.00100688	0.00115607
Theria	6	0.00100688	0.00115607
Pan	6	0.00100688	0.00115607
Gorilla gorilla gorilla	6	0.00100688	0.00115607
Timema cristinae	5	0.00083907	0.00096339
Carlito syrichta	5	0.00083907	0.00096339
Symphalangus syndactylus	5	0.00083907	0.00096339
Hylobatidae	5	0.00083907	0.00096339
Timema bartmani	5	0.00083907	0.00096339
Tetrapoda	5	0.00083907	0.00096339
Colobinae	5	0.00083907	0.00096339
Callithrix jacchus	5	0.00083907	0.00096339
Hylobates moloch	5	0.00083907	0.00096339
Vicugna pacos	4	0.00067125	0.00077071
Timema genevievae	4	0.00067125	0.00077071
Timema	4	0.00067125	0.00077071
Ralstonia solanacearum	4	0.00067125	0.00077071
Galeopterus variegatus	4	0.00067125	0.00077071
Chlorocebus sabaeus	4	0.00067125	0.00077071
Heterocephalus glaber	4	0.00067125	0.00077071
Aotus nancymaae	4	0.00067125	0.00077071
Trachypithecus francoisi	4	0.00067125	0.00077071
Pecora	4	0.00067125	0.00077071
Piliocolobus tephrosceles	4	0.00067125	0.00077071
Rodentia	4	0.00067125	0.00077071
Timema douglasi	4	0.00067125	0.00077071
uncultured eukaryote	4	0.00067125	0.00077071
Equus	4	0.00067125	0.00077071
Timema shepardi	4	0.00067125	0.00077071
Notodromas monacha	4	0.00067125	0.00077071
Nomascus leucogenys	4	0.00067125	0.00077071
Hyaena hyaena	4	0.00067125	0.00077071
Phyllostomidae	3	0.00050344	0.00057803
Cucurbita pepo subsp. pepo	3	0.00050344	0.00057803
Haplorrhini	3	0.00050344	0.00057803
Colobus angolensis palliatus	3	0.00050344	0.00057803
Cricetulus griseus	3	0.00050344	0.00057803
Yangochiroptera	3	0.00050344	0.00057803
Rhinopithecus roxellana	3	0.00050344	0.00057803
Gambusia affinis	3	0.00050344	0.00057803
Nannospalax galili	3	0.00050344	0.00057803
Pinnipedia	3	0.00050344	0.00057803
Nycticebus coucang	3	0.00050344	0.00057803
Viruses	3	0.00050344	0.00057803
Gnathostomata	3	0.00050344	0.00057803
Lemuriformes	3	0.00050344	0.00057803
Mammalia	3	0.00050344	0.00057803
Macaca fascicularis	3	0.00050344	0.00057803
Macaca nemestrina	3	0.00050344	0.00057803
synthetic construct	3	0.00050344	0.00057803
Echinops telfairi	3	0.00050344	0.00057803
Marmotini	3	0.00050344	0.00057803
Mandrillus leucophaeus	3	0.00050344	0.00057803
Hystricomorpha	3	0.00050344	0.00057803
Otolemur garnettii	3	0.00050344	0.00057803
Muroidea	2	0.00033563	0.00038536
Felidae	2	0.00033563	0.00038536
Percomorphaceae	2	0.00033563	0.00038536
Cynocephalus volans	2	0.00033563	0.00038536
Tupaia chinensis	2	0.00033563	0.00038536
Cercocebus atys	2	0.00033563	0.00038536
Caniformia	2	0.00033563	0.00038536
Microcebus murinus	2	0.00033563	0.00038536
Tetraodon nigroviridis	2	0.00033563	0.00038536
Phodopus roborovskii	2	0.00033563	0.00038536
Pseudomonadota	2	0.00033563	0.00038536
Cervus canadensis	2	0.00033563	0.00038536
Feliformia	2	0.00033563	0.00038536
Echinococcus granulosus	2	0.00033563	0.00038536
Canis lupus familiaris	2	0.00033563	0.00038536
Arthropoda	2	0.00033563	0.00038536
rosids	2	0.00033563	0.00038536
Phyllostomus discolor	2	0.00033563	0.00038536
Cebidae	2	0.00033563	0.00038536
Hipposideros armiger	2	0.00033563	0.00038536
Arvicanthis niloticus	2	0.00033563	0.00038536
Enhydra lutris kenyoni	2	0.00033563	0.00038536
Chrysochloris asiatica	2	0.00033563	0.00038536
Mesoplodon densirostris	2	0.00033563	0.00038536
Bos javanicus	2	0.00033563	0.00038536
Lepus europaeus	2	0.00033563	0.00038536
Dasypus novemcinctus	2	0.00033563	0.00038536
Condylura cristata	2	0.00033563	0.00038536
Rattus norvegicus	2	0.00033563	0.00038536
Choloepus didactylus	2	0.00033563	0.00038536
Elephantulus edwardii	2	0.00033563	0.00038536
Timema poppense	2	0.00033563	0.00038536
Rhinopithecus	2	0.00033563	0.00038536
Artibeus jamaicensis	2	0.00033563	0.00038536
