species	count	fraction_of_reads	fraction_of_classified
Homo sapiens	901	0.15119987	0.17360308
Sus scrofa	199	0.03339486	0.03834297
Fargesia denudata	95	0.01594227	0.01830443
Staphylococcus cohnii	31	0.00520222	0.00597303
Hippodamia variegata	30	0.00503440	0.00578035
Megaleporinus elongatus	25	0.00419533	0.00481696
Macaca mulatta	22	0.00369189	0.00423892
Mus musculus	20	0.00335627	0.00385356
Pan troglodytes	13	0.00218157	0.00250482
Cebus imitator	12	0.00201376	0.00231214
Bos taurus	9	0.00151032	0.00173410
Pongo abelii	7	0.00117469	0.00134875
Timema monikensis	7	0.00117469	0.00134875
Phacochoerus africanus	7	0.00117469	0.00134875
Oryzias latipes	7	0.00117469	0.00134875
Timema tahoe	7	0.00117469	0.00134875
Equus caballus	6	0.00100688	0.00115607
Sapajus apella	6	0.00100688	0.00115607
Vitis vinifera	6	0.00100688	0.00115607
Pan paniscus	6	0.00100688	0.00115607
Timema cristinae	5	0.00083907	0.00096339
Carlito syrichta	5	0.00083907	0.00096339
Symphalangus syndactylus	5	0.00083907	0.00096339
Timema bartmani	5	0.00083907	0.00096339
Callithrix jacchus	5	0.00083907	0.00096339
Hylobates moloch	5	0.00083907	0.00096339
Vicugna pacos	4	0.00067125	0.00077071
Timema genevievae	4	0.00067125	0.00077071
Ralstonia solanacearum	4	0.00067125	0.00077071
Galeopterus variegatus	4	0.00067125	0.00077071
Chlorocebus sabaeus	4	0.00067125	0.00077071
Heterocephalus glaber	4	0.00067125	0.00077071
Aotus nancymaae	4	0.00067125	0.00077071
Trachypithecus francoisi	4	0.00067125	0.00077071
Piliocolobus tephrosceles	4	0.00067125	0.00077071
Timema douglasi	4	0.00067125	0.00077071
Timema shepardi	4	0.00067125	0.00077071
Notodromas monacha	4	0.00067125	0.00077071
Nomascus leucogenys	4	0.00067125	0.00077071
Hyaena hyaena	4	0.00067125	0.00077071
Cricetulus griseus	3	0.00050344	0.00057803
Rhinopithecus roxellana	3	0.00050344	0.00057803
Gambusia affinis	3	0.00050344	0.00057803
Nannospalax galili	3	0.00050344	0.00057803
Nycticebus coucang	3	0.00050344	0.00057803
Macaca fascicularis	3	0.00050344	0.00057803
Macaca nemestrina	3	0.00050344	0.00057803
Echinops telfairi	3	0.00050344	0.00057803
Mandrillus leucophaeus	3	0.00050344	0.00057803
Otolemur garnettii	3	0.00050344	0.00057803
Cynocephalus volans	2	0.00033563	0.00038536
Tupaia chinensis	2	0.00033563	0.00038536
Cercocebus atys	2	0.00033563	0.00038536
Microcebus murinus	2	0.00033563	0.00038536
Tetraodon nigroviridis	2	0.00033563	0.00038536
Phodopus roborovskii	2	0.00033563	0.00038536
Cervus canadensis	2	0.00033563	0.00038536
Echinococcus granulosus	2	0.00033563	0.00038536
Phyllostomus discolor	2	0.00033563	0.00038536
Hipposideros armiger	2	0.00033563	0.00038536
Arvicanthis niloticus	2	0.00033563	0.00038536
Chrysochloris asiatica	2	0.00033563	0.00038536
Mesoplodon densirostris	2	0.00033563	0.00038536
Bos javanicus	2	0.00033563	0.00038536
Lepus europaeus	2	0.00033563	0.00038536
Dasypus novemcinctus	2	0.00033563	0.00038536
Condylura cristata	2	0.00033563	0.00038536
Rattus norvegicus	2	0.00033563	0.00038536
Choloepus didactylus	2	0.00033563	0.00038536
Elephantulus edwardii	2	0.00033563	0.00038536
Timema poppense	2	0.00033563	0.00038536
Artibeus jamaicensis	2	0.00033563	0.00038536
Sorex fumeus	2	0.00033563	0.00038536
Pteropus giganteus	2	0.00033563	0.00038536
Staphylococcus haemolyticus	2	0.00033563	0.00038536
Myotis myotis	2	0.00033563	0.00038536
Staphylococcus aureus	2	0.00033563	0.00038536
Triplophysa dalaica	2	0.00033563	0.00038536
Impatiens glandulifera	2	0.00033563	0.00038536
Pteronotus mesoamericanus	2	0.00033563	0.00038536
Papaver somniferum	1	0.00016781	0.00019268
Sorangium cellulosum	1	0.00016781	0.00019268
Conger conger	1	0.00016781	0.00019268
Heterocapsa rotundata	1	0.00016781	0.00019268
Xenopus laevis	1	0.00016781	0.00019268
Anas platyrhynchos	1	0.00016781	0.00019268
Ictidomys tridecemlineatus	1	0.00016781	0.00019268
Microplitis demolitor	1	0.00016781	0.00019268
Cavia porcellus	1	0.00016781	0.00019268
Pocillopora verrucosa	1	0.00016781	0.00019268
Miniopterus natalensis	1	0.00016781	0.00019268
Apodemus sylvaticus	1	0.00016781	0.00019268
Gordonia polyisoprenivorans	1	0.00016781	0.00019268
Lampris incognitus	1	0.00016781	0.00019268
Etheostoma spectabile	1	0.00016781	0.00019268
Suillus fuscotomentosus	1	0.00016781	0.00019268
Physeter catodon	1	0.00016781	0.00019268
Penicillium bovifimosum	1	0.00016781	0.00019268
Carassius carassius	1	0.00016781	0.00019268
Anolis evermanni	1	0.00016781	0.00019268
Gryllodes sigillatus	1	0.00016781	0.00019268
