taxon	count	fraction_of_reads	fraction_of_classified
root	136369	0.63256502	0.63830315
Homo sapiens	20314	0.09422908	0.09508385
Homininae	12490	0.05793646	0.05846201
Catarrhini	6185	0.02868991	0.02895016
Hominoidea	5593	0.02594384	0.02617919
cellular organisms	4121	0.01911578	0.01928919
Hominidae	3542	0.01643002	0.01657906
Boreoeutheria	3229	0.01497813	0.01511400
Simiiformes	3121	0.01447716	0.01460848
Eutheria	1959	0.00908707	0.00916950
Euarchontoglires	1394	0.00646625	0.00652490
Amniota	638	0.00295944	0.00298629
Eukaryota	623	0.00288987	0.00291608
human gammaherpesvirus 4	523	0.00242600	0.00244801
Primates	489	0.00226829	0.00228887
Bilateria	376	0.00174412	0.00175995
Euteleostomi	376	0.00174412	0.00175995
Laurasiatheria	308	0.00142870	0.00144166
Cercopithecidae	265	0.00122924	0.00124039
uncultured eukaryote	263	0.00121996	0.00123103
Sus scrofa	238	0.00110399	0.00111401
Gorilla gorilla gorilla	236	0.00109472	0.00110465
Cercopithecinae	235	0.00109008	0.00109997
Callithrix jacchus	221	0.00102514	0.00103444
Pongo	212	0.00098339	0.00099231
Pan troglodytes	194	0.00089989	0.00090806
Theria	190	0.00088134	0.00088933
Hylobatidae	188	0.00087206	0.00087997
Pan	152	0.00070507	0.00071147
Nomascus leucogenys	144	0.00066796	0.00067402
Symphalangus syndactylus	142	0.00065869	0.00066466
Heterocephalus glaber	137	0.00063549	0.00064126
Haplorrhini	135	0.00062621	0.00063190
Theropithecus gelada	129	0.00059838	0.00060381
Piliocolobus tephrosceles	127	0.00058911	0.00059445
Tetrapoda	120	0.00055664	0.00056168
Hylobates moloch	118	0.00054736	0.00055232
Suidae	117	0.00054272	0.00054764
Colobinae	115	0.00053344	0.00053828
Cebus imitator	114	0.00052880	0.00053360
Carlito syrichta	111	0.00051489	0.00051956
Opisthokonta	111	0.00051489	0.00051956
Platyrrhini	111	0.00051489	0.00051956
Papio anubis	110	0.00051025	0.00051488
Trachypithecus francoisi	110	0.00051025	0.00051488
Mus musculus	107	0.00049633	0.00050084
Saimiri boliviensis boliviensis	106	0.00049169	0.00049615
Gnathostomata	104	0.00048242	0.00048679
Macaca mulatta	102	0.00047314	0.00047743
Aotus nancymaae	101	0.00046850	0.00047275
Cebinae	96	0.00044531	0.00044935
Fargesia denudata	95	0.00044067	0.00044467
Pan paniscus	93	0.00043139	0.00043531
Cebidae	90	0.00041748	0.00042126
Pongo abelii	89	0.00041284	0.00041658
