species	count	fraction_of_reads	fraction_of_classified
Homo sapiens	20314	0.09422908	0.09508385
Sus scrofa	238	0.00110399	0.00111401
Callithrix jacchus	221	0.00102514	0.00103444
Pan troglodytes	194	0.00089989	0.00090806
Nomascus leucogenys	144	0.00066796	0.00067402
Symphalangus syndactylus	142	0.00065869	0.00066466
Heterocephalus glaber	137	0.00063549	0.00064126
Theropithecus gelada	129	0.00059838	0.00060381
Piliocolobus tephrosceles	127	0.00058911	0.00059445
Hylobates moloch	118	0.00054736	0.00055232
Cebus imitator	114	0.00052880	0.00053360
Carlito syrichta	111	0.00051489	0.00051956
Papio anubis	110	0.00051025	0.00051488
Trachypithecus francoisi	110	0.00051025	0.00051488
Mus musculus	107	0.00049633	0.00050084
Macaca mulatta	102	0.00047314	0.00047743
Aotus nancymaae	101	0.00046850	0.00047275
Fargesia denudata	95	0.00044067	0.00044467
Pan paniscus	93	0.00043139	0.00043531
Pongo abelii	89	0.00041284	0.00041658
Chlorocebus sabaeus	86	0.00039892	0.00040254
Sapajus apella	70	0.00032470	0.00032765
Nycticebus coucang	65	0.00030151	0.00030425
Otolemur garnettii	61	0.00028296	0.00028552
Macaca fascicularis	58	0.00026904	0.00027148
Pongo pygmaeus	56	0.00025976	0.00026212
Cercocebus atys	55	0.00025512	0.00025744
Equus caballus	55	0.00025512	0.00025744
Rhinopithecus bieti	52	0.00024121	0.00024340
Tupaia chinensis	52	0.00024121	0.00024340
Microcebus murinus	50	0.00023193	0.00023404
Rhinopithecus roxellana	49	0.00022729	0.00022935
Rattus norvegicus	44	0.00020410	0.00020595
Lemur catta	41	0.00019018	0.00019191
Macaca nemestrina	40	0.00018555	0.00018723
Stathmonotus stahli	37	0.00017163	0.00017319
Sciurus carolinensis	35	0.00016235	0.00016382
Cavia porcellus	34	0.00015771	0.00015914
Castor canadensis	34	0.00015771	0.00015914
Dasypus novemcinctus	33	0.00015307	0.00015446
Lutra lutra	33	0.00015307	0.00015446
Echinops telfairi	32	0.00014844	0.00014978
Nannospalax galili	32	0.00014844	0.00014978
Mandrillus leucophaeus	31	0.00014380	0.00014510
Staphylococcus cohnii	31	0.00014380	0.00014510
Ailuropoda melanoleuca	31	0.00014380	0.00014510
Sturnira hondurensis	31	0.00014380	0.00014510
Jaculus jaculus	30	0.00013916	0.00014042
Hippodamia variegata	30	0.00013916	0.00014042
Choloepus didactylus	29	0.00013452	0.00013574
Elephantulus edwardii	29	0.00013452	0.00013574
Vicugna pacos	27	0.00012524	0.00012638
Propithecus coquereli	27	0.00012524	0.00012638
Bos taurus	26	0.00012060	0.00012170
Oryctolagus cuniculus	25	0.00011597	0.00011702
Megaleporinus elongatus	25	0.00011597	0.00011702
Cricetulus griseus	25	0.00011597	0.00011702
Protopterus annectens	24	0.00011133	0.00011234
Cervus canadensis	23	0.00010669	0.00010766
Chrysochloris asiatica	23	0.00010669	0.00010766
Desmodus rotundus	23	0.00010669	0.00010766
Fukomys damarensis	23	0.00010669	0.00010766
Chinchilla lanigera	22	0.00010205	0.00010298
Dama dama	22	0.00010205	0.00010298
Moschus berezovskii	21	0.00009741	0.00009829
Ochotona princeps	21	0.00009741	0.00009829
Cynocephalus volans	20	0.00009277	0.00009361
Talpa occidentalis	20	0.00009277	0.00009361
Erinaceus europaeus	20	0.00009277	0.00009361
Pteronotus mesoamericanus	19	0.00008813	0.00008893
Chionomys nivalis	19	0.00008813	0.00008893
Molossus molossus	19	0.00008813	0.00008893
Mastomys coucha	19	0.00008813	0.00008893
Lepus europaeus	19	0.00008813	0.00008893
Myotis davidii	18	0.00008350	0.00008425
Suncus etruscus	18	0.00008350	0.00008425
Galeopterus variegatus	18	0.00008350	0.00008425
Oryzias latipes	18	0.00008350	0.00008425
Neogale vison	17	0.00007886	0.00007957
Octodon degus	17	0.00007886	0.00007957
Hipposideros armiger	17	0.00007886	0.00007957
