                                 Started job on |	Aug 14 21:48:07
                             Started mapping on |	Aug 14 22:10:08
                                    Finished on |	Aug 14 22:10:44
       Mapping speed, Million of reads per hour |	20.04

                          Number of input reads |	200414
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	175831
                        Uniquely mapped reads % |	87.73%
                          Average mapped length |	106.55
                       Number of splices: Total |	81083
            Number of splices: Annotated (sjdb) |	80307
                       Number of splices: GT/AG |	80341
                       Number of splices: GC/AG |	607
                       Number of splices: AT/AC |	71
               Number of splices: Non-canonical |	64
                      Mismatch rate per base, % |	0.39%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.65
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.26
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	21548
             % of reads mapped to multiple loci |	10.75%
        Number of reads mapped to too many loci |	57
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2962
                 % of reads unmapped: too short |	1.48%
                Number of reads unmapped: other |	16
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
