section	item	value
SUMMARY	sample_count	15
SUMMARY	identity_signature_total	33.59126952
SUMMARY	best_signature_swap_gain	-1.49886327
SUMMARY	best_signature_swap	Bladder,Limb
SUMMARY	identity_size_sse	0.0635863191
SUMMARY	size_fit_slope	0.89820549
SUMMARY	best_size_swap_sse_reduction	0.0095948813
SUMMARY	best_size_swap	GallBladder,Spleen
SIGNATURE	Bladder	diagonal=1.366005;rank=2;top=Gill:1.5205,Bladder:1.3660,Prostate:0.7023,Stomach:0.6426,Limb:0.1617
SIGNATURE	Brain	diagonal=2.470278;rank=1;top=Brain:2.4703,Pancreas:0.5749,Stomach:0.3750,GallBladder:0.3114,Intestine:0.1420
SIGNATURE	Cloaca	diagonal=2.085569;rank=1;top=Cloaca:2.0856,Stomach:1.3873,Prostate:0.7773,Intestine:0.4294,Gill:0.3735
SIGNATURE	GallBladder	diagonal=0.966404;rank=1;top=GallBladder:0.9664,Intestine:0.7730,Cloaca:0.6160,Liver:0.3834,Lung:0.3736
SIGNATURE	Gill	diagonal=2.768864;rank=1;top=Gill:2.7689,Heart:0.3528,Bladder:0.2382,Cloaca:0.1780,Lung:0.1727
SIGNATURE	Heart	diagonal=3.379549;rank=1;top=Heart:3.3795,Gill:0.2473,GallBladder:0.1251,Limb:0.0062,Pancreas:-0.0461
SIGNATURE	Intestine	diagonal=2.761549;rank=1;top=Intestine:2.7615,Liver:1.1599,Stomach:0.6160,Cloaca:0.3210,GallBladder:0.0832
SIGNATURE	Kidney	diagonal=2.759649;rank=1;top=Kidney:2.7596,Prostate:0.9886,Bladder:0.3598,Stomach:0.0414,Brain:0.0307
SIGNATURE	Limb	diagonal=0.250805;rank=4;top=Cloaca:0.7914,Stomach:0.4025,Gill:0.3841,Limb:0.2508,Kidney:0.1754
SIGNATURE	Liver	diagonal=2.335842;rank=1;top=Liver:2.3358,Intestine:0.9656,GallBladder:0.4648,Kidney:0.3249,Cloaca:0.2683
SIGNATURE	Lung	diagonal=2.878786;rank=1;top=Lung:2.8788,Gill:0.7039,Cloaca:0.0311,Intestine:0.0046,Brain:-0.0669
SIGNATURE	Pancreas	diagonal=3.039604;rank=1;top=Pancreas:3.0396,Cloaca:0.2728,Stomach:0.1829,Heart:0.1472,Liver:0.0509
SIGNATURE	Prostate	diagonal=2.168630;rank=1;top=Prostate:2.1686,Stomach:0.7002,Cloaca:0.6851,Lung:0.4826,Gill:0.4308
SIGNATURE	Spleen	diagonal=1.489289;rank=1;top=Spleen:1.4893,Liver:0.8132,Heart:0.7678,Gill:0.4285,Limb:0.1912
SIGNATURE	Stomach	diagonal=2.870448;rank=1;top=Stomach:2.8704,Intestine:1.4956,Cloaca:0.0232,GallBladder:-0.0216,Liver:-0.0392
SIGNATURE_SWAP	Bladder,Limb	gain=-1.49886327;total=32.09240625
SIGNATURE_SWAP	GallBladder,Limb	gain=-1.77810499;total=31.81316452
SIGNATURE_SWAP	Cloaca,Limb	gain=-2.33545525;total=31.25581426
SIGNATURE_SWAP	Bladder,Gill	gain=-2.37611493;total=31.21515458
SIGNATURE_SWAP	GallBladder,Liver	gain=-2.45397094;total=31.13729858
SIGNATURE_SWAP	Limb,Spleen	gain=-2.47503526;total=31.11623425
SIGNATURE_SWAP	Bladder,Prostate	gain=-2.55379400;total=31.03747552
SIGNATURE_SWAP	Gill,Limb	gain=-2.60050851;total=30.99076100
SIGNATURE_SWAP	Bladder,GallBladder	gain=-2.64793275;total=30.94333676
SIGNATURE_SWAP	Cloaca,Prostate	gain=-2.79188097;total=30.79938855
SIGNATURE_SWAP	GallBladder,Intestine	gain=-2.87178892;total=30.71948059
SIGNATURE_SWAP	Kidney,Limb	gain=-2.93626258;total=30.65500694
SIGNATURE_SWAP	Limb,Prostate	gain=-2.95957029;total=30.63169923
SIGNATURE_SWAP	Intestine,Liver	gain=-2.97194003;total=30.61932949
SIGNATURE_SWAP	Limb,Lung	gain=-3.08061644;total=30.51065307
SIGNATURE_SWAP	Intestine,Limb	gain=-3.12988524;total=30.46138427
SIGNATURE_SWAP	Limb,Stomach	gain=-3.15769686;total=30.43357265
SIGNATURE_SWAP	Cloaca,GallBladder	gain=-3.19785427;total=30.39341524
SIGNATURE_SWAP	Brain,Limb	gain=-3.21929374;total=30.37197578
SIGNATURE_SWAP	Brain,GallBladder	gain=-3.44094850;total=30.15032101
SIGNATURE_SWAP	Bladder,Spleen	gain=-3.49759160;total=30.09367792
SIGNATURE_SWAP	Intestine,Stomach	gain=-3.52035836;total=30.07091116
SIGNATURE_SWAP	Cloaca,Stomach	gain=-3.54545099;total=30.04581853
SIGNATURE_SWAP	GallBladder,Lung	gain=-3.56532350;total=30.02594602
SIGNATURE_SWAP	Bladder,Cloaca	gain=-3.59445415;total=29.99681536
SIGNATURE_SWAP	Heart,Limb	gain=-3.61985396;total=29.97141555
SIGNATURE_SWAP	Limb,Liver	gain=-3.63781631;total=29.95345320
SIGNATURE_SWAP	GallBladder,Stomach	gain=-3.74593679;total=29.84533273
SIGNATURE_SWAP	Limb,Pancreas	gain=-3.83965614;total=29.75161338
SIGNATURE_SWAP	Bladder,Stomach	gain=-3.97559289;total=29.61567662
REFERENCE_SIZE	Bladder	gsm=GSM8426940;bytes=7361379926;matrix_total=701506327;log_residual=-0.06734308
REFERENCE_SIZE	Brain	gsm=GSM8426943;bytes=12048619808;matrix_total=1168148790;log_residual=0.00005427
REFERENCE_SIZE	Cloaca	gsm=GSM8426946;bytes=4079467003;matrix_total=484000505;log_residual=0.09170664
REFERENCE_SIZE	GallBladder	gsm=GSM8426949;bytes=4980611273;matrix_total=565994637;log_residual=0.06893580
REFERENCE_SIZE	Gill	gsm=GSM8426952;bytes=11566811496;matrix_total=1094125058;log_residual=-0.02875504
REFERENCE_SIZE	Heart	gsm=GSM8426953;bytes=9197722750;matrix_total=868549497;log_residual=-0.05378644
REFERENCE_SIZE	Intestine	gsm=GSM8426954;bytes=6322122007;matrix_total=699794434;log_residual=0.06691376
REFERENCE_SIZE	Kidney	gsm=GSM8426957;bytes=7755800716;matrix_total=745602917;log_residual=-0.05326043
REFERENCE_SIZE	Limb	gsm=GSM8426960;bytes=11646072827;matrix_total=1147926115;log_residual=0.01311294
REFERENCE_SIZE	Liver	gsm=GSM8426963;bytes=3644606637;matrix_total=398317869;log_residual=-0.00188512
REFERENCE_SIZE	Lung	gsm=GSM8426966;bytes=9346073087;matrix_total=877686879;log_residual=-0.05769270
REFERENCE_SIZE	Pancreas	gsm=GSM8426967;bytes=12518564809;matrix_total=1398702406;log_residual=0.14581127
