gene	Control_#1_B_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_T_cell	Control_#2_B_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#2_T_cell	Control_#3_B_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	Control_#3_T_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
CFLAR	19	279	16	4	554	33	172	10	633	19	1	174	80	3	494	120	0	361	30	1568	163	0	416	85	17	1165	210	19	242	593	76	939	25	139
ARF5	6	153	2	6	163	9	123	5	163	9	0	132	8	3	121	21	0	246	2	359	39	4	159	1	22	346	50	8	223	39	52	342	7	36
SKAP2	7	114	1	5	37	11	107	5	32	16	0	98	23	8	48	69	0	231	16	131	47	5	216	30	24	68	75	13	190	106	74	62	6	14
POLR2J	5	78	1	0	178	9	65	0	167	12	0	69	6	1	126	40	1	102	2	381	32	12	103	5	4	287	48	26	154	40	15	307	5	41
KMT2E	23	170	0	2	698	49	131	4	690	51	1	117	14	1	502	181	0	241	14	1287	265	14	219	16	2	914	323	41	214	167	13	1080	36	111
MYCBP2	22	164	1	4	483	53	146	2	478	44	1	137	8	0	392	187	0	278	7	1371	247	0	255	11	12	742	281	5	153	30	7	718	36	104
FBXL3	5	43	1	0	92	9	22	2	97	6	0	49	2	0	66	21	0	43	2	182	41	0	52	9	3	147	39	19	80	41	8	146	3	11
ITGAL	3	169	1	1	271	11	102	2	303	5	1	165	5	0	200	32	1	170	3	691	25	0	231	9	0	497	20	3	238	38	1	291	4	62
KDM7A	5	66	1	0	66	4	36	1	88	5	6	41	4	0	52	10	2	104	4	156	22	28	84	11	6	152	32	53	60	24	25	86	0	8
IFRD1	6	40	2	3	159	15	8	20	235	8	1	27	23	1	89	22	0	44	29	159	45	2	63	70	12	172	90	15	56	215	117	251	10	12
PAFAH1B1	31	377	11	4	864	56	287	6	838	45	2	255	32	2	610	253	2	537	25	2464	368	4	627	90	6	1663	322	40	355	257	25	1180	72	256
PSMB1	10	162	0	0	309	14	128	3	323	18	0	152	13	1	261	66	1	252	5	937	90	3	278	8	0	766	177	24	363	80	12	822	19	100
JARID2	2	170	2	3	91	14	105	6	86	7	1	96	8	2	45	29	1	198	9	179	45	2	356	15	4	102	42	14	405	71	19	129	4	13
CDKL5	8	283	6	0	171	9	252	7	148	8	1	148	32	1	91	16	0	189	17	268	22	4	239	24	0	165	16	10	102	127	5	94	8	24
SPAG9	6	195	7	0	109	17	151	6	138	9	1	110	39	0	92	36	0	188	15	224	35	0	177	59	3	199	46	7	159	219	10	187	6	19
ST3GAL1	2	32	0	2	103	8	31	0	98	3	6	25	3	0	74	17	0	69	2	369	15	30	66	5	5	149	16	63	59	40	9	119	2	27
SEC62	33	182	3	0	382	45	116	5	408	45	70	144	17	1	348	208	111	248	13	1341	243	170	233	16	0	732	169	1251	249	138	21	774	28	112
RPS20	228	1052	1	4	5551	380	935	3	5313	468	1	936	5	3	3721	1353	10	1523	1	12892	1609	23	1317	13	13	7171	2618	149	1632	50	60	9194	233	980
CSDE1	20	355	2	4	582	34	264	1	556	32	9	218	24	3	363	110	12	426	4	1228	159	59	458	32	15	832	263	184	371	102	51	965	28	95
ZNF207	22	258	4	0	504	28	217	0	427	34	0	216	13	0	363	106	0	354	7	1144	133	4	365	17	3	801	214	20	359	81	16	782	25	86
IDS	15	186	1	1	566	22	175	2	582	34	1	143	7	0	614	65	1	270	7	870	93	1	226	14	0	1036	264	3	199	63	1	784	12	46
BTK	29	225	5	6	446	40	154	3	335	30	0	164	24	3	296	144	0	254	12	909	162	1	293	31	18	621	132	2	185	85	30	417	25	70
AKAP8L	3	44	1	0	104	9	27	1	82	7	6	27	1	0	81	18	3	56	0	256	36	16	52	5	4	147	40	72	64	10	3	172	3	20
SLC25A39	2	21	0	0	57	4	16	2	50	4	103	17	0	0	42	12	148	37	2	173	18	635	46	1	3	111	19	1315	33	5	8	141	6	25
CLK1	21	120	2	0	382	19	77	4	311	15	0	66	9	0	186	48	0	104	3	489	88	5	120	21	2	483	132	25	99	45	6	488	8	45
RNF14	9	82	1	0	267	18	69	3	253	15	6	71	2	0	187	71	9	138	7	731	75	18	166	19	4	439	64	76	85	29	17	318	22	96
CAPN1	2	49	0	11	64	1	28	1	80	3	0	40	3	14	61	22	0	57	2	168	25	0	78	7	23	137	23	9	63	14	113	153	8	21
WAS	4	119	2	0	132	7	95	5	159	4	0	92	16	0	111	42	0	221	10	455	37	1	198	18	2	268	43	0	142	164	3	248	9	45
