gene	log2_fold_change	p_value	fdr
CFLAR	-0.06070585256	0.5546451063	0.7585821803
ARF5	0.09537979453	0.4898721161	0.7165069129
SKAP2	-0.09608706354	0.5060838493	0.7281738054
POLR2J	-0.01068857272	0.9207620803	0.9623627413
KMT2E	0.05726917186	0.5646661375	0.7662943119
MYCBP2	0.07392727153	0.5767494959	0.7768699237
FBXL3	0.1100481369	0.4557187333	0.6905854399
ITGAL	0.1952569337	0.1816163307	0.4172503804
KDM7A	0.08813654551	0.6261894696	0.8061484253
IFRD1	0.04140314771	0.8769058798	0.9478252786
PAFAH1B1	-0.1966484491	0.1242720284	0.3389021539
PSMB1	-0.3654360982	0.0004819608298	0.01275411159
JARID2	-0.07217794634	0.6700058882	0.8436626124
CDKL5	0.8788888856	8.662150217e-07	0.0002063035443
SPAG9	0.3441007456	0.002167500559	0.02949865047
ST3GAL1	-0.1229375948	0.5147471893	0.7326772884
SEC62	-0.003075947794	0.9840946572	0.9910933275
RPS20	0.1148328728	0.2223205916	0.4681291103
CSDE1	0.07409606442	0.414888826	0.6517059503
ZNF207	0.04687183566	0.5458226522	0.7534087314
IDS	0.3565720882	0.04266024946	0.1777303104
BTK	0.316764149	0.01641104415	0.1006497085
AKAP8L	0.02042444198	0.8772562029	0.9478252786
SLC25A39	-0.3029832625	0.1160943123	0.3227602573
CLK1	0.347778553	0.01046274834	0.07869088091
RNF14	-0.1762310612	0.345066316	0.5856667128
CAPN1	-0.05450262848	0.7429656011	0.8862252454
WAS	-0.2431169585	0.05070732696	0.1933251128
RALBP1	-0.3207914829	0.05583084754	0.2053266991
CD74	0.2005416052	0.3207928246	0.5687505537
SERPINB1	-0.3013158913	0.0142881583	0.09266877265
RTF2	-0.1559167564	0.3452831068	0.5856667128
RNF10	0.1990016405	0.05929044044	0.2134157163
RB1CC1	0.2035587139	0.1956891839	0.4348986685
STRAP	-0.1907535988	0.3044633842	0.5539491783
UBR2	0.158733169	0.3079984502	0.559118832
PHF20	0.1731566927	0.116711295	0.3238455157
TYMP	-0.2671570829	0.1131104678	0.318806427
VIM	-0.347995829	0.03422693133	0.1596685055
RNASET2	-0.08848545247	0.4525619842	0.687907723
PIAS1	0.0556876365	0.668467119	0.8433193028
MAP2K3	0.05659959529	0.6847112157	0.8532031111
TMSB10	-0.3584892562	0.03509198491	0.161242593
GABARAPL2	-0.04172810066	0.71685496	0.8673884316
CUL3	-0.1422339623	0.2652795108	0.5133946053
BOD1L1	0.002571972141	0.9789360504	0.9893208034
PSMA4	-0.3513545841	0.009131016187	0.07249012295
AP2S1	-0.2158696056	0.08975988795	0.2776339391
DCUN1D1	-0.2612416017	0.138556997	0.3599962704
TPR	0.1609416515	0.289347159	0.5390835596
RSF1	-0.08249718758	0.4411867702	0.6742843793
CELF2	0.1311336076	0.2889841158	0.5390835596
ARID1B	0.03543816122	0.7980332705	0.9123116349
CYBA	-0.3121614015	0.006301528828	0.05663449493
FOXN3	0.4479492801	0.001060015041	0.02019681991
THRAP3	-0.3087650259	0.02186580238	0.1215806677
ARID4B	-0.006274910553	0.9581837381	0.9766366347
SZRD1	-0.1264650704	0.3369194484	0.5786753506
TAB2	0.2559810333	0.03085355222	0.1492813823
KMT2C	0.1975964173	0.02164357222	0.1208150965
PITHD1	0.2057875666	0.3158967452	0.5651573393
ATP11B	0.3050443693	0.01225729631	0.08714266881
PPP1R12A	-0.05124735264	0.6700889189	0.8436626124
TARBP1	0.2906367274	0.03307114545	0.156400586
SLC2A3	0.1651405107	0.3678497474	0.6048990668
YBX3	0.0999534618	0.6114410208	0.7954854243
WNK1	0.08047942433	0.4731570515	0.7030098606
GPBP1	-0.01931749117	0.8588873007	0.9372150709
VMP1	-0.3363468126	0.1473940759	0.3701689534
EIF4B	0.09289819581	0.3632079708	0.598643818
RPL18	-0.1305904482	0.3454982777	0.5856667128
EPN1	0.0993383081	0.5021248539	0.7240528922
TAF2	0.523301927	1.464496483e-05	0.001307978421
CNN2	-0.302299398	0.04069684834	0.174537652
GNAI3	-0.03317825008	0.761759848	0.8947027404
PKN2	0.3239368042	0.01506835075	0.09382924863
PDIA5	0.4481576171	0.03152921143	0.1506214718
NDUFB4	-0.2833778448	0.02387453694	0.1259434186
SPEN	0.2363949697	0.09117740672	0.2796775379
ZC3H15	-0.2908814112	0.009324532555	0.07361744211
SLK	-0.0005030865248	0.9975009513	0.9981994813
CYB5R4	0.1943555703	0.1427824122	0.3643652927
FAM107B	-0.04660387894	0.7528202941	0.8905953397
YBX1	-0.3481605945	0.002043480706	0.028628764
PPP2R5A	0.00895235287	0.9524399423	0.9747820562
ELAVL1	0.03257430435	0.8247880114	0.9236850064
SP100	-0.1858994027	0.2748327678	0.5229507659
KLF6	-0.3035525814	0.2197534986	0.4638519195
TRAM1	-0.1273862349	0.2448490199	0.4937182413
RHOA	-0.1364506465	0.286852783	0.53794308
ROCK1	-0.0169149385	0.8624165438	0.940040611
MEF2A	-0.09162861841	0.5624580692	0.7654786485
OTUD5	0.3538545923	0.007234703589	0.06219968364
GRIPAP1	0.2606507179	0.06331117283	0.2194894645
PRR11	0.5452664903	0.0002205976015	0.008082922373
KIF2A	-0.2240262783	0.1306022761	0.3468971238
RASGRP2	-0.3045656941	0.05665028733	0.2059879404
PSME4	-0.06697155594	0.6931979734	0.8581650457
GNB5	0.3050920396	0.04805957384	0.1894410016
RAB27A	-0.3647698769	0.06109516127	0.2153836572
UFD1	-0.7723168977	6.501477426e-07	0.0001858122248
DAPP1	-0.08601326767	0.6131626489	0.7958305407
PABPC1	0.1384388993	0.1926462617	0.4301429812
CDC42	-0.09662027295	0.2910429843	0.5401304215
MAP4K4	0.1331464412	0.3207097208	0.5687505537
