index	plus_fraction	max_20bp_multiplicity	weighted_peak_lag_bp	weighted_peak_correlation	weighted_corr_zero	weighted_corr_40bp	weighted_corr_100bp	weighted_corr_160bp	binary_peak_lag_bp	binary_peak_correlation	binary_corr_zero	binary_corr_40bp	binary_corr_100bp	binary_corr_160bp
1	0.4995791	1713	40	0.6119590728354621	0.3086099522008771	0.6119590728354621	0.3297414967945773	0.22984774585855752	60	0.15774366612459495	0.12955241866428052	0.15471193210621983	0.1394405487433106	0.1043906565785301
2	0.4996863	5010	40	0.7915986485542471	0.2037244030288303	0.7915986485542471	0.26768514242026753	0.11840514722637722	60	0.20056143557833891	0.1454765738194194	0.1917345354526717	0.15121250626294902	0.11595118046605005
3	0.4999913	681	60	0.5951586517119895	0.3032694065488393	0.45370142971473326	0.3878735766289603	0.24376744910782558	60	0.20725339693700787	0.1337452910543146	0.18184373719908536	0.15985665711998182	0.11953108805627682
4	0.4999768033445669	125	0	0.3597711643107971	0.3597711643107971	0.3283112424979766	0.2952691332323803	0.2549794729857797	0	0.14796042304070436	0.14796042304070436	0.13702598673257185	0.11921857074705892	0.1139497022083996
5	0.5001548	10758	60	0.7624318596184148	0.0625384113814443	0.7191350781232357	0.3913356885228017	0.04890207674620544	60	0.1487217875599088	0.1129552533339665	0.14172280235584891	0.12272177994392328	0.09037201734141237
6	0.5000088	4758	80	0.8547857518289304	0.16258531449192815	0.5353512239117088	0.7027164021108868	0.1758358108291068	60	0.2058518424616336	0.16950370173174747	0.1907784896840308	0.19691611245967944	0.1879614381517626
7	0.5000614	3957	60	0.7821321113623436	0.2756636874675931	0.7131209086766126	0.34510863352487786	0.18938252148884277	60	0.21129535375675687	0.1455397670500871	0.19843306232878516	0.15647164379871492	0.12262044352879338
8	0.4997902	242	0	0.20719731061584035	0.20719731061584035	0.1498005006993402	0.09724301871334078	0.06326473799228233	0	0.06990523114983425	0.06990523114983425	0.05805048710102108	0.04401250212913474	0.03658416654370908
9	0.3992306	2059142	60	2.0432463708940058e-05	1.5907906722201372e-05	1.340921016448317e-05	9.631762179484177e-06	7.241097129109067e-06	0	0.08306246218111238	0.08306246218111238	0.07419115185056213	0.06059681702689241	0.05197908577483189
10	0.4931343	141339	0	0.005092972591155995	0.005092972591155995	0.003549715422901846	0.002477340982293182	0.0017662115114441285	0	0.1628317060925211	0.1628317060925211	0.14113939431222222	0.12202216876110199	0.11101148475268569
