section	min_AS	margin	human	mouse	pig	mixed_or_ambiguous
mapped_reads	NA	NA	322211	400912	483625	NA
assigned_reads	40	5	205177	347692	399648	155
confident_cells	40	5	50	148	300	102
assigned_reads	40	10	204605	346445	398010	146
confident_cells	40	10	50	148	300	102
assigned_reads	60	5	204859	346985	396619	148
confident_cells	60	5	50	148	300	102
assigned_reads	60	10	204295	345754	394997	139
confident_cells	60	10	50	148	300	102
assigned_reads	60	20	203098	341736	386662	110
confident_cells	60	20	50	149	300	101
assigned_reads	80	10	203040	341042	369693	121
confident_cells	80	10	50	148	300	102
score_bins_human	NA	NA	30:3,40:21,50:6506,60:6224,70:7054,80:7706,90:9392,100:12185,110:14003,120:16718,130:14970,140:14026,150:14391,160:15280,170:22482,180:161250	NA	NA	NA
score_bins_mouse	NA	NA	10:1,20:1,30:2,40:14,50:2631,60:9512,70:8840,80:7707,90:8270,100:11825,110:9869,120:18770,130:9874,140:8629,150:9677,160:15417,170:33638,180:246235	NA	NA	NA
score_bins_pig	NA	NA	0:3,20:3,30:7,40:67,50:4504,60:15777,70:22596,80:24712,90:34699,100:36924,110:33701,120:57500,130:32177,140:16358,150:13328,160:18400,170:30585,180:142284	NA	NA	NA
