species	rank	gene	umis
human	1	HBB	55705
human	2	HBA2	32142
human	3	HBA1	27528
human	4	LGI2	307
human	5	HBD	267
human	6	UBB	263
human	7	FTL	198
human	8	IFI27	156
human	9	S100A9	118
human	10	B2M	102
human	11	TPT1	102
human	12	UBA52	99
human	13	AHSP	96
human	14	ACTB	93
human	15	LYZ	93
human	16	SLC25A39	87
human	17	GPX1	81
human	18	RPS12	75
human	19	ALAS2	75
human	20	CA1	70
human	21	OAZ1	69
human	22	SLC25A37	69
human	23	ATP5F1E	66
human	24	FKBP8	64
human	25	S100A8	63
human	26	FTH1	62
human	27	BNIP3L	61
human	28	RPL41	57
human	29	TMSB4X	55
human	30	MT-CO3	54
human	31	SERF2	53
human	32	HBM	53
human	33	SNCA	48
human	34	YBX3	46
human	35	ADIPOR1	43
human	36	GLRX5	43
human	37	MT-CO1	42
human	38	MT-CO2	42
human	39	MT-ATP6	41
human	40	EEF1A1	39
human	41	RPLP1	37
human	42	EIF1	37
human	43	GMPR	37
human	44	ENSSSCG00000055221	36
human	45	BSG	35
human	46	BLVRB	34
human	47	RPL32	31
human	48	NCOA4	31
human	49	MT2A	31
human	50	GUK1	31
human	51	RPL13	30
human	52	ENSSSCG00000056610	30
human	53	BPGM	30
human	54	RPL10	29
human	55	RPL30	29
human	56	FAM210B	29
human	57	S100A4	28
human	58	BTF3	28
human	59	HLA-A	27
human	60	RPL35A	27
human	61	JUN	26
human	62	RPS24	26
human	63	MT-ND3	25
human	64	MT-ND4	25
human	65	RPL21	25
human	66	MT-ND1	24
human	67	H1-2	24
human	68	GYPC	24
human	69	PIP4K2A	23
human	70	ENSG00000282017	23
human	71	RPL34	23
human	72	RNF10	23
human	73	FBXO7	23
human	74	SH3BGRL3	22
human	75	RPS13	22
human	76	TMSB10	22
human	77	MT-ND2	22
human	78	RPLP2	22
human	79	ENSG00000225840	22
human	80	LGALS3	22
human	81	JUND	22
human	82	ATP6V0C	22
human	83	RPL39	21
human	84	MT-CYB	21
human	85	RPS11	21
human	86	SNX3	21
human	87	RPS27	20
human	88	S100A6	20
human	89	FCN1	20
human	90	RPS15A	20
human	91	TENT5C	20
human	92	RPL28	19
human	93	RPL37	19
human	94	GABARAP	19
human	95	GSPT1	19
human	96	TALDO1	19
