geneID	WL1
ENSMUSG00000000001	2167
ENSMUSG00000000003	0
ENSMUSG00000000028	34
ENSMUSG00000000037	0
ENSMUSG00000000049	0
ENSMUSG00000000056	186
ENSMUSG00000000058	2733
ENSMUSG00000000078	11859
ENSMUSG00000000085	108
ENSMUSG00000000088	1732
ENSMUSG00000000093	1
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	1
ENSMUSG00000000125	0
ENSMUSG00000000126	5
ENSMUSG00000000127	204
ENSMUSG00000000131	1695
ENSMUSG00000000134	2559
ENSMUSG00000000142	7
ENSMUSG00000000148	178
ENSMUSG00000000149	540
ENSMUSG00000000154	47
ENSMUSG00000000157	44
ENSMUSG00000000159	0
ENSMUSG00000000167	6
ENSMUSG00000000168	633
ENSMUSG00000000171	881
ENSMUSG00000000182	0
ENSMUSG00000000183	1
ENSMUSG00000000184	6715
ENSMUSG00000000194	1394
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	23746
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	3
ENSMUSG00000000244	20
ENSMUSG00000000247	530
ENSMUSG00000000248	0
ENSMUSG00000000253	13
ENSMUSG00000000263	0
ENSMUSG00000000266	5
ENSMUSG00000000275	10222
ENSMUSG00000000276	157
ENSMUSG00000000278	3972
ENSMUSG00000000282	469
ENSMUSG00000000290	31327
ENSMUSG00000000295	23
ENSMUSG00000000296	3
ENSMUSG00000000301	11
ENSMUSG00000000303	2
ENSMUSG00000000305	0
ENSMUSG00000000308	0
ENSMUSG00000000317	2
ENSMUSG00000000318	5
ENSMUSG00000000320	24
ENSMUSG00000000325	8
ENSMUSG00000000326	315
ENSMUSG00000000339	527
ENSMUSG00000000340	397
ENSMUSG00000000346	4240
ENSMUSG00000000355	228
ENSMUSG00000000359	5
ENSMUSG00000000365	6
ENSMUSG00000000374	1040
ENSMUSG00000000378	559
ENSMUSG00000000381	0
ENSMUSG00000000384	543
ENSMUSG00000000385	0
ENSMUSG00000000386	50437
ENSMUSG00000000392	108
ENSMUSG00000000394	1
ENSMUSG00000000399	450
ENSMUSG00000000402	0
ENSMUSG00000000409	63
ENSMUSG00000000411	0
ENSMUSG00000000416	0
ENSMUSG00000000420	1063
ENSMUSG00000000435	0
ENSMUSG00000000439	222
ENSMUSG00000000440	22
ENSMUSG00000000441	2258
ENSMUSG00000000486	7
ENSMUSG00000000489	354
ENSMUSG00000000530	838
ENSMUSG00000000531	8
ENSMUSG00000000532	1666
ENSMUSG00000000538	866
ENSMUSG00000000544	0
ENSMUSG00000000552	1886
ENSMUSG00000000555	20898
ENSMUSG00000000560	0
ENSMUSG00000000561	81
ENSMUSG00000000562	34
ENSMUSG00000000563	2293
ENSMUSG00000000567	34
ENSMUSG00000000568	2069
ENSMUSG00000000579	78
ENSMUSG00000000581	317
ENSMUSG00000000594	10283
ENSMUSG00000000600	697
ENSMUSG00000000605	859
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	2
ENSMUSG00000000628	3048
ENSMUSG00000000631	600
ENSMUSG00000000632	0
ENSMUSG00000000673	0
ENSMUSG00000000682	10653
ENSMUSG00000000686	22
ENSMUSG00000000690	9
ENSMUSG00000000693	887
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	2001
ENSMUSG00000000711	2389
ENSMUSG00000000724	0
ENSMUSG00000000730	43
ENSMUSG00000000731	0
ENSMUSG00000000732	766
ENSMUSG00000000738	670
ENSMUSG00000000739	0
ENSMUSG00000000740	4919
ENSMUSG00000000743	1834
ENSMUSG00000000751	204
ENSMUSG00000000753	682
ENSMUSG00000000759	348
ENSMUSG00000000766	0
ENSMUSG00000000776	494
ENSMUSG00000000782	0
ENSMUSG00000000787	2484
ENSMUSG00000000791	93
ENSMUSG00000000792	2
ENSMUSG00000000794	29
ENSMUSG00000000804	1072
ENSMUSG00000000805	179
ENSMUSG00000000811	50
ENSMUSG00000000817	0
ENSMUSG00000000823	130
ENSMUSG00000000826	1839
ENSMUSG00000000827	580
ENSMUSG00000000838	1001
ENSMUSG00000000861	2
ENSMUSG00000000869	0
ENSMUSG00000000876	41
ENSMUSG00000000881	81
ENSMUSG00000000884	8
ENSMUSG00000000889	0
ENSMUSG00000000901	7
ENSMUSG00000000902	645
ENSMUSG00000000903	0
ENSMUSG00000000915	47
ENSMUSG00000000916	87
ENSMUSG00000000934	60
ENSMUSG00000000938	4
ENSMUSG00000000942	3
ENSMUSG00000000957	39403
ENSMUSG00000000958	434
ENSMUSG00000000959	457
ENSMUSG00000000976	935
ENSMUSG00000000982	27159
ENSMUSG00000000983	17
ENSMUSG00000001014	4
ENSMUSG00000001016	286
ENSMUSG00000001017	1283
ENSMUSG00000001018	802
ENSMUSG00000001020	4
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	1696
ENSMUSG00000001027	0
ENSMUSG00000001029	23
ENSMUSG00000001034	572
ENSMUSG00000001036	51
ENSMUSG00000001039	1
ENSMUSG00000001052	4145
ENSMUSG00000001053	59
ENSMUSG00000001054	167
ENSMUSG00000001056	467
ENSMUSG00000001062	644
ENSMUSG00000001065	838
ENSMUSG00000001076	0
ENSMUSG00000001082	364
ENSMUSG00000001089	1872
ENSMUSG00000001095	1
ENSMUSG00000001098	1603
ENSMUSG00000001100	273
ENSMUSG00000001103	0
ENSMUSG00000001105	224
ENSMUSG00000001119	1392
ENSMUSG00000001120	10
ENSMUSG00000001123	14045
ENSMUSG00000001127	548
ENSMUSG00000001128	2732
ENSMUSG00000001131	3163
ENSMUSG00000001134	66
ENSMUSG00000001138	135
ENSMUSG00000001143	192
ENSMUSG00000001150	456
ENSMUSG00000001151	310
ENSMUSG00000001155	0
ENSMUSG00000001156	1709
ENSMUSG00000001157	217
ENSMUSG00000001158	719
ENSMUSG00000001166	248
ENSMUSG00000001168	0
ENSMUSG00000001173	430
ENSMUSG00000001175	20342
ENSMUSG00000001211	908
ENSMUSG00000001225	0
ENSMUSG00000001227	37
ENSMUSG00000001228	107
ENSMUSG00000001229	915
ENSMUSG00000001240	1
ENSMUSG00000001247	13
ENSMUSG00000001248	1525
ENSMUSG00000001249	16
ENSMUSG00000001260	0
ENSMUSG00000001270	1096
ENSMUSG00000001280	1023
ENSMUSG00000001281	23
ENSMUSG00000001285	97
ENSMUSG00000001288	174
ENSMUSG00000001289	1318
