geneID	KL3
ENSMUSG00000000001	2901
ENSMUSG00000000003	0
ENSMUSG00000000028	10
ENSMUSG00000000037	3
ENSMUSG00000000049	0
ENSMUSG00000000056	301
ENSMUSG00000000058	4690
ENSMUSG00000000078	11440
ENSMUSG00000000085	38
ENSMUSG00000000088	2214
ENSMUSG00000000093	1
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	0
ENSMUSG00000000125	1
ENSMUSG00000000126	0
ENSMUSG00000000127	65
ENSMUSG00000000131	887
ENSMUSG00000000134	2180
ENSMUSG00000000142	0
ENSMUSG00000000148	92
ENSMUSG00000000149	349
ENSMUSG00000000154	57
ENSMUSG00000000157	12
ENSMUSG00000000159	0
ENSMUSG00000000167	3
ENSMUSG00000000168	407
ENSMUSG00000000171	1230
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	2363
ENSMUSG00000000194	1321
ENSMUSG00000000197	0
ENSMUSG00000000202	2
ENSMUSG00000000204	7086
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	0
ENSMUSG00000000244	90
ENSMUSG00000000247	310
ENSMUSG00000000248	0
ENSMUSG00000000253	22
ENSMUSG00000000263	0
ENSMUSG00000000266	1
ENSMUSG00000000275	8952
ENSMUSG00000000276	183
ENSMUSG00000000278	5091
ENSMUSG00000000282	742
ENSMUSG00000000290	41115
ENSMUSG00000000295	44
ENSMUSG00000000296	0
ENSMUSG00000000301	27
ENSMUSG00000000303	31
ENSMUSG00000000305	0
ENSMUSG00000000308	0
ENSMUSG00000000317	10
ENSMUSG00000000318	11
ENSMUSG00000000320	79
ENSMUSG00000000325	3
ENSMUSG00000000326	214
ENSMUSG00000000339	586
ENSMUSG00000000340	156
ENSMUSG00000000346	5820
ENSMUSG00000000355	350
ENSMUSG00000000359	0
ENSMUSG00000000365	2
ENSMUSG00000000374	1234
ENSMUSG00000000378	564
ENSMUSG00000000381	0
ENSMUSG00000000384	455
ENSMUSG00000000385	0
ENSMUSG00000000386	30295
ENSMUSG00000000392	100
ENSMUSG00000000394	2
ENSMUSG00000000399	622
ENSMUSG00000000402	0
ENSMUSG00000000409	43
ENSMUSG00000000411	1
ENSMUSG00000000416	0
ENSMUSG00000000420	1119
ENSMUSG00000000435	0
ENSMUSG00000000439	195
ENSMUSG00000000440	2
ENSMUSG00000000441	4628
ENSMUSG00000000486	6
ENSMUSG00000000489	456
ENSMUSG00000000530	3210
ENSMUSG00000000531	5
ENSMUSG00000000532	657
ENSMUSG00000000538	432
ENSMUSG00000000544	0
ENSMUSG00000000552	787
ENSMUSG00000000555	7605
ENSMUSG00000000560	0
ENSMUSG00000000561	33
ENSMUSG00000000562	8
ENSMUSG00000000563	3489
ENSMUSG00000000567	0
ENSMUSG00000000568	1387
ENSMUSG00000000579	35
ENSMUSG00000000581	417
ENSMUSG00000000594	10768
ENSMUSG00000000600	451
ENSMUSG00000000605	756
ENSMUSG00000000606	0
ENSMUSG00000000617	5
ENSMUSG00000000627	0
ENSMUSG00000000628	863
ENSMUSG00000000631	240
ENSMUSG00000000632	0
ENSMUSG00000000673	2
ENSMUSG00000000682	26605
ENSMUSG00000000686	23
ENSMUSG00000000690	1
ENSMUSG00000000693	65
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1113
ENSMUSG00000000711	2269
ENSMUSG00000000724	0
ENSMUSG00000000730	153
ENSMUSG00000000731	0
ENSMUSG00000000732	244
ENSMUSG00000000738	571
ENSMUSG00000000739	0
ENSMUSG00000000740	5235
ENSMUSG00000000743	2333
ENSMUSG00000000751	97
ENSMUSG00000000753	17
ENSMUSG00000000759	191
ENSMUSG00000000766	0
ENSMUSG00000000776	381
ENSMUSG00000000782	2
ENSMUSG00000000787	3034
ENSMUSG00000000791	129
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	771
