geneID	KL1
ENSMUSG00000000001	2386
ENSMUSG00000000003	0
ENSMUSG00000000028	31
ENSMUSG00000000037	1
ENSMUSG00000000049	0
ENSMUSG00000000056	183
ENSMUSG00000000058	2394
ENSMUSG00000000078	10012
ENSMUSG00000000085	142
ENSMUSG00000000088	1811
ENSMUSG00000000093	10
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	8
ENSMUSG00000000125	0
ENSMUSG00000000126	7
ENSMUSG00000000127	130
ENSMUSG00000000131	1563
ENSMUSG00000000134	3066
ENSMUSG00000000142	1
ENSMUSG00000000148	151
ENSMUSG00000000149	493
ENSMUSG00000000154	119
ENSMUSG00000000157	9
ENSMUSG00000000159	0
ENSMUSG00000000167	7
ENSMUSG00000000168	604
ENSMUSG00000000171	1115
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	1207
ENSMUSG00000000194	1607
ENSMUSG00000000197	0
ENSMUSG00000000202	12
ENSMUSG00000000204	8744
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	0
ENSMUSG00000000244	115
ENSMUSG00000000247	132
ENSMUSG00000000248	4
ENSMUSG00000000253	38
ENSMUSG00000000263	0
ENSMUSG00000000266	11
ENSMUSG00000000275	9062
ENSMUSG00000000276	298
ENSMUSG00000000278	6528
ENSMUSG00000000282	1045
ENSMUSG00000000290	57307
ENSMUSG00000000295	46
ENSMUSG00000000296	0
ENSMUSG00000000301	36
ENSMUSG00000000303	32
ENSMUSG00000000305	1
ENSMUSG00000000308	0
ENSMUSG00000000317	15
ENSMUSG00000000318	7
ENSMUSG00000000320	76
ENSMUSG00000000325	9
ENSMUSG00000000326	432
ENSMUSG00000000339	517
ENSMUSG00000000340	161
ENSMUSG00000000346	4806
ENSMUSG00000000355	308
ENSMUSG00000000359	8
ENSMUSG00000000365	2
ENSMUSG00000000374	1636
ENSMUSG00000000378	498
ENSMUSG00000000381	0
ENSMUSG00000000384	625
ENSMUSG00000000385	0
ENSMUSG00000000386	27182
ENSMUSG00000000392	90
ENSMUSG00000000394	1
ENSMUSG00000000399	555
ENSMUSG00000000402	0
ENSMUSG00000000409	41
ENSMUSG00000000411	0
ENSMUSG00000000416	0
ENSMUSG00000000420	1104
ENSMUSG00000000435	0
ENSMUSG00000000439	227
ENSMUSG00000000440	23
ENSMUSG00000000441	5101
ENSMUSG00000000486	0
ENSMUSG00000000489	1005
ENSMUSG00000000530	4329
ENSMUSG00000000531	11
ENSMUSG00000000532	963
ENSMUSG00000000538	368
ENSMUSG00000000544	1
ENSMUSG00000000552	787
ENSMUSG00000000555	9818
ENSMUSG00000000560	0
ENSMUSG00000000561	71
ENSMUSG00000000562	13
ENSMUSG00000000563	2641
ENSMUSG00000000567	18
ENSMUSG00000000568	1884
ENSMUSG00000000579	37
ENSMUSG00000000581	292
ENSMUSG00000000594	14934
ENSMUSG00000000600	621
ENSMUSG00000000605	907
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	0
ENSMUSG00000000628	1741
ENSMUSG00000000631	892
ENSMUSG00000000632	0
ENSMUSG00000000673	0
ENSMUSG00000000682	10390
ENSMUSG00000000686	42
ENSMUSG00000000690	2
ENSMUSG00000000693	598
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1093
ENSMUSG00000000711	2488
ENSMUSG00000000724	1
ENSMUSG00000000730	180
ENSMUSG00000000731	0
ENSMUSG00000000732	130
ENSMUSG00000000738	760
ENSMUSG00000000739	0
ENSMUSG00000000740	4467
ENSMUSG00000000743	1634
ENSMUSG00000000751	220
ENSMUSG00000000753	438
ENSMUSG00000000759	252
ENSMUSG00000000766	0
ENSMUSG00000000776	466
ENSMUSG00000000782	1
ENSMUSG00000000787	3274
ENSMUSG00000000791	184
ENSMUSG00000000792	0
ENSMUSG00000000794	16
