section	lag	metric	value
same_time	0	n_c0_t0	120150
same_time	0	n_c0_t1	21846
same_time	0	n_c1_t0	6764
same_time	0	n_c1_t1	1240
same_time	0	p_trans_given_contact	0.1549225387
same_time	0	p_trans_given_no_contact	0.1538494042
same_time	0	risk_difference	0.001073134522
same_time	0	odds_ratio	1.00825395
same_time	0	log_or_z	0.258857739
contact_to_transcription	-12	n_pairs	142800
contact_to_transcription	-12	n_c1_t1	1218
contact_to_transcription	-12	n_c1_t0	6408
contact_to_transcription	-12	n_c0_t1	20803
contact_to_transcription	-12	n_c0_t0	114371
contact_to_transcription	-12	p_trans_given_contact	0.1597167585
contact_to_transcription	-12	p_trans_given_no_contact	0.153897939
contact_to_transcription	-12	risk_difference	0.005818819505
contact_to_transcription	-12	relative_risk	1.0378096
contact_to_transcription	-12	odds_ratio	1.044996256
contact_to_transcription	-12	log_or_z	1.368823762
contact_to_transcription	-11	n_pairs	143400
contact_to_transcription	-11	n_c1_t1	1163
contact_to_transcription	-11	n_c1_t0	6496
contact_to_transcription	-11	n_c0_t1	20952
contact_to_transcription	-11	n_c0_t0	114789
contact_to_transcription	-11	p_trans_given_contact	0.1518474997
contact_to_transcription	-11	p_trans_given_no_contact	0.1543527748
contact_to_transcription	-11	risk_difference	-0.002505275096
contact_to_transcription	-11	relative_risk	0.9837691606
contact_to_transcription	-11	odds_ratio	0.9808633007
contact_to_transcription	-11	log_or_z	-0.5906338157
contact_to_transcription	-10	n_pairs	144000
contact_to_transcription	-10	n_c1_t1	1156
contact_to_transcription	-10	n_c1_t0	6528
contact_to_transcription	-10	n_c0_t1	21057
contact_to_transcription	-10	n_c0_t0	115259
contact_to_transcription	-10	p_trans_given_contact	0.1504424779
contact_to_transcription	-10	p_trans_given_no_contact	0.1544719622
contact_to_transcription	-10	risk_difference	-0.004029484329
contact_to_transcription	-10	relative_risk	0.9739144614
contact_to_transcription	-10	odds_ratio	0.9692951473
contact_to_transcription	-10	log_or_z	-0.9514314511
contact_to_transcription	-9	n_pairs	144600
contact_to_transcription	-9	n_c1_t1	1112
contact_to_transcription	-9	n_c1_t0	6594
contact_to_transcription	-9	n_c0_t1	21203
contact_to_transcription	-9	n_c0_t0	115691
contact_to_transcription	-9	p_trans_given_contact	0.1443031404
contact_to_transcription	-9	p_trans_given_no_contact	0.1548862624
contact_to_transcription	-9	risk_difference	-0.01058312195
contact_to_transcription	-9	relative_risk	0.9316716551
contact_to_transcription	-9	odds_ratio	0.920148889
contact_to_transcription	-9	log_or_z	-2.501518417
contact_to_transcription	-8	n_pairs	145200
contact_to_transcription	-8	n_c1_t1	1239
contact_to_transcription	-8	n_c1_t0	6501
contact_to_transcription	-8	n_c0_t1	21149
contact_to_transcription	-8	n_c0_t0	116311
contact_to_transcription	-8	p_trans_given_contact	0.1600775194
contact_to_transcription	-8	p_trans_given_no_contact	0.1538556671
contact_to_transcription	-8	risk_difference	0.006221852277
contact_to_transcription	-8	relative_risk	1.040439539
contact_to_transcription	-8	odds_ratio	1.048146752
contact_to_transcription	-8	log_or_z	1.474676783
contact_to_transcription	-7	n_pairs	145800
contact_to_transcription	-7	n_c1_t1	1189
contact_to_transcription	-7	n_c1_t0	6595
contact_to_transcription	-7	n_c0_t1	21286
contact_to_transcription	-7	n_c0_t0	116730
contact_to_transcription	-7	p_trans_given_contact	0.1527492292
contact_to_transcription	-7	p_trans_given_no_contact	0.1542284952
contact_to_transcription	-7	risk_difference	-0.001479266059
contact_to_transcription	-7	relative_risk	0.9904086073
contact_to_transcription	-7	odds_ratio	0.9886793934
contact_to_transcription	-7	log_or_z	-0.3516524219
contact_to_transcription	-6	n_pairs	146400
contact_to_transcription	-6	n_c1_t1	1186
contact_to_transcription	-6	n_c1_t0	6622
contact_to_transcription	-6	n_c0_t1	21370
contact_to_transcription	-6	n_c0_t0	117222
contact_to_transcription	-6	p_trans_given_contact	0.1518954918
contact_to_transcription	-6	p_trans_given_no_contact	0.1541936042
contact_to_transcription	-6	risk_difference	-0.002298112445
contact_to_transcription	-6	relative_risk	0.9850959289
contact_to_transcription	-6	odds_ratio	0.9824266102
contact_to_transcription	-6	log_or_z	-0.5472767825
contact_to_transcription	-5	n_pairs	147000
contact_to_transcription	-5	n_c1_t1	1238
contact_to_transcription	-5	n_c1_t0	6605
contact_to_transcription	-5	n_c0_t1	21405
contact_to_transcription	-5	n_c0_t0	117752
contact_to_transcription	-5	p_trans_given_contact	0.1578477623
contact_to_transcription	-5	p_trans_given_no_contact	0.1538190677
contact_to_transcription	-5	risk_difference	0.004028694664
contact_to_transcription	-5	relative_risk	1.026191127
contact_to_transcription	-5	odds_ratio	1.031100228
contact_to_transcription	-5	log_or_z	0.9616099498
contact_to_transcription	-4	n_pairs	147600
contact_to_transcription	-4	n_c1_t1	1210
contact_to_transcription	-4	n_c1_t0	6676
contact_to_transcription	-4	n_c0_t1	21527
contact_to_transcription	-4	n_c0_t0	118187
contact_to_transcription	-4	p_trans_given_contact	0.1534364697
contact_to_transcription	-4	p_trans_given_no_contact	0.1540790472
contact_to_transcription	-4	risk_difference	-0.0006425775033
contact_to_transcription	-4	relative_risk	0.9958295595
contact_to_transcription	-4	odds_ratio	0.9950736827
contact_to_transcription	-4	log_or_z	-0.1537917983
contact_to_transcription	-3	n_pairs	148200
contact_to_transcription	-3	n_c1_t1	1269
contact_to_transcription	-3	n_c1_t0	6649
contact_to_transcription	-3	n_c0_t1	21545
contact_to_transcription	-3	n_c0_t0	118737
contact_to_transcription	-3	p_trans_given_contact	0.1602677444
contact_to_transcription	-3	p_trans_given_no_contact	0.1535834961
contact_to_transcription	-3	risk_difference	0.006684248279
contact_to_transcription	-3	relative_risk	1.043521918
contact_to_transcription	-3	odds_ratio	1.051828327
contact_to_transcription	-3	log_or_z	1.60331081
