# marker scoring report
# score = mean(log1p(count / library_size * 10000)) over matched panel genes
# conservative best-panel call = winner has >=2 detected panel genes and score >=0.20

## matched marker genes
astrocyte	GFAP,AQP4,ALDH1L1,GJA1,CLDN11,SOX9,VIM,SLC1A2
microglial cell	AIF1,C1QA,C1QB,C1QC,P2RY12,CX3CR1,LST1,TYROBP,CTSS
RPE cell	RPE65,BEST1,RLBP1,PMEL,MERTK,LRAT,RDH5,TYR,SERPINF1,RHO
cone cell	ARR3,GNB3,GNAT2,PDE6C,OPN1SW,OPN1MW,OPN1LW,RXRG
rod cell	RHO,GNAT1,PDE6A,PDE6B,SAG,NRL,NR2E3,ROM1,GNGT1
horizontal cell	LHX1,LHX2,ONECUT1,ONECUT2,CALB1,CACNA1A,TFAP2A,PROX1
bipolar cell	VSX2,VSX1,GRM6,TRPM1,CABP5,PRKCA,GNG13,PCP4,SCGN
RGC	RBPMS,SNCG,POU4F1,POU4F2,ISL1,NEFL,NEFM,THY1,GAP43
T cells	CD3D,CD3E,TRBC1,TRBC2,LTB,IL7R,CCL5,NKG7
macrophage	CD68,LYZ,FCER1G,CTSB,CTSD,LILRB1,MSR1,MARCO,CD14,FCGR3A,LGMN
Schwann cell	S100B,PLP1,MPZ,SOX10,MBP,PMP22,NCAM1,ERBB3,MAG
Pericyte	RGS5,CSPG4,MCAM,PDGFRB,NOTCH3,ACTA2,DES,COL4A1,COL4A2
B cell	CD79A,CD79B,MS4A1,CD37,CD74,HLA-DRA,CD22,CD83
fibroblast	COL1A1,COL1A2,DCN,LUM,COL3A1,COL6A1,COL6A2,C7,CFD
endothelial cell	KDR,EMCN,ESAM,PECAM1,VWF,CLDN5,RAMP2,ENG,PLVAP,CA4
muller glia cell	SLC1A3,GLUL,RLBP1,VIM,SOX9,CLU,RAX,KCNJ10,AQP4,SLC1A2

## QC
sample	cells	median_library_size	median_genes_detected
individual_1	6295	1999	1166
individual_2	5004	3197	1671.5

## per-sample marker summary
sample	cell_type	marker_genes_in_reference	cells_best_panel	fraction_best_panel	cells_ge1_marker	fraction_ge1_marker	cells_ge2_markers	fraction_ge2_markers	median_score	mean_score
individual_1	astrocyte	8	21	0.00333598093725179	3537	0.561874503574265	843	0.133915806195393	0.169165342297695	0.16882347723285
individual_1	microglial cell	9	0	0	464	0.0737092930897538	12	0.00190627482128674	0	0.0109930129160902
individual_1	RPE cell	10	4	0.000635424940428912	3483	0.553296266878475	1263	0.200635424940429	0.138345111191678	0.145837684538243
individual_1	cone cell	8	225	0.0357426528991263	2486	0.394916600476569	450	0.0714853057982526	0	0.116205395044476
individual_1	rod cell	9	4101	0.651469420174742	5588	0.88768864177919	4831	0.767434471803018	1.26207061256004	1.12198462353202
individual_1	horizontal cell	8	239	0.0379666401906275	1710	0.27164416203336	509	0.080857823669579	0	0.094182848325612
individual_1	bipolar cell	9	787	0.125019857029388	4000	0.635424940428912	1883	0.29912629070691	0.212627567874484	0.293427070760282
individual_1	RGC	9	102	0.0162033359809373	1419	0.225416997617156	379	0.0602065131056394	0	0.0600749591029178
individual_1	T cells	8	0	0	10	0.00158856235107228	0	0	0	0.000322588024110607
individual_1	macrophage	11	17	0.00270055599682288	1261	0.200317712470214	219	0.0347895154884829	0	0.0363911665880569
individual_1	Schwann cell	9	50	0.0079428117553614	4369	0.694042891183479	626	0.0994440031771247	0.229082474534981	0.196943400582075
individual_1	Pericyte	9	7	0.0011119936457506	709	0.112629070691025	257	0.0408260524225576	0	0.0263864337067634
individual_1	B cell	8	0	0	176	0.0279586973788721	8	0.00127084988085782	0	0.00481315102189769
individual_1	fibroblast	9	0	0	272	0.043208895949166	11	0.00174741858617951	0	0.00597215773596304
individual_1	endothelial cell	10	0	0	447	0.0710087370929309	27	0.00428911834789516	0	0.0107123845249857
individual_1	muller glia cell	10	418	0.0664019062748213	4198	0.666878474980143	1739	0.276250992851469	0.19734956971021	0.241556079047159
individual_2	astrocyte	8	2	0.000399680255795364	3962	0.791766586730616	956	0.191047162270184	0.245400978849389	0.251111467334227
individual_2	microglial cell	9	0	0	450	0.0899280575539568	16	0.00319744204636291	0	0.0123044946795104
individual_2	RPE cell	10	3	0.000599520383693046	4492	0.897681854516387	1720	0.343725019984013	0.309318161400028	0.299406547410063
individual_2	cone cell	8	159	0.0317745803357314	2650	0.529576338928857	639	0.127697841726619	0.118735862682123	0.156980510464545
individual_2	rod cell	9	3687	0.736810551558753	4979	0.995003996802558	4887	0.976618705035971	2.6167502774413	2.07374334602395
