# coexpression-based composition ranking; fractions are normalized by all QC-passing cells
# winner_ge2_core	horizontal cell
# winner_ge3_core	horizontal cell
cell_type	individual_1_cells_ge2_core	individual_2_cells_ge2_core	individual_1_fraction_ge2_core	individual_2_fraction_ge2_core	fraction2_over_fraction1_ge2	individual_1_cells_ge3_core	individual_2_cells_ge3_core	fraction2_over_fraction1_ge3
horizontal cell	282	119	0.0447974583002383	0.0237809752198241	0.530855457477988	170	34	0.251598721023181
Schwann cell	62	33	0.00984908657664813	0.0065947242206235	0.66957724143266	3	3	1.25799360511591
endothelial cell	17	11	0.00270055599682288	0.0021982414068745	0.813995862133821	1	2	2.51598721023181
Pericyte	73	51	0.0115965051628276	0.0101918465227818	0.878872244670023	6	3	0.628996802557954
RPE cell	202	183	0.03208895949166	0.0365707434052758	1.13966747394164	10	11	1.3837929656275
rod cell	4473	4618	0.710563939634631	0.922861710631495	1.29877363479214	3884	4146	1.34285311194916
muller glia cell	816	857	0.129626687847498	0.171262989608313	1.32120161713766	547	480	1.10390663703041
cone cell	249	269	0.0395552025416998	0.0537569944044764	1.35903726817742	90	179	2.5020095035083
macrophage	72	79	0.0114376489277204	0.0157873701039169	1.38029853894663	1	1	1.25799360511591
astrocyte	91	101	0.0144559173947577	0.0201838529176659	1.39623466062316	12	11	1.15316080468958
bipolar cell	1517	2086	0.240984908657665	0.416866506794564	1.72984486504402	737	624	1.06511263173993
RGC	232	356	0.0368546465448769	0.0711430855315747	1.93036949750544	104	109	1.31847406690033
fibroblast	1	5	0.000158856235107228	0.000999200639488409	6.28996802557953	0	0	NA
B cell	0	0	0	0	NA	0	0	NA
microglial cell	0	3	0	0.000599520383693046	NA	0	0	NA
T cells	0	0	0	0	NA	0	0	NA
