label	k	qc_kept	qc_dropped	total_withinss	calinski_harabasz	silhouette	sizes	rounded_percent	selected
matrix	NA	5350	1000	NA	NA	NA	1000x5350	cell_axis=2	FALSE
qc_filtered	2	4998	352	766876.125107754	8461.89289364388	0.671100339835586	2500;2498	50;50	FALSE
qc_filtered	3	4998	352	78846.9348687784	62936.0581440582	0.846627781432101	2500;1750;748	50;35;15	TRUE
qc_filtered	4	4998	352	77602.874812467	42648.1471709025	0.441398731640412	1750;1313;1187;748	35;25;25;15	FALSE
qc_filtered	5	4998	352	76702.7156162301	32369.6584131859	0.439911995589307	1750;850;834;816;748	35;15;15;15;15	FALSE
qc_filtered	6	4998	352	75963.1411616634	26152.3300958264	0.151158267521863	932;874;837;818;789;748	20;15;15;15;15;15	FALSE
qc_filtered	7	4998	352	75248.3395444099	22004.1256105707	0.150360122762075	959;791;748;665;643;622;570	20;15;15;15;15;10;10	FALSE
qc_filtered	8	4998	352	74654.2063319323	19012.645470403	0.15088771200002	878;872;748;516;516;510;483;475	20;15;15;10;10;10;10;10	FALSE
no_qc	2	5350	352	904679.264735168	7657.17690201919	0.619283009547284	2705;2645	50;50	FALSE
no_qc	3	5350	352	194654.589722977	27542.3657299429	0.778947710314904	2504;1846;1000	45;35;20	TRUE
no_qc	4	5350	352	133652.038951302	27550.6711211197	0.748937121606244	2504;1846;800;200	45;35;15;5	FALSE
no_qc	5	5350	352	98256.9415567982	28582.5367530541	0.722806081411854	2500;1750;800;200;100	45;35;15;5;0	FALSE
no_qc	6	5350	352	81302.8008016826	27852.0091872794	0.733017503786163	2500;1750;750;200;100;50	45;35;15;5;0;0	FALSE
no_qc	7	5350	352	80080.3436266624	23573.5016631046	0.407666702721844	1750;1259;1241;750;200;100;50	35;25;25;15;5;0;0	FALSE
no_qc	8	5350	352	79196.9457238868	20435.9321949703	0.406593403821309	1750;915;793;792;750;200;100;50	35;15;15;15;15;5;0;0	FALSE
