WINNER	muller glia cell
N_CELLS	18001
N_GENES	27364

CELL_TYPE_RANKING
cell_type	n_eye1	n_eye2	all_inflammation_eye1	all_inflammation_eye2	all_inflammation_delta	all_inflammation_absdelta	interferon_eye1	interferon_eye2	interferon_delta	interferon_absdelta	cytokine_nfkb_eye1	cytokine_nfkb_eye2	cytokine_nfkb_delta	cytokine_nfkb_absdelta	complement_reactive_eye1	complement_reactive_eye2	complement_reactive_delta	complement_reactive_absdelta	pseudobulk_median_abs_lfc	pseudobulk_direction	robust_score	bootstrap_direction_stability
muller glia cell	496	448	0.952944	0.221473	-0.731471	0.731471	0.361815	0.159091	-0.202724	0.202724	1.97305	0.0304658	-1.94259	1.94259	0.758968	0.681814	-0.0771537	0.0771537	0.142699	0.142699	1.43517	1
RGC	173	168	0.0986251	0.0563293	-0.0422958	0.0422958	0.179327	0.110497	-0.0688298	0.0688298	-0.0335011	-0.045611	-0.0121099	0.0121099	0.342266	0.271739	-0.0705266	0.0705266	0.214082	0.214082	0.112416	0.97
Schwann cell	73	97	-0.0327071	-0.0535276	-0.0208205	0.0208205	0.0261119	-0.0535341	-0.079646	0.079646	-0.0546337	-0.0739828	-0.0193492	0.0193492	-0.130602	-0.0383645	0.0922371	0.0922371	0.312385	-0.312385	0.112152	0.883333
B cell	57	77	0.0202695	0.0358866	0.0156171	0.0156171	0.052736	0.00672424	-0.0460117	0.0460117	-0.0674971	-0.0556922	0.011805	0.011805	0.181042	0.142722	-0.0383205	0.0383205	0.478628	-0.478628	0.0953907	0.75
fibroblast	90	94	0.0211471	-0.00969717	-0.0308443	0.0308443	0.037054	-0.0178638	-0.0549178	0.0549178	-0.0499586	-0.0439987	0.00595991	0.00595991	0.10296	0.0829089	-0.0200513	0.0200513	0.23543	0.23543	0.0848985	0.923333
astrocyte	175	213	-0.0339183	-0.0555075	-0.0215891	0.0215891	-0.0353262	-0.0548861	-0.01956	0.01956	-0.0654726	-0.0639537	0.00151893	0.00151893	-0.0102105	-0.0497337	-0.0395232	0.0395232	0.0934796	0.0934796	0.0480994	0.993333
bipolar cell	799	760	-0.00503369	-0.017092	-0.0120583	0.0120583	0.00945061	-0.00288111	-0.0123317	0.0123317	-0.0560994	-0.0634661	-0.00736663	0.00736663	0.00524883	-0.00571451	-0.0109633	0.0109633	0.22765	0.22765	0.0447752	0.956667
horizontal cell	316	328	0.0842283	0.0800099	-0.00421839	0.00421839	0.0897102	0.0489309	-0.0407793	0.0407793	-0.0157224	-0.00897436	0.00674808	0.00674808	0.122108	0.0879148	-0.0341927	0.0341927	0.0917195	0.0917195	0.040604	0.603333
cone cell	321	385	-0.0460642	-0.0503613	-0.00429717	0.00429717	-0.00352547	-0.031194	-0.0276685	0.0276685	-0.0688377	-0.0709841	-0.00214643	0.00214643	-0.0611358	-0.0529651	0.00817069	0.00817069	0.168568	0.168568	0.0358829	0.72
rod cell	6146	6785	-0.0510013	-0.0392328	0.0117685	0.0117685	-0.0305998	-0.0195861	0.0110137	0.0110137	-0.0634574	-0.0568029	0.00665446	0.00665446	-0.0770194	-0.0520845	0.024935	0.024935	0.0262347	0.0262347	0.0263315	1

CLUSTER_ANNOTATIONS
cluster	n	assigned	marker_score	runner_up	margin
0	2273	rod cell	1.93576	astrocyte	1.83782
1	2230	rod cell	1.96108	astrocyte	1.78184
2	1653	rod cell	1.59938	astrocyte	1.56259
3	1568	rod cell	1.53383	astrocyte	1.49191
4	1494	rod cell	1.81816	astrocyte	1.77658
5	1424	rod cell	1.63245	astrocyte	1.48753
6	1279	rod cell	1.44673	astrocyte	1.42129
7	1010	rod cell	1.75305	astrocyte	1.64214
8	666	cone cell	3.10063	muller glia cell	2.72332
9	651	bipolar cell	2.43483	horizontal cell	2.27555
10	489	muller glia cell	3.27548	RPE cell	2.04368
11	455	muller glia cell	2.63297	macrophage	1.94001
12	388	astrocyte	0.343788	Schwann cell	0.239822
13	257	RGC	0.651839	B cell	0.471624
14	193	horizontal cell	2.49628	RGC	2.06263
15	178	bipolar cell	1.617	Schwann cell	1.52805
16	171	bipolar cell	1.806	endothelial cell	1.63321
17	170	Schwann cell	0.109909	macrophage	0.0176832
18	168	horizontal cell	0.637665	RPE cell	0.0866677
19	156	bipolar cell	0.509885	horizontal cell	0.389944
20	150	horizontal cell	0.350351	Schwann cell	0.135319
21	149	bipolar cell	0.573302	Schwann cell	0.315314
22	139	bipolar cell	0.28964	Schwann cell	0.0157258
23	134	B cell	0.205467	fibroblast	0.0550169
24	122	fibroblast	0.375167	B cell	0.235422
25	94	horizontal cell	0.372982	T cells	0.353113
26	64	RGC	1.16297	fibroblast	0.594831
27	62	fibroblast	1.11949	RGC	0.125859
28	58	bipolar cell	0.631446	Schwann cell	0.324892
29	57	bipolar cell	0.992619	T cells	1.01084
30	40	cone cell	2.91364	RPE cell	2.71736
31	39	horizontal cell	1.99195	macrophage	1.86997
32	20	RGC	0.583905	horizontal cell	0.0816427

CELL_TYPE_COUNTS
cell_type	eye1	eye2
B cell	57	77
RGC	173	168
Schwann cell	73	97
astrocyte	175	213
bipolar cell	799	760
cone cell	321	385
fibroblast	90	94
horizontal cell	316	328
muller glia cell	496	448
rod cell	6146	6785
