metric	value
sei_total_tracks	21907
sei_cistrome_id_tracks	19905
cistrome_samples_in_metadata	100000
sei_cistrome_ids_missing_metadata	0
borzoi_tracks	7611
borzoi_unique_accessions	10703
borzoi_unique_encsr	5267
borzoi_unique_encff	5267
borzoi_unique_gsm	169
borzoi_unique_gse	0
exact_sample_or_experiment_shared_tracks	1264
exact_sample_or_experiment_shared_tracks_rounded_nearest_100	1300
exact_unique_matched_accessions	724
sample_or_series_shared_tracks_diagnostic	1264
sample_or_series_shared_tracks_rounded_nearest_100_diagnostic	1300
diagnostic_unique_matched_series_accessions	0
