section	variant	observed	reference	value	detail
qc	both	genes	matched	18472	count_rows=27073;query_genes=18472
qc	exclude_DiMes_HyTh	endoderm	cell_count	842	total_umi=1815340
qc	exclude_DiMes_HyTh	endostyle_csg	cell_count	223	total_umi=429352
qc	exclude_DiMes_HyTh	epidermal_neural	cell_count	207	total_umi=554897
qc	exclude_DiMes_HyTh	epidermis	cell_count	9734	total_umi=21263933
qc	exclude_DiMes_HyTh	mesodermal_notochord	cell_count	409	total_umi=760524
qc	exclude_DiMes_HyTh	muscular_somites	cell_count	182	total_umi=318194
qc	exclude_DiMes_HyTh	neural	cell_count	1243	total_umi=2773503
qc	exclude_DiMes_HyTh	neural_like	cell_count	140	total_umi=273662
qc	exclude_DiMes_HyTh	putative_neuro_endo	cell_count	166	total_umi=256725
qc	exclude_DiMes_HyTh	somite	cell_count	666	total_umi=1531496
qc	exclude_DiMes_HyTh	tailbud	cell_count	279	total_umi=605209
qc	exclude_DiMes_HyTh	tailbud_neural	cell_count	211	total_umi=557821
qc	merge_DiMes_HyTh_into_neural	endoderm	cell_count	842	total_umi=1815340
qc	merge_DiMes_HyTh_into_neural	endostyle_csg	cell_count	223	total_umi=429352
qc	merge_DiMes_HyTh_into_neural	epidermal_neural	cell_count	207	total_umi=554897
qc	merge_DiMes_HyTh_into_neural	epidermis	cell_count	9734	total_umi=21263933
qc	merge_DiMes_HyTh_into_neural	mesodermal_notochord	cell_count	409	total_umi=760524
qc	merge_DiMes_HyTh_into_neural	muscular_somites	cell_count	182	total_umi=318194
qc	merge_DiMes_HyTh_into_neural	neural	cell_count	1526	total_umi=3433993
qc	merge_DiMes_HyTh_into_neural	neural_like	cell_count	140	total_umi=273662
qc	merge_DiMes_HyTh_into_neural	putative_neuro_endo	cell_count	166	total_umi=256725
qc	merge_DiMes_HyTh_into_neural	somite	cell_count	666	total_umi=1531496
qc	merge_DiMes_HyTh_into_neural	tailbud	cell_count	279	total_umi=605209
qc	merge_DiMes_HyTh_into_neural	tailbud_neural	cell_count	211	total_umi=557821
correlation_log1p	exclude_DiMes_HyTh	endoderm	endoderm	0.8392140542	raw_cor=0.7518087598;mae_cpm=49.52206873;maxerr=10830.22554
correlation_log1p	exclude_DiMes_HyTh	endoderm	endostyle_csg	0.8261273706	raw_cor=0.7436753124;mae_cpm=49.56972669;maxerr=10818.94381
correlation_log1p	exclude_DiMes_HyTh	endoderm	epidermal_neural	0.8246139635	raw_cor=0.7519528012;mae_cpm=49.46692271;maxerr=11039.57089
correlation_log1p	exclude_DiMes_HyTh	endoderm	epidermis	0.8314059821	raw_cor=0.7193036159;mae_cpm=49.69638204;maxerr=10736.30641
correlation_log1p	exclude_DiMes_HyTh	endoderm	mesodermal_notochord	0.8253099205	raw_cor=0.7304030369;mae_cpm=49.63428191;maxerr=10713.24926
correlation_log1p	exclude_DiMes_HyTh	endoderm	muscular_somites	0.8015222369	raw_cor=0.7270710349;mae_cpm=49.73014617;maxerr=10559.21759
correlation_log1p	exclude_DiMes_HyTh	endoderm	neural	0.8417125732	raw_cor=0.7628588318;mae_cpm=49.46135362;maxerr=10824.86644
correlation_log1p	exclude_DiMes_HyTh	endoderm	neural_like	0.7965561066	raw_cor=0.7366233182;mae_cpm=49.71656638;maxerr=10488.73818
correlation_log1p	exclude_DiMes_HyTh	endoderm	putative_neuro_endo	0.7760573942	raw_cor=0.6637193377;mae_cpm=50.12596897;maxerr=10157.6798
correlation_log1p	exclude_DiMes_HyTh	endoderm	somite	0.8379018036	raw_cor=0.752077835;mae_cpm=49.51542148;maxerr=10902.26217
correlation_log1p	exclude_DiMes_HyTh	endoderm	tailbud	0.8314098975	raw_cor=0.7432719454;mae_cpm=49.54991502;maxerr=10911.49085
correlation_log1p	exclude_DiMes_HyTh	endoderm	tailbud_neural	0.8401980264	raw_cor=0.7833798003;mae_cpm=49.31589755;maxerr=11116.34862
best_match	exclude_DiMes_HyTh	endoderm	neural	0.8417125732	second=tailbud_neural:0.8401980264
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	endoderm	0.8040286091	raw_cor=0.7493337186;mae_cpm=49.70934605;maxerr=13045.5462
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	endostyle_csg	0.7926446857	raw_cor=0.7418597306;mae_cpm=49.74754086;maxerr=13159.93518
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	epidermal_neural	0.7920506268	raw_cor=0.7530546637;mae_cpm=49.65111901;maxerr=13092.52294
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	epidermis	0.7971969911	raw_cor=0.7159573936;mae_cpm=49.88363966;maxerr=13125.6915
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	mesodermal_notochord	0.7910845603	raw_cor=0.7268056972;mae_cpm=49.8221983;maxerr=13067.03986
