section	sample1	sample2	value	detail
pearson_log1p	endoderm	endostyle_csg	0.93305109	
spearman_log1p	endoderm	endostyle_csg	0.89986705	
pearson_log1p	endoderm	epidermal_neural	0.87318235	
spearman_log1p	endoderm	epidermal_neural	0.84736805	
pearson_log1p	endoderm	epidermis	0.74303993	
spearman_log1p	endoderm	epidermis	0.74435782	
pearson_log1p	endoderm	mesodermal_notochord	0.89996675	
spearman_log1p	endoderm	mesodermal_notochord	0.86603646	
pearson_log1p	endoderm	muscular_somites	0.83945758	
spearman_log1p	endoderm	muscular_somites	0.80132926	
pearson_log1p	endoderm	neural	0.89390414	
spearman_log1p	endoderm	neural	0.86826052	
pearson_log1p	endoderm	neural_like	0.75424674	
spearman_log1p	endoderm	neural_like	0.72521957	
pearson_log1p	endoderm	putative_neuro_endo	0.68745624	
spearman_log1p	endoderm	putative_neuro_endo	0.65567300	
pearson_log1p	endoderm	somite	0.92627414	
spearman_log1p	endoderm	somite	0.89859672	
pearson_log1p	endoderm	tailbud	0.88753206	
spearman_log1p	endoderm	tailbud	0.86352966	
pearson_log1p	endoderm	tailbud_neural	0.85875275	
spearman_log1p	endoderm	tailbud_neural	0.83681337	
pearson_log1p	endostyle_csg	epidermal_neural	0.83112546	
spearman_log1p	endostyle_csg	epidermal_neural	0.80174783	
pearson_log1p	endostyle_csg	epidermis	0.71572953	
spearman_log1p	endostyle_csg	epidermis	0.70826437	
pearson_log1p	endostyle_csg	mesodermal_notochord	0.85293015	
spearman_log1p	endostyle_csg	mesodermal_notochord	0.81910467	
pearson_log1p	endostyle_csg	muscular_somites	0.80632016	
spearman_log1p	endostyle_csg	muscular_somites	0.77007943	
pearson_log1p	endostyle_csg	neural	0.85455260	
spearman_log1p	endostyle_csg	neural	0.82093617	
pearson_log1p	endostyle_csg	neural_like	0.72829354	
spearman_log1p	endostyle_csg	neural_like	0.70217037	
pearson_log1p	endostyle_csg	putative_neuro_endo	0.66081539	
spearman_log1p	endostyle_csg	putative_neuro_endo	0.63613175	
pearson_log1p	endostyle_csg	somite	0.88205830	
spearman_log1p	endostyle_csg	somite	0.84948229	
pearson_log1p	endostyle_csg	tailbud	0.84968910	
spearman_log1p	endostyle_csg	tailbud	0.82342859	
pearson_log1p	endostyle_csg	tailbud_neural	0.82125446	
spearman_log1p	endostyle_csg	tailbud_neural	0.79445381	
pearson_log1p	epidermal_neural	epidermis	0.77243353	
spearman_log1p	epidermal_neural	epidermis	0.76481264	
pearson_log1p	epidermal_neural	mesodermal_notochord	0.86053066	
spearman_log1p	epidermal_neural	mesodermal_notochord	0.82861045	
pearson_log1p	epidermal_neural	muscular_somites	0.82988447	
spearman_log1p	epidermal_neural	muscular_somites	0.79827951	
pearson_log1p	epidermal_neural	neural	0.94004952	
spearman_log1p	epidermal_neural	neural	0.91183989	
pearson_log1p	epidermal_neural	neural_like	0.76786939	
spearman_log1p	epidermal_neural	neural_like	0.74125353	
pearson_log1p	epidermal_neural	putative_neuro_endo	0.66591691	
spearman_log1p	epidermal_neural	putative_neuro_endo	0.64174617	
pearson_log1p	epidermal_neural	somite	0.90373809	
spearman_log1p	epidermal_neural	somite	0.87587627	
pearson_log1p	epidermal_neural	tailbud	0.89334429	
spearman_log1p	epidermal_neural	tailbud	0.86699423	
pearson_log1p	epidermal_neural	tailbud_neural	0.86692027	
spearman_log1p	epidermal_neural	tailbud_neural	0.84034621	
pearson_log1p	epidermis	mesodermal_notochord	0.73557352	
spearman_log1p	epidermis	mesodermal_notochord	0.72575599	
pearson_log1p	epidermis	muscular_somites	0.68649939	
spearman_log1p	epidermis	muscular_somites	0.67395914	
pearson_log1p	epidermis	neural	0.79145903	
spearman_log1p	epidermis	neural	0.78774545	
pearson_log1p	epidermis	neural_like	0.82835532	
spearman_log1p	epidermis	neural_like	0.79870802	
pearson_log1p	epidermis	putative_neuro_endo	0.67047000	
spearman_log1p	epidermis	putative_neuro_endo	0.64469908	
pearson_log1p	epidermis	somite	0.73307691	
spearman_log1p	epidermis	somite	0.73215017	
pearson_log1p	epidermis	tailbud	0.75629156	
spearman_log1p	epidermis	tailbud	0.75066745	
pearson_log1p	epidermis	tailbud_neural	0.91884306	
spearman_log1p	epidermis	tailbud_neural	0.89421983	
pearson_log1p	mesodermal_notochord	muscular_somites	0.84636239	
spearman_log1p	mesodermal_notochord	muscular_somites	0.80414037	
pearson_log1p	mesodermal_notochord	neural	0.88219245	
spearman_log1p	mesodermal_notochord	neural	0.84789995	
pearson_log1p	mesodermal_notochord	neural_like	0.73359282	
spearman_log1p	mesodermal_notochord	neural_like	0.70669493	
pearson_log1p	mesodermal_notochord	putative_neuro_endo	0.67680969	
spearman_log1p	mesodermal_notochord	putative_neuro_endo	0.64833769	
pearson_log1p	mesodermal_notochord	somite	0.91619176	
spearman_log1p	mesodermal_notochord	somite	0.88041089	
pearson_log1p	mesodermal_notochord	tailbud	0.87433144	
spearman_log1p	mesodermal_notochord	tailbud	0.84599350	
pearson_log1p	mesodermal_notochord	tailbud_neural	0.83581758	
spearman_log1p	mesodermal_notochord	tailbud_neural	0.80736286	
pearson_log1p	muscular_somites	neural	0.86051127	
spearman_log1p	muscular_somites	neural	0.82380269	
pearson_log1p	muscular_somites	neural_like	0.70242603	
spearman_log1p	muscular_somites	neural_like	0.67443847	
pearson_log1p	muscular_somites	putative_neuro_endo	0.64307183	
spearman_log1p	muscular_somites	putative_neuro_endo	0.61456857	
pearson_log1p	muscular_somites	somite	0.89950091	
spearman_log1p	muscular_somites	somite	0.85745576	
pearson_log1p	muscular_somites	tailbud	0.82752681	
spearman_log1p	muscular_somites	tailbud	0.79820679	
pearson_log1p	muscular_somites	tailbud_neural	0.79450689	
spearman_log1p	muscular_somites	tailbud_neural	0.76337962	
pearson_log1p	neural	neural_like	0.79874165	
spearman_log1p	neural	neural_like	0.76576346	
pearson_log1p	neural	putative_neuro_endo	0.69638105	
spearman_log1p	neural	putative_neuro_endo	0.66275653	
pearson_log1p	neural	somite	0.92104907	
spearman_log1p	neural	somite	0.89445354	
pearson_log1p	neural	tailbud	0.90227812	
spearman_log1p	neural	tailbud	0.87600872	
pearson_log1p	neural	tailbud_neural	0.88772308	
spearman_log1p	neural	tailbud_neural	0.86204177	
pearson_log1p	neural_like	putative_neuro_endo	0.64108303	
spearman_log1p	neural_like	putative_neuro_endo	0.63491175	
pearson_log1p	neural_like	somite	0.74996469	
spearman_log1p	neural_like	somite	0.71946130	
pearson_log1p	neural_like	tailbud	0.75640615	
spearman_log1p	neural_like	tailbud	0.73480477	
pearson_log1p	neural_like	tailbud_neural	0.83308025	
spearman_log1p	neural_like	tailbud_neural	0.80309110	
pearson_log1p	putative_neuro_endo	somite	0.68444592	
spearman_log1p	putative_neuro_endo	somite	0.65141915	
pearson_log1p	putative_neuro_endo	tailbud	0.67864316	
spearman_log1p	putative_neuro_endo	tailbud	0.65827042	
pearson_log1p	putative_neuro_endo	tailbud_neural	0.69347838	
spearman_log1p	putative_neuro_endo	tailbud_neural	0.66883384	
pearson_log1p	somite	tailbud	0.90901611	
spearman_log1p	somite	tailbud	0.88233587	
pearson_log1p	somite	tailbud_neural	0.85711406	
spearman_log1p	somite	tailbud_neural	0.83337215	
pearson_log1p	tailbud	tailbud_neural	0.85120813	
spearman_log1p	tailbud	tailbud_neural	0.82774871	
nearest_pearson	endoderm	endostyle_csg	0.93305109	endostyle_csg:0.9331,somite:0.9263,mesodermal_notochord:0.9000,neural:0.8939,tailbud:0.8875
nearest_spearman	endoderm	endostyle_csg	0.89986705	endostyle_csg:0.8999,somite:0.8986,neural:0.8683,mesodermal_notochord:0.8660,tailbud:0.8635
nearest_pearson	endostyle_csg	endoderm	0.93305109	endoderm:0.9331,somite:0.8821,neural:0.8546,mesodermal_notochord:0.8529,tailbud:0.8497
nearest_spearman	endostyle_csg	endoderm	0.89986705	endoderm:0.8999,somite:0.8495,tailbud:0.8234,neural:0.8209,mesodermal_notochord:0.8191
nearest_pearson	epidermal_neural	neural	0.94004952	neural:0.9400,somite:0.9037,tailbud:0.8933,endoderm:0.8732,tailbud_neural:0.8669
nearest_spearman	epidermal_neural	neural	0.91183989	neural:0.9118,somite:0.8759,tailbud:0.8670,endoderm:0.8474,tailbud_neural:0.8403
nearest_pearson	epidermis	tailbud_neural	0.91884306	tailbud_neural:0.9188,neural_like:0.8284,neural:0.7915,epidermal_neural:0.7724,tailbud:0.7563
nearest_spearman	epidermis	tailbud_neural	0.89421983	tailbud_neural:0.8942,neural_like:0.7987,neural:0.7877,epidermal_neural:0.7648,tailbud:0.7507
nearest_pearson	mesodermal_notochord	somite	0.91619176	somite:0.9162,endoderm:0.9000,neural:0.8822,tailbud:0.8743,epidermal_neural:0.8605
nearest_spearman	mesodermal_notochord	somite	0.88041089	somite:0.8804,endoderm:0.8660,neural:0.8479,tailbud:0.8460,epidermal_neural:0.8286
nearest_pearson	muscular_somites	somite	0.89950091	somite:0.8995,neural:0.8605,mesodermal_notochord:0.8464,endoderm:0.8395,epidermal_neural:0.8299
nearest_spearman	muscular_somites	somite	0.85745576	somite:0.8575,neural:0.8238,mesodermal_notochord:0.8041,endoderm:0.8013,epidermal_neural:0.7983
nearest_pearson	neural	epidermal_neural	0.94004952	epidermal_neural:0.9400,somite:0.9210,tailbud:0.9023,endoderm:0.8939,tailbud_neural:0.8877
nearest_spearman	neural	epidermal_neural	0.91183989	epidermal_neural:0.9118,somite:0.8945,tailbud:0.8760,endoderm:0.8683,tailbud_neural:0.8620
nearest_pearson	neural_like	tailbud_neural	0.83308025	tailbud_neural:0.8331,epidermis:0.8284,neural:0.7987,epidermal_neural:0.7679,tailbud:0.7564
nearest_spearman	neural_like	tailbud_neural	0.80309110	tailbud_neural:0.8031,epidermis:0.7987,neural:0.7658,epidermal_neural:0.7413,tailbud:0.7348
nearest_pearson	putative_neuro_endo	neural	0.69638105	neural:0.6964,tailbud_neural:0.6935,endoderm:0.6875,somite:0.6844,tailbud:0.6786
nearest_spearman	putative_neuro_endo	tailbud_neural	0.66883384	tailbud_neural:0.6688,neural:0.6628,tailbud:0.6583,endoderm:0.6557,somite:0.6514
nearest_pearson	somite	endoderm	0.92627414	endoderm:0.9263,neural:0.9210,mesodermal_notochord:0.9162,tailbud:0.9090,epidermal_neural:0.9037
nearest_spearman	somite	endoderm	0.89859672	endoderm:0.8986,neural:0.8945,tailbud:0.8823,mesodermal_notochord:0.8804,epidermal_neural:0.8759
nearest_pearson	tailbud	somite	0.90901611	somite:0.9090,neural:0.9023,epidermal_neural:0.8933,endoderm:0.8875,mesodermal_notochord:0.8743
nearest_spearman	tailbud	somite	0.88233587	somite:0.8823,neural:0.8760,epidermal_neural:0.8670,endoderm:0.8635,mesodermal_notochord:0.8460
nearest_pearson	tailbud_neural	epidermis	0.91884306	epidermis:0.9188,neural:0.8877,epidermal_neural:0.8669,endoderm:0.8588,somite:0.8571
nearest_spearman	tailbud_neural	epidermis	0.89421983	epidermis:0.8942,neural:0.8620,epidermal_neural:0.8403,endoderm:0.8368,somite:0.8334
specific_gene	endoderm	BLAG06001064	4.55176114	rank=1;expr=352.777;vsmax=8.17159
specific_gene	endoderm	BLAG06000231	4.45428217	rank=2;expr=15.0873;vsmax=7.64822
specific_gene	endoderm	BLAG08000909	4.22554139	rank=3;expr=19.9685;vsmax=5.25812
