section	metric	observed	reference	value	detail
independent_best	log1p_cor	endoderm	neural	0.8433756796	second=tailbud_neural:0.8401980264
independent_best	log1p_cor	endostyle_csg	neural	0.8081898224	second=tailbud_neural:0.8054913178
independent_best	log1p_cor	epidermal_neural	neural	0.8446630958	second=tailbud_neural:0.8409523062
independent_best	log1p_cor	epidermis	epidermis	0.9510546584	second=somite:0.9393191498
independent_best	log1p_cor	mesodermal_notochord	neural	0.835834106	second=endoderm:0.8324476529
independent_best	log1p_cor	muscular_somites	neural	0.7973037841	second=endoderm:0.7918216694
independent_best	log1p_cor	neural	neural	0.8742285237	second=somite:0.8684827635
independent_best	log1p_cor	neural_like	epidermis	0.8404485358	second=neural:0.8372842405
independent_best	log1p_cor	putative_neuro_endo	neural	0.7240715965	second=epidermis:0.7229330618
independent_best	log1p_cor	somite	neural	0.8425723131	second=tailbud_neural:0.8378930246
independent_best	log1p_cor	tailbud	neural	0.8349021164	second=endoderm:0.8310170021
independent_best	log1p_cor	tailbud_neural	neural	0.9369995698	second=epidermis:0.9367660134
global_assignment	log1p_cor	endoderm	somite	0.8379018036	total=9.980228874
global_assignment	log1p_cor	endostyle_csg	tailbud_neural	0.8054913178	total=9.980228874
global_assignment	log1p_cor	epidermal_neural	mesodermal_notochord	0.8324972095	total=9.980228874
global_assignment	log1p_cor	epidermis	putative_neuro_endo	0.9151778303	total=9.980228874
global_assignment	log1p_cor	mesodermal_notochord	endostyle_csg	0.8213781643	total=9.980228874
global_assignment	log1p_cor	muscular_somites	neural	0.7973037841	total=9.980228874
global_assignment	log1p_cor	neural	epidermal_neural	0.8591955317	total=9.980228874
global_assignment	log1p_cor	neural_like	neural_like	0.8090279057	total=9.980228874
global_assignment	log1p_cor	putative_neuro_endo	muscular_somites	0.703161995	total=9.980228874
global_assignment	log1p_cor	somite	tailbud	0.8313103162	total=9.980228874
global_assignment	log1p_cor	tailbud	endoderm	0.8310170021	total=9.980228874
global_assignment	log1p_cor	tailbud_neural	epidermis	0.9367660134	total=9.980228874
independent_best	raw_cor	endoderm	tailbud_neural	0.7833798003	second=neural:0.763149736
independent_best	raw_cor	endostyle_csg	tailbud_neural	0.7812286054	second=neural:0.7612229933
independent_best	raw_cor	epidermal_neural	tailbud_neural	0.8355671069	second=neural:0.7972259399
independent_best	raw_cor	epidermis	putative_neuro_endo	0.9630630879	second=epidermis:0.9620855346
independent_best	raw_cor	mesodermal_notochord	tailbud_neural	0.7591023414	second=neural:0.7410459297
independent_best	raw_cor	muscular_somites	tailbud_neural	0.7133410792	second=neural:0.699453714
independent_best	raw_cor	neural	tailbud_neural	0.8380301028	second=neural:0.8053898118
independent_best	raw_cor	neural_like	neural_like	0.9430146305	second=neural:0.9419548812
independent_best	raw_cor	putative_neuro_endo	putative_neuro_endo	0.602838023	second=neural_like:0.5864014007
independent_best	raw_cor	somite	tailbud_neural	0.7923211479	second=neural:0.7624465723
independent_best	raw_cor	tailbud	tailbud_neural	0.8187141178	second=neural:0.8025662291
independent_best	raw_cor	tailbud_neural	tailbud_neural	0.9801568755	second=epidermal_neural:0.9704269191
global_assignment	raw_cor	endoderm	endoderm	0.7518087598	total=9.532025943
global_assignment	raw_cor	endostyle_csg	endostyle_csg	0.7418597306	total=9.532025943
global_assignment	raw_cor	epidermal_neural	tailbud_neural	0.8355671069	total=9.532025943
global_assignment	raw_cor	epidermis	epidermis	0.9620855346	total=9.532025943
global_assignment	raw_cor	mesodermal_notochord	muscular_somites	0.7094624259	total=9.532025943
global_assignment	raw_cor	muscular_somites	tailbud	0.6813828742	total=9.532025943
global_assignment	raw_cor	neural	somite	0.7967633836	total=9.532025943
global_assignment	raw_cor	neural_like	neural_like	0.9430146305	total=9.532025943
global_assignment	raw_cor	putative_neuro_endo	putative_neuro_endo	0.602838023	total=9.532025943
global_assignment	raw_cor	somite	neural	0.7624465723	total=9.532025943
global_assignment	raw_cor	tailbud	mesodermal_notochord	0.7743699825	total=9.532025943
global_assignment	raw_cor	tailbud_neural	epidermal_neural	0.9704269191	total=9.532025943
