metric	value
peaks_total	192882
peaks_top1000_genomewide	1000
peaks_chr1_top1000	77
peak_intervals_after_dedup	57
snp151_rows	784180
snp151_valid_observed_biallelic	784180
target_positions	300
vcf_records_read	6048
vcf_records_at_target_positions	292
final_rows	279
line_count_with_header	280
filtered_ref_alt	13
missing_target_positions	8
samples	3202
missing_position_examples	1020299,15835559,52033421,52033425,93847385,100896627,207335923,207336163
first_sample_ids	HG00096,HG00097,HG00099,HG00100,HG00101,HG00102,HG00103,HG00105,HG00106,HG00107
last_sample_ids	NA21128,NA21129,NA21130,NA21133,NA21135,NA21137,NA21141,NA21142,NA21143,NA21144
tabix_regions	57
