metric	value
peaks_total	192882
peaks_top1000_genomewide	1000
peaks_chr1_top1000	93
peak_intervals_after_dedup	86
snp151_rows	784180
snp151_valid_observed_biallelic	784180
target_positions	313
vcf_records_read	4757
vcf_records_at_target_positions	307
final_rows	295
line_count_with_header	296
filtered_ref_alt	12
missing_target_positions	6
samples	3202
missing_position_examples	66925705,145095623,145095702,145095737,162790902,241640170
first_sample_ids	HG00096,HG00097,HG00099,HG00100,HG00101,HG00102,HG00103,HG00105,HG00106,HG00107
last_sample_ids	NA21128,NA21129,NA21130,NA21133,NA21135,NA21137,NA21141,NA21142,NA21143,NA21144
tabix_regions	86
