donor	ISG15	IFI6	IFI44L	IFI44	CTSS	S100A9	S100A8	FCGR3A	RSAD2	GNLY	IGKC	IL1B	GP9	JCHAIN	CXCL8	PF4	PPBP	CXCL10	BANK1	IL7R	MZB1	CD74	TNF	LTB	LST1	FCN1	MS4A7	MS4A1	CD3E	CD3D	PRF1	IFIT2	IFIT3	IFIT1	LYZ	OAS1	OAS3	OAS2	OASL	TRAC	GZMH	GZMB	NFKBIA	LGALS3	IFI27	IGHA1	IGHG1	XAF1	CCL2	CCL3	CCL4	ITGA2B	CD79B	CD79A	NKG7	XBP1	MX2	MX1	donor_numeric
donor1	0.2753365365048429	0.2841986753025604	0.041914227544354456	0.053939638440046275	0.9908786557614074	1.0398855414996007	1.6339511714924801	0.4123304831687032	0.015540446474380215	1.2729955032666647	0.23417794888106816	0.02219869701374972	0.007002895599294334	0.2648345539118671	0.00918592057107747	0.010073780293727215	0.030752223514650588	0.005310724661345926	0.09096974654511802	1.0039890016132003	0.1122278288992105	2.614375803070188	0.05590268906044948	1.0879992825762579	0.6827185859181906	0.6658531995768587	0.21176807469892836	0.16822022318808363	1.7992149963664894	1.3396204774100802	0.9729482856030095	0.06306291239229932	0.0417123252399469	0.02588361242962629	1.3666974691794218	0.14184238415648817	0.03590942615141842	0.12796845520195577	0.08776587387608137	0.32499898960037465	0.9189963308085498	0.8232992584298859	0.634172692149307	0.5071621357715785	0.08579975785509067	0.09261711941961229	0.1120618725296406	0.20012301697063603	0.0019372576531933297	0.0703050617523686	0.3739887894390243	0.005814266256228316	0.2088321458362179	0.19377182845977056	1.6674749041316694	0.20911151024055785	0.16567196894210057	0.16355198556706643	1
donor2	0.35287477310644344	0.41849531976012916	0.11278683337168076	0.13247409187937895	1.527977379471289	2.407333056462487	3.1717295054398638	0.2576056530688234	0.014971075953853722	0.7565050954654032	0.234511718180036	0.03433319426500608	0.03023143614690248	0.2951230579443499	0.03503282455735281	0.05275379952236389	0.16505194903893458	0.003850717951040051	0.06308489410865338	0.761585182027278	0.12939990478751096	2.6147769173593245	0.039818583469197304	0.8756664872582189	1.2480115543864256	1.4417966104823225	0.19361042995736802	0.09573772013697487	1.1567025692489892	0.7426455025846108	0.3542843327677217	0.046472709238665776	0.05913142331574856	0.02175638533151508	2.4266296265230762	0.1811085796932518	0.06967262027933925	0.11940984079633792	0.08438204921723275	0.18203646803049092	0.35113447422748884	0.35561308898444677	1.6386703242623408	0.9106644495781501	0.11075100618855933	0.10707471936506066	0.15865903798616166	0.2083724413780944	0.0012503918437352553	0.0870739185829584	0.16741728145182894	0.025068906085008866	0.16168217035736043	0.146203219399483	0.7752871452353082	0.19398565801114082	0.18635416830761967	0.2545502913316409	2
donor3	1.3135076789246427	1.7937928941006567	1.0563006234566061	0.4484952046227375	1.8434473041566266	2.487504426324384	3.522372427499499	0.48250249558666236	0.2167712047508107	0.6884074712802721	0.17312181331957838	0.09404593294836561	0.01072725399303385	0.21247695479515274	0.06644089031726973	0.028548603895986475	0.05432808732034805	0.03332147858140286	0.038401867226881936	0.911723920782958	0.09676223040012345	3.108521198861063	0.03994340812475735	1.0561616725537037	1.298775190916206	1.7419809435197218	0.2932911706545731	0.07000241993653333	1.0926860358840407	0.7077521511235979	0.49503873490773304	0.22007995180282292	0.5335231456030386	0.2638756074193311	2.3770690317336736	0.8414264815697983	0.27554253842147164	0.4201589459529727	0.4072921264584353	0.2038957429049538	0.28832752311922255	0.46112651455306625	1.943268076034456	1.0124225739151136	2.002183971831432	0.11905381320291124	0.10241182276397741	0.9878699517683392	0.01706414409792501	0.18328866535375	0.22520441916453834	0.005649890338920059	0.18843038288565836	0.10917460541349691	1.0226074256070845	0.240127044508883	0.6612232298573316	1.0721706914062077	3
donor4	0.543914610233228	0.5994345474696912	0.14746005167409174	0.17765620559770345	1.5061848732655179	2.5679347859817474	3.2903695025719184	0.41743627478102785	0.023606983273025964	1.060270993782107	0.3742324092928234	0.06586436233169979	0.01286434397126552	0.530142897706831	0.06172047282136585	0.020824879409215957	0.05180530977077221	0.005039131529452459	0.16163435740463272	0.961800205712241	0.2814590829788755	2.4872310683613557	0.05577286598884084	0.3673474394222829	1.01355151401044	1.1712059453237764	0.2488151993212948	0.28952611145570856	1.1341221301878794	0.7388593561562038	0.6297593544245043	0.09264487370884383	0.09338743126176732	0.041538913823259985	1.9505681099784045	0.3564465101433695	0.08348557025867719	0.2150642592869136	0.14269147128303566	0.24276933007520074	0.5609431808677362	0.5070433739723366	1.0680976637437936	0.9078005222584573	0.3728826214982479	0.19846122178260875	0.1779022868454324	0.3543828229329152	0.0007396649052903339	0.1122046485361489	0.39795226430528197	0.008728254477285664	0.3527816504383471	0.34792048384798197	1.5249558012709936	0.1741464294363599	0.28832810580518975	0.29704400151819693	4
donor5	0.30264570960840714	0.2605524369434804	0.050801892397250976	0.06056402798718276	1.1508177379182405	1.2694386639100714	1.76739122401505	0.6087953337344885	0.014755782395970092	1.1296428328465173	0.22906635813587087	0.03280541633569343	0.008990842097551575	0.4147663077605641	0.014704389255293696	0.013258267215892657	0.044028443234018014	0.0025498988036296607	0.1084192016438791	1.3849044843141047	0.1225091188722979	2.4841146426219973	0.06211334795653057	0.5772511887648841	0.7713467139556452	0.6696505253956646	0.24697307933430887	0.17266756354310187	1.5713413005382908	1.005515404333451	0.7865373446258267	0.07800926851685015	0.056447142310240936	0.04350704685759842	1.3695840264930064	0.20139554298472104	0.043260044644051185	0.15136401455246443	0.058365667050402005	0.30068519757207546	0.34517856158878435	0.5865812522797198	0.44705071096270466	0.542689473167548	0.020849315636579775	0.11433547408432672	0.08312378874142992	0.21617541674924662	0.001979833572474023	0.14341132612180746	0.4218096803017572	0.007950040052804695	0.2289136359825876	0.20839269011271913	1.2070990109865922	0.14186717219906142	0.1954838962933482	0.19711622901225037	5
donor6	0.08151268530732761	0.3043657989980137	0.035512389980349945	0.07200167183408014	0.9880357808648875	1.6215953790249076	2.2588951748895405	0.2985700920462951	0.008429365838551514	0.572048473529533	0.3116627545498353	0.024101702197301015	0.01493165269318288	0.5585266904222879	0.01846976506164909	0.02052948230940351	0.05031868872417109	0.0018210877776370018	0.160080517034177	1.0291021019263442	0.26989648835901675	2.3108170412131592	0.03301561629351975	0.4758221579028416	0.680454512647796	0.6982996249460552	0.14973377441268224	0.274566057299867	1.4266393791245853	0.9995227420494553	0.3919048919059797	0.026995929728993662	0.0362494138834844	0.015050170030405761	1.1836456165158473	0.1688925882039942	0.038237838833575316	0.12501392294870914	0.05418348846403644	0.25057014721897736	0.25448406094567005	0.3312421537159012	0.809210251543602	0.5417294871322065	0.10117905695995544	0.1526892531596252	0.13737314830119263	0.21483818213909098	0.0006266144120325629	0.06750603850344195	0.1812649115859492	0.013933979736956512	0.3872221154555993	0.38913591133013775	0.9093842442497327	0.17512596694113697	0.22619946883758904	0.18342942188528144	6
donor7	0.4472658893537154	0.6177636333065334	0.14914970847259412	0.18471626315420747	1.4438704319355014	2.5962083961354967	3.375229628687874	0.2362048910475297	0.018915625721577223	0.6748890565591207	0.20968379887057725	0.04288331932704564	0.036947914811606315	0.3730187824125276	0.0601041800553192	0.049813749702852524	0.1045296980971226	0.004171096201345688	0.06866500396405512	0.9517600131679631	0.14023638867693383	2.5379348146410394	0.036442210220451014	0.4091007225730643	1.0731642740123009	1.4146177536032676	0.14844675160594228	0.12030196666758093	1.2176651134568082	0.812433014667631	0.47083611343786197	0.04683411468418223	0.056819247069452065	0.022296286396708845	2.1453718139188114	0.24906460383076853	0.0773667398597892	0.1653771980004541	0.11582370330998462	0.22387707405129803	0.4702370978813033	0.3667996376612081	1.4956367909380743	0.898864124058668	0.24069600267453362	0.12143009837866017	0.09058878820027942	0.3019567905689341	0.0005633823823830617	0.0904463333086891	0.22965720614826618	0.028798216897081362	0.2200605583531766	0.14363236485336092	1.1877100070888054	0.13479745972403337	0.23916413172285902	0.37616815750985744	7
donor8	0.4971936263113204	0.5610267184410525	0.16829984303431933	0.14703767212732363	1.1392856051459324	1.3468249363722016	1.8963408410899711	0.3601422334876417	0.024889289245392448	0.9129170655063937	0.2231506116013026	0.06488679031302164	0.008703930236906887	0.42860641914052416	0.04212394205738847	0.013426428206124452	0.034318538804274525	0.021113763002638758	0.07110489943766651	1.2825556798560802	0.16741950653774068	2.6409751302247466	0.11030986361031787	0.6138986999328551	0.7461905116324553	0.8017056585347024	0.2050413181501503	0.12479930049273565	1.872858598745044	1.2090062148789085	0.6710576304461258	0.19902770884361565	0.1204521929923203	0.029566057517043758	1.1462638635161913	0.19934141845786446	0.08561118259109438	0.16652755928055957	0.15485816318285203	0.30422361422141303	0.633312968709039	0.6102265709637436	1.349066764664863	0.5809105708306755	0.6345037574065016	0.143362467953855	0.0958806430669484	0.34552803372557156	0.0037387616622105483	0.19578743424813977	0.27398669042065166	0.006154732854417436	0.2079644515889866	0.1661155014836227	1.2190729930768875	0.1265379801800417	0.24160673364997712	0.44324092742764454	8
donor9	0.3141963513685257	0.3040223261373136	0.05483065729422515	0.10512136804037474	1.6393900582169898	2.223484744504074	2.760613851146182	0.38967506710168737	0.011676305990814687	0.5591386035351034	0.23438437565854525	0.019255949997525307	0.03216210773590436	0.3399868433126769	0.04147097002983776	0.06729849447458343	0.22115231390175452	0.0027767836676456156	0.048815551364981044	1.0866708579552773	0.12287953139643702	2.2521237407632055	0.04226412663113318	0.5103416305680358	1.107071703772399	1.3370407165538138	0.3328121901293338	0.06619237234064253	1.211344938165283	0.8355467329224507	0.32807017823847473	0.03936069911134252	0.03833303510697844	0.011395457991649859	1.9662205535487345	0.23336232480300742	0.04584064547648781	0.14535297316716436	0.05293867046410044	0.22977819357858745	0.22469230365974763	0.26307607307721625	1.3413080652007645	0.8893367752642446	0.053109084029439375	0.110677421256233	0.12588784135444717	0.2390558137167576	0.0007581497292211536	0.10620001973891888	0.12727299720546056	0.030562550939070753	0.1786170852291524	0.08941247037790485	0.7013322907500773	0.1448201770110912	0.2332216794223958	0.23494889774298203	9
donor10	0.11262746821992602	0.3461156519325439	0.06019273978324092	0.0749613516020244	1.1215209281702632	1.5518866831385292	2.0366824616862638	0.5663187905475212	0.015963367602032878	1.4233035111139734	0.4079997814811893	0.02595435656956282	0.0047204149934012545	0.5131095101437827	0.019331622669128846	0.007022558862864047	0.026114504645656473	0.0027934286496310344	0.17949777176600187	1.0940402088632255	0.2494804958246527	2.679104248124809	0.031055821526928637	0.4626756868517309	0.589814603370211	0.7377849372910076	0.13541187168214408	0.29388465447809836	1.5663749415740351	1.228286511360325	0.9619953189605807	0.052622674889391347	0.049546507317739144	0.0228981555871744	1.1696092932298578	0.18987800492675452	0.04850259764068887	0.18420021227382533	0.10794987470937523	0.30847380281811854	0.6717274425651666	0.8808463888403424	0.8218211758810747	0.5397167050003226	0.07489673931990155	0.19992569521428488	0.21517517179290305	0.2788417157292679	0.0006234465780563723	0.12179714627096397	0.39249854385321503	0.003273779639219127	0.3382509741518576	0.37464246346084407	1.5114418532567253	0.15388839374906157	0.2092457148425498	0.2774404929559005	10
