donor	donor_numeric	covid_signature_z	isg_mean	inflam_mean	plasma_mean	mono_mean	bcell_mean	tcell_mean
donor11	11	-5.8972915775652766	0.12325457136354366	0.28350798593186555	0.18777889101889733	0.610578244111409	0.6589326447773809	1.1414588706689661
donor12	12	-5.341640201354984	0.13309513464370312	0.33210860194725605	0.13916527638121526	0.737641925171029	0.6030681896133018	0.9843746805112924
donor1	1	-4.628712091591931	0.11313882769055565	0.3846838545292606	0.17083847231365928	0.834582813007464	0.6552339494198768	1.1111645495132834
donor17	17	-3.844808759647262	0.2044072634475122	0.3965350935899489	0.22143904235442485	0.8624064091869709	0.6586744033257192	1.110652850708611
donor15	15	-3.408016682212353	0.23246663196908365	0.5581052647390079	0.21042818293605184	0.995845656214972	0.7799957451427836	0.9821827481393928
donor5	5	-3.274191339828159	0.12195583962125257	0.4163254491235026	0.18427803663225834	0.9329651975471149	0.6405015467808585	0.9679395151045652
donor32	32	-3.0993200498227003	0.17527789899998766	0.4816481873510672	0.14426944401260436	1.0910372450742594	0.6202569249750892	0.9963019032640785
donor10	10	-2.8156083200886983	0.13161770433327105	0.5004444686823379	0.2899298413676449	0.9387495860129038	0.773076022396322	0.9319702302934821
donor8	8	-2.4667931141463058	0.2511694302646537	0.5304179787441408	0.19749293808006843	0.9136339487511032	0.6421918566455533	1.0565085615268546
donor29	29	-2.2243727769817476	0.16701638804784352	0.4611981101783238	0.2517401860627217	0.960715661593161	0.5718032723964759	1.0643160430594525
donor21	21	-2.1702541042536394	0.1410230123620257	0.4276624998311054	0.25534948032257293	1.0311243524106777	0.6423180402530988	0.9604044814104887
donor19	19	-1.813042675991427	0.2891499767992701	0.5444833212085164	0.24653565836936606	0.9699596970046425	0.5943855077144408	1.1634195934751579
donor6	6	-1.6443592361684205	0.10575571211709005	0.5016506541289605	0.2675457169555154	0.9356621602755778	0.7043643284665911	0.8363313056444404
donor22	22	-1.5169997026458106	0.24365151906476773	0.4823090572605948	0.3410855255357851	0.9608685122528361	0.7969151839326828	0.9531149934866601
donor24	24	-0.5679915303971518	0.13964633418751946	0.5027162546290788	0.3494515363982685	1.1029627204237205	0.5980061210358742	0.9210611238827108
donor23	23	0.036073614389839415	0.12883249359457996	0.5611849841106163	0.3312098414815852	1.048276752438539	0.6063055999683755	0.925437299717644
donor18	18	0.08068899020662079	0.7486269334625202	0.6061527826986571	0.21692327744227166	1.1568672577830774	0.6161613250416694	1.1909998118057266
donor16	16	0.2966096785822454	0.16039814178462375	0.6839950806964655	0.24172270521427866	1.3233821348018444	0.6406356118727348	0.6781734185403379
donor33	33	0.5484375400489535	1.2654395615162422	0.6171770070028624	0.20168585041719808	1.0025644163772465	0.7752205825137529	1.1125307245718514
donor13	13	0.5793615515589325	0.3613641946614332	0.7915713081627029	0.18944001353854242	1.6251962677621345	0.7888086078183746	0.6175266987669701
donor25	25	1.2029208038389725	0.14493962385992196	0.7128612551248025	0.34589455564693294	1.408807435172595	0.6926361672895611	0.7625638783161875
donor14	14	1.4270525255355628	0.9421088279779681	0.6599782817312974	0.2046778249300367	1.3470083204738588	0.7622655112327921	0.8748505213715652
donor27	27	1.5421881304421012	0.1536489616235933	0.5975807321029851	0.469694578020954	1.3529658619930947	0.6652555165652448	0.9384379706804531
donor26	26	1.9155257930350038	0.6526595153821848	0.6718754168236678	0.3544510897555979	1.228053486749612	0.7495228593371233	0.9194678455251277
donor4	4	1.9160508520510864	0.23937306123550942	0.7625695362715548	0.28939072134048877	1.4526518586102806	0.7278187343016103	0.6889796923107633
donor31	31	2.2994340452758175	0.4285068201655748	0.8545092607992242	0.2409522533655513	1.6118779069500857	0.6751553815741643	0.806791843791267
donor7	7	3.120407643180777	0.20683613097725947	0.7931342543404946	0.1782925527105015	1.4813308961117049	0.6181189416958415	0.7229671875833538
donor3	3	3.373490125338735	0.7821383904966629	0.8612453868446333	0.15732561316510435	1.6732628404784968	0.7029060948647234	0.794443904649854
donor2	2	3.5824506159165965	0.14834772557184267	0.7586509798285835	0.18645901604570964	1.5094842517077551	0.6162969842723601	0.7437272418299188
donor20	20	3.9716706843885214	0.2709600789875759	0.8054557660991608	0.3212431439004774	1.650621096698273	0.7225887899717409	0.6288949593477989
donor9	9	4.335381855902741	0.1322978931164725	0.6665405657850776	0.17977269833157167	1.4050717400263837	0.5270322440151775	0.774736470637927
donor28	28	6.616875002479907	0.21115680918847135	0.9298736363930288	0.46204758171925964	2.0533382178073087	0.7192300664896688	0.5103828992750332
donor30	30	7.86878271052342	0.5110798847896232	1.1594406394273118	0.2554050684252005	2.621173501894371	0.7238452629415452	0.2544551836708859
