donor	n_cells	score_isg_mean	score_isg_median	isg_genes_n	score_inflammatory_mean	score_inflammatory_median	inflammatory_genes_n	score_cytotoxic_mean	score_cytotoxic_median	cytotoxic_genes_n	score_hla_ii_mean	score_hla_ii_median	hla_ii_genes_n	donor_numeric
donor1	11264	0.10157914595170454	0.0625	16	1.4568093039773393	0.2	10	3.3292791193182087	0.2	5	8.801455965908913	1.0	5	1
donor2	10595	0.14928621991505428	0.0625	16	7.649079754601192	1.2	10	2.0468145351581515	0.0	5	5.404039641340211	1.2	5	2
donor3	11327	2.1082866160501457	1.0	16	16.529292840116785	2.8	10	2.7709896706984485	0.2	5	9.297413260351254	2.6	5	3
donor4	17134	0.3902073362904167	0.1875	16	28.608386833197116	0.8	10	4.743095599392757	0.2	5	5.963102603011424	1.4	5	4
donor5	11067	0.11193186952200235	0.0625	16	2.2993945965482894	0.3	10	3.1881630071384084	0.2	5	6.051359898798143	0.8	5	5
donor6	6663	0.1330669368152484	0.0625	16	15.510535794687167	0.3	10	2.1643704037220863	0.2	5	5.878793336335019	0.8	5	6
donor7	8490	0.2551457597173145	0.125	16	16.971319199057728	1.0	10	2.7241931684335476	0.2	5	5.3820730270906925	1.2	5	7
donor8	7888	0.44598599137931033	0.1875	16	6.260889959431989	0.4	10	3.620765720081247	0.2	5	6.680907707910725	1.2	5	8
donor9	7837	0.13594966186040577	0.0625	16	6.2877886946534725	0.6	10	1.3031517162179458	0.0	5	3.472961592446147	0.8	5	9
donor10	14101	0.16146018012906885	0.0625	16	6.594503935891049	0.4	10	6.017502304800716	0.2	5	6.754386213743585	1.4	5	10
donor11	5942	0.1095906260518344	0.0625	16	0.7497643890945654	0.2	10	5.601615617637243	0.4	5	4.976842813867434	1.0	5	11
donor12	8704	0.12470559512867647	0.0625	16	1.2682215073529886	0.2	10	4.467647058823522	0.2	5	4.827182904411755	0.8	5	12
donor13	5756	0.5950312717164697	0.25	16	14.282123002084775	2.2	10	2.7408269631689093	0.2	5	7.16421125781794	2.0	5	13
donor14	15886	2.836963363968274	1.0	16	16.13289689034409	0.5	10	3.7591212388264714	0.4	5	7.6815309077174	1.8	5	14
donor15	5857	0.41147345057196516	0.125	16	9.740259518524805	0.3	10	1.346935291104617	0.0	5	5.839064367423659	0.8	5	15
donor16	6108	0.1891781270464964	0.125	16	8.121430910281545	0.6	10	4.983726260641886	0.2	5	5.202488539620211	1.2	5	16
donor17	8626	0.2207135404590772	0.125	16	1.4294690470670386	0.3	10	2.630813818687784	0.2	5	6.748063992580524	0.8	5	17
donor18	7557	1.9031196241894932	0.6875	16	10.563636363636327	0.4	10	2.2851660711923323	0.2	5	6.649543469630782	1.0	5	18
donor19	7523	0.422512627940981	0.1875	16	5.144184500863949	0.4	10	2.806539944171299	0.0	5	4.530453276618437	0.8	5	19
donor20	5868	0.42605018745739603	0.1875	16	15.778050443081167	3.55	10	1.8869120654396796	0.2	5	6.279481935923675	1.6	5	20
donor21	9332	0.14624410630090012	0.0625	16	2.5164594942134357	0.3	10	3.9153664809259134	0.2	5	7.884676382340258	1.2	5	21
donor22	5492	0.3188501456664239	0.1875	16	3.9960305899490045	0.3	10	4.767407137654859	0.2	5	6.155207574654059	2.0	5	22
donor23	5762	0.1858946546338077	0.125	16	6.853418951752773	0.4	10	7.998264491495944	0.2	5	5.390697674418644	1.4	5	23
donor24	7828	0.1429084695963209	0.0625	16	2.7029637199795506	0.5	10	4.6990035769034915	0.2	5	6.9705416453755795	1.0	5	24
donor25	6916	0.14554113649508385	0.125	16	6.666570271833383	0.8	10	3.5155292076345717	0.2	5	8.075563909774392	1.4	5	25
donor26	10801	1.4261758170539764	0.5625	16	12.176826219794481	0.6	10	3.222794185723627	0.2	5	5.287917785390205	1.2	5	26
donor27	8364	0.14737266857962697	0.125	16	2.369942611190813	0.8	10	3.489837398374107	0.2	5	10.070420851267276	1.4	5	27
donor28	6157	0.27922486600617186	0.125	16	15.819701153159007	6.2	10	2.116095501055745	0.2	5	6.219262627903199	2.0	5	28
donor29	10745	0.16549557933922754	0.125	16	2.268357375523477	0.5	10	3.6034248487668843	0.2	5	5.765565379246125	0.8	5	29
donor30	5185	1.4097034715525554	0.9375	16	40.255448408871764	36.2	10	1.6424686595949556	0.4	5	8.897473481195775	4.6	5	30
donor31	5851	0.9867864467612374	0.375	16	22.73884806016078	1.0	10	1.9265766535635174	0.2	5	6.379900871645929	1.8	5	31
donor32	7848	0.1834782747196738	0.125	16	2.4121559633027725	0.4	10	2.049949031600455	0.2	5	9.804102956166986	0.8	5	32
donor33	5159	2.964079763520062	1.5625	16	10.568133359178018	0.5	10	3.864547392905676	0.2	5	6.508625702655595	1.0	5	33
