metric	value
IGSR_30x_manifest_samples	3202
AFGR_filtered_GRCh38_BAM_records	100
intersection_samples	50
sample	file_accession	md5sum	AFGR_experiment
HG02571	ENCFF030ITR	d709c0152e841bea79d68951b47df427	/experiments/ENCSR400ISH/
HG02588	ENCFF025ITU	e592b054de8903cce5e2fb25f88b1c9e	/experiments/ENCSR189VFC/
HG02610	ENCFF230HVR	7eed78f47dea039f1532eb0605286b18	/experiments/ENCSR905PWV/
HG02623	ENCFF495DQP	2fa733308a2dac4cbfc09dba79c332ea	/experiments/ENCSR821JHD/
HG02642	ENCFF705PBQ	4d4e6827add661e394804f575041cd34	/experiments/ENCSR821QHC/
HG02678	ENCFF447ZRG	5cfd6787d8e02211b9cfcf0cdbb3d5a5	/experiments/ENCSR180HEL/
HG02759	ENCFF687QML	73e60d0446bdb995b38cf37274c7e7e7	/experiments/ENCSR144ZXR/
HG02763	ENCFF321SNO	9fa70b420130ca0150ec6e5d5d27b22e	/experiments/ENCSR404OEO/
HG02798	ENCFF960AXI	3c01ff80f2e0f57aa299fa95b4009119	/experiments/ENCSR524CPZ/
HG02840	ENCFF720BLR	9f3be2a35c75c9b7b0f73290883b1591	/experiments/ENCSR854ZBA/
HG02852	ENCFF978QLZ	86d819db9206832fb54853581f63acd1	/experiments/ENCSR368FYV/
HG02870	ENCFF358GWK	9199c0ad6ff68d19ad66bc5ed20db697	/experiments/ENCSR420RVW/
HG02884	ENCFF079OKV	e39262832afac99d3ae5e436abca0fb3	/experiments/ENCSR604YEQ/
HG02885	ENCFF056MAS	3d22fccf967596fd65bec080d5e43524	/experiments/ENCSR621JYI/
HG02938	ENCFF966ELR	05d62214e6c2826bcb065d8735b07485	/experiments/ENCSR920FQJ/
HG02943	ENCFF657AXO	19221f02914085612ce2c6ca6d0b1fa0	/experiments/ENCSR123WME/
HG02970	ENCFF320DVY	568d0f46cebc18002763434f95dc9969	/experiments/ENCSR857MCZ/
HG02973	ENCFF395ZMS	c30e23c0556d6a53c36e9ee72afc8e13	/experiments/ENCSR038WVV/
HG02981	ENCFF710GAW	11dd81e1ad971b39d9bead2d86be4800	/experiments/ENCSR208HAP/
HG03025	ENCFF715RQC	67916d292b0ec86235fc9eda8203ad8a	/experiments/ENCSR673ZMQ/
HG03039	ENCFF231QTG	4ab8c94c74cc75174fc4826a7c5dd102	/experiments/ENCSR381LJX/
HG03045	ENCFF216MFD	19dd00867a4f094440d7ae0eb8bdac01	/experiments/ENCSR249FXU/
HG03060	ENCFF207CZR	fad12a3e0c2779cb5b98c4ec2004978d	/experiments/ENCSR470ZNM/
HG03064	ENCFF270VDV	f093fac8cf42e5ec8bebf3b0c8383864	/experiments/ENCSR487SOP/
HG03066	ENCFF479XDB	148718145964b98468627c22c656f18b	/experiments/ENCSR040PBN/
HG03095	ENCFF801THG	18be33cb26c31a986cdf78c3f6959732	/experiments/ENCSR359HFH/
HG03097	ENCFF919PWF	d2fe6e478d9c113bcf28e2582856974e	/experiments/ENCSR608KJD/
HG03103	ENCFF925NDY	f5f8481c57b227902eb2a0f7b259bdf7	/experiments/ENCSR833ACP/
HG03108	ENCFF948HNW	5722e2590036dfc5b07ca910f34340e6	/experiments/ENCSR962ITF/
HG03135	ENCFF004CBW	03e0db2e066033c76df8641221fdcabe	/experiments/ENCSR096VEO/
HG03139	ENCFF231YYD	fd3bce3af2537a89518fb233b56f9abb	/experiments/ENCSR615YIL/
HG03159	ENCFF998WJT	4101503ea6aa5afed696babaf2730d16	/experiments/ENCSR940YDN/
HG03175	ENCFF963YZH	cd8ab8907882ba9e76ec882c0bddf0bd	/experiments/ENCSR305XRF/
HG03196	ENCFF767FGV	52c130df2cc232bd3ce921b6899f1485	/experiments/ENCSR063UNG/
HG03280	ENCFF588QWF	23d33fa23ebed1b3c5dd596a0b1934c4	/experiments/ENCSR554WGQ/
HG03342	ENCFF848NBQ	69ea343d3ed728e00efccd52c37afd6b	/experiments/ENCSR528YDD/
HG03354	ENCFF132WNX	28512c5e00ee6f0de9bb0fb223bfa56b	/experiments/ENCSR025MEO/
HG03378	ENCFF497QOS	46acb3a0393066804a51767793656192	/experiments/ENCSR824DUE/
HG03432	ENCFF170VVQ	df4547a448cb6eed34c4f1ac0fa94dae	/experiments/ENCSR839UOB/
HG03439	ENCFF326QXM	a794b3660f7991e0c22b360578f05520	/experiments/ENCSR376YMU/
HG03442	ENCFF130DND	c5eac6ff59366054fe2a098e58363a44	/experiments/ENCSR858GTE/
HG03457	ENCFF785NTV	0a34ba29d2489343677fd85e5ee62209	/experiments/ENCSR322SBN/
HG03460	ENCFF110EWQ	19c4dfffff43350a9eaff3b644c93049	/experiments/ENCSR345NVR/
HG03469	ENCFF430HQS	fc57381d00f1032666f6f1bf7a5863c7	/experiments/ENCSR163KRG/
HG03520	ENCFF614WUU	63e4e5fd3df0e87be7b361692e83d64f	/experiments/ENCSR624CTU/
HG03521	ENCFF129JFT	9a57304a9fff5865019af964b9ac9023	/experiments/ENCSR594TMY/
HG03558	ENCFF842JIO	a91a9aebfab666b407aa886b1fb4a6a6	/experiments/ENCSR278JWM/
HG03565	ENCFF220BRO	0bf13e85c128c921760766a6351535a6	/experiments/ENCSR835WBW/
HG03571	ENCFF009NCL	d277ed4a324e8fd0b0dd71e8e1564fe4	/experiments/ENCSR000RBT/
HG03575	ENCFF632MBC	2e872db29e6e7891ab3826983e269f04	/experiments/ENCSR331JFZ/
