SOURCE	conserved
MATCH	cortex	markers=8	best=cortex	best_score=2.1632	own_score=2.1632	margin=1.2253
MATCH	endodermis	markers=74	best=endodermis	best_score=0.9799	own_score=0.9799	margin=0.4955
MATCH	epidermis	markers=107	best=root_hair	best_score=1.9866	own_score=0.9180	margin=-1.0685
MATCH	pericycle	markers=4	best=pericycle	best_score=2.0643	own_score=2.0643	margin=1.2499
MATCH	phloem	markers=62	best=phloem	best_score=1.0686	own_score=1.0686	margin=0.3501
MATCH	root_cap	markers=57	best=root_cap	best_score=2.2328	own_score=2.2328	margin=1.9628
MATCH	xylem	markers=100	best=xylem	best_score=2.0737	own_score=2.0737	margin=1.0100
SCORE_MATRIX
reference_observed	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
cortex	2.163	0.007	-0.137	0.938	-0.336	-0.897	-0.844	-1.046	0.185	-0.034
endodermis	-0.555	0.980	-0.563	-0.103	0.484	-0.253	0.108	-0.239	-0.145	0.285
epidermis	-0.241	-0.607	0.918	-0.664	-0.420	-0.251	-0.781	0.286	1.987	-0.226
pericycle	-0.621	-0.329	-1.110	-0.264	2.064	0.814	0.355	-0.166	-0.457	-0.288
phloem	-0.729	-0.172	-0.706	-0.058	0.719	1.069	0.408	-0.212	-0.420	0.102
root_cap	-0.089	-0.484	0.164	-0.504	-0.365	-0.166	-0.999	2.233	-0.059	0.270
xylem	-0.729	-0.385	-0.360	-0.567	-0.340	-0.283	-0.141	1.064	-0.333	2.074
SOURCE	spatial
MATCH	cortex	markers=16	best=cortex	best_score=2.2210	own_score=2.2210	margin=1.3364
MATCH	endodermis	markers=6	best=endodermis	best_score=2.5639	own_score=2.5639	margin=2.0511
MATCH	epidermis	markers=18	best=epidermis	best_score=2.3598	own_score=2.3598	margin=1.9798
MATCH	meristems	markers=40	best=meristems	best_score=1.3359	own_score=1.3359	margin=0.7952
MATCH	phloem	markers=6	best=phloem	best_score=2.8515	own_score=2.8515	margin=2.8200
MATCH	root_cap	markers=19	best=root_cap	best_score=2.9645	own_score=2.9645	margin=3.1876
MATCH	xylem	markers=4	best=xylem	best_score=2.3656	own_score=2.3656	margin=1.0719
SCORE_MATRIX
reference_observed	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
cortex	2.221	-0.301	-0.136	0.885	-0.363	-0.674	-1.006	-0.820	0.210	-0.016
endodermis	-0.453	2.564	-0.302	0.513	0.332	-0.638	-0.501	-0.620	-0.652	-0.241
epidermis	-0.799	-0.609	2.360	-0.384	-0.412	0.345	-1.230	0.265	0.084	0.380
meristems	-0.433	-0.659	0.541	1.336	0.359	0.517	-0.310	-1.107	0.374	-0.618
phloem	-0.470	-0.763	-0.449	-0.306	0.032	2.852	-0.224	-0.065	-0.428	-0.177
root_cap	-0.365	-0.379	-0.315	-0.375	-0.375	-0.223	-0.346	2.964	-0.255	-0.332
xylem	-0.439	-1.014	-0.301	0.001	-0.462	-0.916	-0.528	1.294	-0.001	2.366
