SHEET Ath-scTae-both-ways
tae cluster	ath cluster	number of matches	enrichment fold	p-value	q-value	significant
10	Xylem	29	3.8	9e-06	0.000441	True
10	Xylem	29	3.78	9e-06	0.00049	True
10	Trichoblast	14	2.08	0.00254	0.0452581818181818	True
11	Phloem	16	2.93	9e-06	0.000441	True
11	Phloem	16	2.71	9e-06	0.00049	True
11	Xylem	13	2.28	0.00088	0.0191644444444444	True
12	Dividing	16	12.41	9e-06	0.000441	True
12	Dividing	16	10.54	9e-06	0.00049	True
13	Phloem	8	3.28	0.0004	0.0098	True
3	QC	5	12.16	1e-05	0.00049	True
3	LRC	7	6.25	3e-05	0.001176	True
3	Columella	5	9.87	5e-05	0.00163333333333333	True
3	LRC	7	3.46	0.00022	0.00616	True
3	Initials	4	9.24	0.00046	0.01127	True
3	QC	5	4.08	0.0024	0.04704	True
6	Phloem	11	6.12	9e-06	0.000441	True
6	Phloem	11	2.4	0.00218	0.042728	True
8	Trichoblast	16	2.14	0.00021	0.00616	True
8	Trichoblast	16	2.34	0.00025	0.007	True
9	Endodermis	6	5.42	0.00012	0.004704	True
9	Endodermis	6	3.88	0.00185	0.0402888888888889	True
SHEET Osa-scTae-both-ways
tae cluster	osa cluster	number of matches	enrichment fold	p-value	q-value	significant
1	epidermis (near root hair)	11	2.93	0.00022	0.00352	True
1	epidermis (near root hair)	11	2.28	0.00072	0.01344	True
1	stele	8	3.17	0.00097	0.01552	True
10	metaxylem	32	4.26	9e-06	0.000252	True
10	epidermis	19	3.84	9e-06	0.000252	True
10	epidermis	19	5.02	9e-06	0.000336	True
10	metaxylem	32	3.68	9e-06	0.000336	True
11	endodermis	8	2.78	0.00367	0.0456711111111111	True
14	root cap	20	3.3	9e-06	0.000252	True
14	root cap	20	2.01	0.00045	0.01008	True
14	epidermis	11	2.41	0.00341	0.038192	True
2	cortex	4	14.54	6e-05	0.001344	True
2	cortex	4	9.79	0.00012	0.00336	True
5	epidermis	5	5	0.00116	0.01624	True
8	root_hair	29	3.46	9e-06	0.000252	True
8	root_hair	29	2.09	9e-06	0.000336	True
8	epidermis (near root hair)	15	2.46	0.00015	0.0028	True
9	stele	7	3.33	0.00147	0.0182933333333333	True
9	stele	7	3.34	0.00198	0.02772	True
SHEET Zma-scTae-both-ways
tae cluster	zma cluster	number of matches	enrichment fold	p-value	q-value	significant
10	15.  Xylem	14	13.23	9e-06	0.000267272727272727	True
11	16.  Early Endodermis	18	5.8	9e-06	0.000267272727272727	True
12	20.  Initials	19	3.68	9e-06	0.000267272727272727	True
13	6.     Mature Endodermis	10	8.65	9e-06	0.000267272727272727	True
14	5.     Mature Pith	21	3.18	9e-06	0.000267272727272727	True
14	3.     Stele	28	2.09	1e-05	0.000267272727272727	True
3	14.  Early Cortex II	10	22.94	9e-06	0.000267272727272727	True
3	12.  Endodermis Initials	9	4.21	9e-06	0.000267272727272727	True
5	3.     Stele	13	2.87	9e-06	0.000267272727272727	True
6	6.     Mature Endodermis	16	8.42	9e-06	0.000267272727272727	True
9	5.     Mature Pith	10	3.67	1e-05	0.000267272727272727	True
10	15.  Xylem	14	5.59	9e-06	0.0003675	True
11	16.  Early Endodermis	18	4.65	9e-06	0.0003675	True
12	20.  Initials	19	6.44	9e-06	0.0003675	True
14	3.     Stele	28	1.94	1e-05	0.0003675	True
3	7.     Epidermis/LRC	9	6.95	9e-06	0.0003675	True
3	12.  Endodermis Initials	9	10.71	9e-06	0.0003675	True
3	14.  Early Cortex II	10	15.76	9e-06	0.0003675	True
6	6.     Mature Endodermis	16	4.03	9e-06	0.0003675	True
3	7.     Epidermis/LRC	9	3.52	2e-05	0.00049	True
4	0.     Early Stele	4	16.47	3e-05	0.000678461538461538	True
5	3.     Stele	13	2.85	0.00015	0.0049	True
9	5.     Mature Pith	10	3.25	0.00021	0.006174	True
5	5.     Mature Pith	8	3.57	0.00036	0.00756	True
1	7.     Epidermis/LRC	10	3.2	0.00033	0.008085	True
9	1.     Mature Cortex I	6	4.92	0.00032	0.008085	True
11	4.     Pericycle	5	5.4	0.00069	0.0156046153846154	True
11	0.     Early Stele	7	4.12	0.00087	0.017052	True
2	14.  Early Cortex II	3	10.88	0.00117	0.02149875	True
11	6.     Mature Endodermis	10	2.73	0.00162	0.02646	True
14	10.  Phloem	14	2.25	0.00156	0.02646	True
1	7.     Epidermis/LRC	10	2.17	0.00236	0.0365178947368421	True
1	17.  Cortex Initials	4	6.12	0.00265	0.038955	True
14	5.     Mature Pith	21	1.69	0.00208	0.04368	True
6	16.  Early Endodermis	6	3.74	0.00331	0.04634	True
SHEET snTae-scTae-both-ways
tae_sc cluster	tae_sn cluster	number of matches	enrichment fold	p-value	q-value	significant
9	17_Endodermis II(casparian strip)	26	22.43	9e-06	0.000198	True
9	9_Phloem Pole Pericycle(PPP)	7	15.86	9e-06	0.000198	True
9	10_Endodermis I (casparian strip)	14	13.45	9e-06	0.000198	True
9	17_Endodermis II(casparian strip)	26	11.1	9e-06	0.000213230769230769	True
9	10_Endodermis I (casparian strip)	14	5.92	9e-06	0.000213230769230769	True
8	6_Root Hair	33	11.3	9e-06	0.000198	True
8	6_Root Hair	33	16.81	9e-06	0.000213230769230769	True
7	0_Epidermis/Cortex I	13	16.28	9e-06	0.000198	True
7	0_Epidermis/Cortex I	13	20.04	9e-06	0.000213230769230769	True
6	21_Companion Cell	15	14.26	9e-06	0.000198	True
6	21_Companion Cell	15	11.63	9e-06	0.000213230769230769	True
6	16_Protophloem	9	7.05	9e-06	0.000213230769230769	True
6	16_Protophloem	9	6.48	9e-06	0.000198	True
4	5_Provascular Cells	6	24.87	9e-06	0.000198	True
4	5_Provascular Cells	6	10.19	9e-06	0.000213230769230769	True
3	3_Proximal Meristem	39	5.09	9e-06	0.000198	True
3	3_Proximal Meristem	39	21.93	9e-06	0.000213230769230769	True
2	1_Immature Pericycle Cells(IPC)	2	24.17	0.00229	0.0371221052631579	True
14	15_Root Cap	28	6.59	9e-06	0.000198	True
