section	key	value
marker_presence	astrocyte	7
marker_presence	microglial cell	7
marker_presence	RPE cell	7
marker_presence	cone cell	7
marker_presence	rod cell	7
marker_presence	horizontal cell	6
marker_presence	bipolar cell	7
marker_presence	RGC	7
marker_presence	T cells	6
marker_presence	macrophage	7
marker_presence	Schwann cell	7
marker_presence	Pericyte	7
marker_presence	B cell	6
marker_presence	fibroblast	7
marker_presence	endothelial cell	7
marker_presence	muller glia cell	8
cluster_detail	1|rod cell|1|1|0	0.0017402
cluster_detail	2|muller glia cell|113|4|109	1.4292
cluster_detail	3|rod cell|84|22|62	0.29593
cluster_detail	4|RGC|49|14|35	1.285
cluster_detail	5|rod cell|44|20|24	0.138
cluster_detail	6|bipolar cell|143|51|92	0.097447
cluster_detail	7|muller glia cell|249|46|203	1.2709
cluster_detail	8|rod cell|1253|1248|5	1.582
cluster_detail	9|rod cell|1719|1630|89	1.859
cluster_detail	10|rod cell|316|32|284	2.4061
cluster_detail	11|horizontal cell|189|181|8	0.6567
cluster_detail	12|bipolar cell|633|483|150	0.53825
cluster_detail	13|muller glia cell|221|193|28	0.84627
cluster_detail	14|cone cell|344|170|174	0.48845
cluster_detail	15|muller glia cell|335|292|43	0.12376
cluster_detail	16|bipolar cell|556|242|314	1.581
cluster_detail	17|rod cell|1343|6|1337	2.4066
cluster_detail	18|muller glia cell|44|36|8	0.094461
cluster_detail	19|rod cell|312|285|27	1.6907
cluster_detail	20|rod cell|502|15|487	2.3681
cluster_detail	21|rod cell|1260|337|923	2.3035
cluster_detail	22|rod cell|1372|865|507	0.072847
cluster_detail	23|rod cell|55|26|29	0.91555
cluster_detail	24|RGC|162|96|66	0.78751
