item	value
matrix1_genes	36601
matrix1_cells	6295
matrix1_nonzero	9246637
matrix2_genes	36601
matrix2_cells	5004
matrix2_nonzero	9953348
genes_list_length	36602
markers_present_astrocyte	0
markers_present_microglial cell	0
markers_present_RPE cell	0
markers_present_cone cell	0
markers_present_rod cell	0
markers_present_horizontal cell	0
markers_present_bipolar cell	0
markers_present_RGC	0
markers_present_T cells	0
markers_present_macrophage	0
markers_present_Schwann cell	0
markers_present_Pericyte	0
markers_present_B cell	0
markers_present_fibroblast	0
markers_present_endothelial cell	0
markers_present_muller glia cell	0
