k	cluster	assigned_cell_type	n_cells	n_individual_1	n_individual_2	score_margin
30	1	RGC	198	109	89	1.0119
30	2	rod cell	102	21	81	1.8124
30	3	bipolar cell	516	285	231	1.5208
30	4	rod cell	86	12	74	0.11028
30	5	rod cell	1235	1233	2	1.829
30	6	muller glia cell	350	41	309	1.3535
30	7	rod cell	355	0	355	2.6148
30	8	rod cell	292	5	287	2.6311
30	9	bipolar cell	192	111	81	0.32066
30	10	rod cell	597	0	597	2.4142
30	11	bipolar cell	262	152	110	0.51387
30	12	rod cell	916	916	0	1.6449
30	13	rod cell	315	133	182	0.022244
30	14	rod cell	511	0	511	2.5033
30	15	bipolar cell	380	237	143	0.12175
30	16	rod cell	754	754	0	1.9362
30	17	horizontal cell	157	157	0	0.84659
30	18	cone cell	290	280	10	0.19023
30	19	rod cell	350	0	350	2.3419
30	20	rod cell	519	2	517	2.1878
30	21	bipolar cell	84	57	27	0.12549
30	22	cone cell	199	19	180	0.55279
30	23	rod cell	293	151	142	0.056809
30	24	rod cell	259	128	131	0.025204
30	25	rod cell	263	263	0	0.36114
30	26	rod cell	448	1	447	2.3082
30	27	bipolar cell	252	161	91	1.188
30	28	rod cell	579	539	40	1.5881
30	29	rod cell	258	241	17	0.78607
30	30	muller glia cell	287	287	0	0.79462
50	1	bipolar cell	83	56	27	0.127
50	2	rod cell	267	1	266	2.5083
50	3	rod cell	173	81	92	0.099259
50	4	rod cell	138	0	138	2.2897
50	5	rod cell	234	0	234	2.4981
50	6	muller glia cell	172	5	167	1.3129
50	7	horizontal cell	152	152	0	0.86086
50	8	rod cell	310	309	1	1.9153
50	9	rod cell	69	35	34	0.69622
50	10	rod cell	310	133	177	0.020888
50	11	bipolar cell	162	152	10	0.52963
50	12	RGC	197	108	89	1.023
50	13	rod cell	84	11	73	0.099323
50	14	horizontal cell	80	41	39	0.22466
50	15	rod cell	132	5	127	0.079076
50	16	bipolar cell	112	74	38	1.2429
50	17	rod cell	177	1	176	2.0441
50	18	rod cell	207	0	207	2.5759
50	19	muller glia cell	71	59	12	0.93428
50	20	cone cell	290	281	9	0.18385
50	21	rod cell	208	0	208	2.6992
