method	cell_type	n_individual_1	n_individual_2	prop_individual_1	prop_individual_2	fold_individual2_vs_1	fold_individual1_vs_2
direct_marker_cell	astrocyte	174	58	0.027641	0.011591	0.42173	2.3712
direct_marker_cell	microglial cell	5	1	0.00079428	0.00019984	0.34309	2.9147
direct_marker_cell	RPE cell	10	3	0.0015886	0.00059952	0.41933	2.3847
direct_marker_cell	cone cell	192	173	0.0305	0.034572	1.1338	0.88197
direct_marker_cell	rod cell	4156	3576	0.66021	0.71463	1.0825	0.92383
direct_marker_cell	horizontal cell	225	49	0.035743	0.0097922	0.27614	3.6213
direct_marker_cell	bipolar cell	854	609	0.13566	0.1217	0.8973	1.1144
direct_marker_cell	RGC	113	108	0.017951	0.021583	1.2026	0.83155
direct_marker_cell	T cells	8	0	0.0012708	0	0.074	13.514
direct_marker_cell	macrophage	55	1	0.0087371	0.00019984	0.034	29.412
direct_marker_cell	Schwann cell	7	2	0.001112	0.00039968	0.41933	2.3847
direct_marker_cell	Pericyte	1	0	0.00015886	0	0.41933	2.3847
direct_marker_cell	B cell	3	1	0.00047657	0.00019984	0.53914	1.8548
direct_marker_cell	fibroblast	0	0	0	0	1.258	0.79492
direct_marker_cell	endothelial cell	22	5	0.0034948	0.0009992	0.30751	3.2519
direct_marker_cell	muller glia cell	470	418	0.074662	0.083533	1.119	0.89369
cluster_marker_consensus	astrocyte	0	0	0	0	1.258	0.79492
cluster_marker_consensus	microglial cell	0	0	0	0	1.258	0.79492
cluster_marker_consensus	RPE cell	0	0	0	0	1.258	0.79492
cluster_marker_consensus	cone cell	170	174	0.027006	0.034772	1.2875	0.7767
cluster_marker_consensus	rod cell	4487	3774	0.71279	0.7542	1.0581	0.94508
cluster_marker_consensus	horizontal cell	181	8	0.028753	0.0015987	0.058914	16.974
cluster_marker_consensus	bipolar cell	776	556	0.12327	0.11111	0.90158	1.1092
cluster_marker_consensus	RGC	110	101	0.017474	0.020184	1.1555	0.8654
cluster_marker_consensus	T cells	0	0	0	0	1.258	0.79492
cluster_marker_consensus	macrophage	0	0	0	0	1.258	0.79492
cluster_marker_consensus	Schwann cell	0	0	0	0	1.258	0.79492
cluster_marker_consensus	Pericyte	0	0	0	0	1.258	0.79492
cluster_marker_consensus	B cell	0	0	0	0	1.258	0.79492
cluster_marker_consensus	fibroblast	0	0	0	0	1.258	0.79492
cluster_marker_consensus	endothelial cell	0	0	0	0	1.258	0.79492
cluster_marker_consensus	muller glia cell	571	391	0.090707	0.078137	0.86178	1.1604
