k	cell_type	n_individual_1	n_individual_2	prop_individual_1	prop_individual_2	fold_individual2_vs_1
30	astrocyte	0	0	0	0	1.258
30	microglial cell	0	0	0	0	1.258
30	RPE cell	0	0	0	0	1.258
30	cone cell	299	190	0.047498	0.03797	0.80016
30	rod cell	4399	3733	0.69881	0.746	1.0676
30	horizontal cell	157	0	0.02494	0	0.0039936
30	bipolar cell	1003	683	0.15933	0.13649	0.85684
30	RGC	109	89	0.017315	0.017786	1.0282
30	T cells	0	0	0	0	1.258
30	macrophage	0	0	0	0	1.258
30	Schwann cell	0	0	0	0	1.258
30	Pericyte	0	0	0	0	1.258
30	B cell	0	0	0	0	1.258
30	fibroblast	0	0	0	0	1.258
30	endothelial cell	0	0	0	0	1.258
30	muller glia cell	328	309	0.052105	0.061751	1.1852
50	astrocyte	0	0	0	0	1.258
50	microglial cell	0	0	0	0	1.258
50	RPE cell	0	0	0	0	1.258
50	cone cell	298	189	0.047339	0.03777	0.79863
50	rod cell	4343	3683	0.68991	0.73601	1.0668
50	horizontal cell	193	39	0.030659	0.0077938	0.2568
50	bipolar cell	1020	691	0.16203	0.13809	0.85243
50	RGC	108	89	0.017156	0.017786	1.0377
50	T cells	0	0	0	0	1.258
50	macrophage	0	0	0	0	1.258
50	Schwann cell	0	0	0	0	1.258
50	Pericyte	0	0	0	0	1.258
50	B cell	0	0	0	0	1.258
50	fibroblast	0	0	0	0	1.258
50	endothelial cell	0	0	0	0	1.258
50	muller glia cell	333	313	0.052899	0.06255	1.1826
80	astrocyte	120	5	0.019063	0.0009992	0.057419
80	microglial cell	0	0	0	0	1.258
80	RPE cell	0	0	0	0	1.258
80	cone cell	251	147	0.039873	0.029376	0.73779
80	rod cell	4190	3664	0.66561	0.73221	1.1001
80	horizontal cell	186	39	0.029547	0.0077938	0.26644
80	bipolar cell	1021	746	0.16219	0.14908	0.91933
80	RGC	110	86	0.017474	0.017186	0.98476
80	T cells	0	0	0	0	1.258
80	macrophage	0	0	0	0	1.258
80	Schwann cell	0	0	0	0	1.258
80	Pericyte	0	0	0	0	1.258
80	B cell	0	0	0	0	1.258
80	fibroblast	0	0	0	0	1.258
80	endothelial cell	0	0	0	0	1.258
80	muller glia cell	417	317	0.066243	0.063349	0.95668
