category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0002250	7.10845367761199e-17	1	83	716	adaptive immune response	BP	1.13564655953529e-12	1
GO:0001775	4.14072772472359e-12	1	124	1142	cell activation	BP	3.3076133065092e-08	1
GO:0045321	5.02033517752387e-11	1	109	998	leukocyte activation	BP	2.61450563447344e-07	1
GO:0002376	6.54608321100011e-11	1	234	2859	immune system process	BP	2.61450563447344e-07	1
GO:0046649	1.77475705679261e-10	1	94	834	lymphocyte activation	BP	5.67070374786375e-07	1
GO:0006955	3.22857781245575e-10	1	161	1922	immune response	BP	7.43316416047615e-07	1
GO:0050865	3.25689466220162e-10	1	83	716	regulation of cell activation	BP	7.43316416047615e-07	1
GO:0042110	7.2707770506774e-10	1	70	546	T cell activation	BP	1.45197417702028e-06	1
GO:0050793	3.41274942305189e-09	1	230	2584	regulation of developmental process	BP	6.05800942029744e-06	1
GO:0002694	9.11065974420236e-09	1	74	659	regulation of leukocyte activation	BP	1.45551900073377e-05	1
GO:0051240	1.39989583264682e-08	1	149	1556	positive regulation of multicellular organismal process	BP	2.03315780203323e-05	1
GO:0048731	1.59267821333648e-08	1	364	4454	system development	BP	2.12038559468863e-05	1
GO:0002521	3.85642888398774e-08	1	70	596	leukocyte differentiation	BP	4.73925445004524e-05	1
GO:0007155	7.10383843726209e-08	1	155	1538	cell adhesion	BP	8.10649449097851e-05	1
GO:0051249	7.87648064228067e-08	1	63	561	regulation of lymphocyte activation	BP	8.3889769827384e-05	1
GO:0030098	8.78537880464496e-08	1	54	419	lymphocyte differentiation	BP	8.62223751457469e-05	1
GO:0051094	9.69141714901246e-08	1	134	1388	positive regulation of developmental process	BP	8.62223751457469e-05	1
GO:0042127	9.71458908752782e-08	1	154	1761	regulation of cell population proliferation	BP	8.62223751457469e-05	1
GO:0007166	1.03546520217813e-07	1	240	2889	cell surface receptor signaling pathway	BP	8.70662740526202e-05	1
GO:0050789	1.71533038766123e-07	1	804	12218	regulation of biological process	BP	0.000137020591366379	1
GO:0050794	2.06333026618249e-07	1	763	11250	regulation of cellular process	BP	0.000153311640121477	1
GO:0050867	2.11120185445199e-07	1	52	454	positive regulation of cell activation	BP	0.000153311640121477	1
GO:0008283	2.45754999514372e-07	1	174	2054	cell population proliferation	BP	0.000170703559662679	1
GO:1903131	2.58585462720011e-07	1	57	473	mononuclear cell differentiation	BP	0.000172131723017287	1
GO:0030154	2.69677687356457e-07	1	341	4298	cell differentiation	BP	0.00017233482932827	1
GO:0048523	3.2382456169628e-07	1	374	4916	negative regulation of cellular process	BP	0.00019897773837153	1
GO:0048856	3.542999712902e-07	1	452	5935	anatomical structure development	BP	0.000209640605234527	1
GO:0050896	3.90095375667271e-07	1	622	9132	response to stimulus	BP	0.000222577275773583	1
GO:0045595	4.47266599840129e-07	1	148	1637	regulation of cell differentiation	BP	0.000246397627553307	1
GO:0048869	6.28025728691536e-07	0.999999736477609	342	4325	cellular developmental process	BP	0.000334444634719199	1
GO:0048583	8.35299319985982e-07	0.999999650138481	321	4104	regulation of response to stimulus	BP	0.000429219066480686	1
GO:0007275	8.59727724548195e-07	0.999999635624189	386	4922	multicellular organism development	BP	0.000429219066480686	1
GO:0002696	1.55876436558691e-06	0.999999398092003	49	437	positive regulation of leukocyte activation	BP	0.0007415344496412	1
GO:0050863	1.61867072621272e-06	0.999999386254773	47	374	regulation of T cell activation	BP	0.0007415344496412	1
GO:0009952	1.62454342372571e-06	0.999999458047875	31	219	anterior/posterior pattern specification	BP	0.0007415344496412	1
GO:0048513	1.72671796838982e-06	0.999999049021946	288	3595	animal organ development	BP	0.000766279062860993	1
GO:0065007	1.96818279752939e-06	0.999998889278495	844	12957	biological regulation	BP	0.000849073008849207	1
GO:0023051	2.01957776266086e-06	0.999998763049162	283	3460	regulation of signaling	BP	0.000849073008849207	1
GO:0031349	2.19177781602038e-06	0.999999156528051	39	307	positive regulation of defense response	BP	0.000897842112531837	1
GO:0032943	2.30520246376194e-06	0.999999099918958	40	313	mononuclear cell proliferation	BP	0.000920697864026521	1
GO:0048584	2.37305621992536e-06	0.999998744780092	188	2256	positive regulation of response to stimulus	BP	0.000924681613890916	1
GO:0030217	3.0411673172877e-06	0.999998801772949	40	296	T cell differentiation	BP	0.00114953654004743	1
GO:0010646	3.09402048210061e-06	0.999997991589257	281	3447	regulation of cell communication	BP	0.00114953654004743	1
GO:0046651	3.21007261637164e-06	0.999998735468909	39	306	lymphocyte proliferation	BP	0.00116554818452621	1
GO:0051251	3.76043952159387e-06	0.999998426456374	44	387	positive regulation of lymphocyte activation	BP	0.00133503959548853	1
GO:0048519	4.26227536259177e-06	0.999997040939081	412	5865	negative regulation of biological process	BP	0.00148030676506013	1
GO:0030155	4.43932582862995e-06	0.999997743084544	84	800	regulation of cell adhesion	BP	0.00150899296677005	1
GO:0032502	4.64376869792639e-06	0.99999674685506	484	6526	developmental process	BP	0.00154560101495983	1
GO:0023052	5.30800926184381e-06	0.999996200659956	470	6575	signaling	BP	0.00173062767280034	1
GO:0009966	6.34591039780906e-06	0.999995765168594	250	3061	regulation of signal transduction	BP	0.00202764529030795	1
GO:0051239	6.59240476760102e-06	0.999995637352026	231	2911	regulation of multicellular organismal process	BP	0.00206510310916066	1
