category	de_genes
GO:0002250	ENSG00000143502,ENSG00000173762,ENSG00000057657,ENSG00000172116,ENSG00000153898,ENSG00000117322,ENSG00000138795,ENSG00000139193,ENSG00000226660,ENSG00000239855,ENSG00000182566,ENSG00000211809,ENSG00000211804,ENSG00000152495,ENSG00000282780,ENSG00000211751,ENSG00000276953,ENSG00000196839,ENSG00000131507,ENSG00000103522,ENSG00000122224,ENSG00000160654,ENSG00000211640,ENSG00000254126,ENSG00000198851,ENSG00000168685,ENSG00000241755,ENSG00000256590,ENSG00000282173,ENSG00000211747,ENSG00000211638,ENSG00000104998,ENSG00000112182,ENSG00000278030,ENSG00000132359,ENSG00000112561,ENSG00000211721,ENSG00000211651,ENSG00000282420,ENSG00000232810,ENSG00000139370,ENSG00000056972,ENSG00000211752,ENSG00000211772,ENSG00000178562,ENSG00000147896,ENSG00000211799,ENSG00000277734,ENSG00000243466,ENSG00000254087,ENSG00000211652,ENSG00000109861,ENSG00000281958,ENSG00000101916,ENSG00000018280,ENSG00000211941,ENSG00000244437,ENSG00000282133,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000240864,ENSG00000081189,ENSG00000102245,ENSG00000079950,ENSG00000134352,ENSG00000211746,ENSG00000244575,ENSG00000163131,ENSG00000095002,ENSG00000116514,ENSG00000142867,ENSG00000074966,ENSG00000204590,ENSG00000165025,ENSG00000166086,ENSG00000105851,ENSG00000006042
GO:0001775	ENSG00000126353,ENSG00000173762,ENSG00000164867,ENSG00000057657,ENSG00000172116,ENSG00000178732,ENSG00000117322,ENSG00000138795,ENSG00000139193,ENSG00000154764,ENSG00000124813,ENSG00000081059,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000172867,ENSG00000135919,ENSG00000110448,ENSG00000125084,ENSG00000163600,ENSG00000152495,ENSG00000127152,ENSG00000167664,ENSG00000211751,ENSG00000048052,ENSG00000196839,ENSG00000144161,ENSG00000147324,ENSG00000131507,ENSG00000103522,ENSG00000122224,ENSG00000159128,ENSG00000160654,ENSG00000154229,ENSG00000198851,ENSG00000132718,ENSG00000168685,ENSG00000115738,ENSG00000138814,ENSG00000204482,ENSG00000067082,ENSG00000124766,ENSG00000102760,ENSG00000113249,ENSG00000126368,ENSG00000104998,ENSG00000171793,ENSG00000164136,ENSG00000178726,ENSG00000152804,ENSG00000049249,ENSG00000077984,ENSG00000134460,ENSG00000213719,ENSG00000135426,ENSG00000118432,ENSG00000109743,ENSG00000232810,ENSG00000115956,ENSG00000178035,ENSG00000172575,ENSG00000139370,ENSG00000056972,ENSG00000140577,ENSG00000164342,ENSG00000211772,ENSG00000066336,ENSG00000168214,ENSG00000178562,ENSG00000015475,ENSG00000222028,ENSG00000147896,ENSG00000188906,ENSG00000277734,ENSG00000111859,ENSG00000137462,ENSG00000172216,ENSG00000113721,ENSG00000254087,ENSG00000109861,ENSG00000166526,ENSG00000011600,ENSG00000018280,ENSG00000156052,ENSG00000211941,ENSG00000165030,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000116251,ENSG00000197329,ENSG00000054179,ENSG00000081189,ENSG00000102245,ENSG00000120738,ENSG00000169230,ENSG00000134352,ENSG00000173585,ENSG00000125378,ENSG00000109943,ENSG00000106211,ENSG00000008438,ENSG00000169884,ENSG00000153551,ENSG00000107099,ENSG00000095002,ENSG00000166747,ENSG00000142867,ENSG00000090776,ENSG00000134215,ENSG00000074966,ENSG00000197943,ENSG00000165025,ENSG00000109684,ENSG00000174130,ENSG00000105851,ENSG00000006042
GO:0045321	ENSG00000126353,ENSG00000173762,ENSG00000057657,ENSG00000172116,ENSG00000117322,ENSG00000138795,ENSG00000139193,ENSG00000124813,ENSG00000081059,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000110448,ENSG00000125084,ENSG00000163600,ENSG00000152495,ENSG00000127152,ENSG00000167664,ENSG00000211751,ENSG00000048052,ENSG00000196839,ENSG00000144161,ENSG00000147324,ENSG00000131507,ENSG00000103522,ENSG00000122224,ENSG00000159128,ENSG00000160654,ENSG00000198851,ENSG00000132718,ENSG00000168685,ENSG00000115738,ENSG00000138814,ENSG00000204482,ENSG00000067082,ENSG00000124766,ENSG00000113249,ENSG00000126368,ENSG00000104998,ENSG00000171793,ENSG00000164136,ENSG00000152804,ENSG00000049249,ENSG00000077984,ENSG00000134460,ENSG00000135426,ENSG00000118432,ENSG00000109743,ENSG00000232810,ENSG00000178035,ENSG00000172575,ENSG00000139370,ENSG00000056972,ENSG00000140577,ENSG00000164342,ENSG00000211772,ENSG00000066336,ENSG00000168214,ENSG00000178562,ENSG00000015475,ENSG00000222028,ENSG00000147896,ENSG00000188906,ENSG00000277734,ENSG00000111859,ENSG00000137462,ENSG00000172216,ENSG00000254087,ENSG00000109861,ENSG00000166526,ENSG00000011600,ENSG00000018280,ENSG00000211941,ENSG00000165030,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000116251,ENSG00000197329,ENSG00000081189,ENSG00000102245,ENSG00000120738,ENSG00000169230,ENSG00000134352,ENSG00000173585,ENSG00000125378,ENSG00000109943,ENSG00000008438,ENSG00000169884,ENSG00000153551,ENSG00000107099,ENSG00000095002,ENSG00000166747,ENSG00000142867,ENSG00000090776,ENSG00000134215,ENSG00000197943,ENSG00000165025,ENSG00000109684,ENSG00000174130,ENSG00000105851,ENSG00000006042
GO:0002376	ENSG00000182742,ENSG00000174807,ENSG00000120093,ENSG00000122378,ENSG00000143502,ENSG00000126353,ENSG00000162337,ENSG00000173762,ENSG00000057657,ENSG00000172116,ENSG00000213949,ENSG00000178732,ENSG00000153898,ENSG00000136997,ENSG00000147257,ENSG00000109113,ENSG00000183439,ENSG00000075340,ENSG00000136068,ENSG00000117322,ENSG00000138795,ENSG00000139193,ENSG00000091409,ENSG00000124813,ENSG00000226660,ENSG00000081059,ENSG00000239855,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000166311,ENSG00000110448,ENSG00000174500,ENSG00000125084,ENSG00000211809,ENSG00000123454,ENSG00000211804,ENSG00000000971,ENSG00000124181,ENSG00000163600,ENSG00000152495,ENSG00000282780,ENSG00000145911,ENSG00000167996,ENSG00000127152,ENSG00000119314,ENSG00000155629,ENSG00000114631,ENSG00000167664,ENSG00000211751,ENSG00000121057,ENSG00000176928,ENSG00000151067,ENSG00000119401,ENSG00000180370,ENSG00000048052,ENSG00000276953,ENSG00000196839,ENSG00000144161,ENSG00000147324,ENSG00000129422,ENSG00000131507,ENSG00000103522,ENSG00000122224,ENSG00000159128,ENSG00000000003,ENSG00000160654,ENSG00000154229,ENSG00000211640,ENSG00000162924,ENSG00000254126,ENSG00000198851,ENSG00000162894,ENSG00000132718,ENSG00000168685,ENSG00000160185,ENSG00000126351,ENSG00000115738,ENSG00000138814,ENSG00000241755,ENSG00000204482,ENSG00000256590,ENSG00000067082,ENSG00000282173,ENSG00000124766,ENSG00000102760,ENSG00000197442,ENSG00000113249,ENSG00000126368,ENSG00000211747,ENSG00000130508,ENSG00000100413,ENSG00000181481,ENSG00000211638,ENSG00000104998,ENSG00000163564,ENSG00000171793,ENSG00000164136,ENSG00000112182,ENSG00000151690,ENSG00000184304,ENSG00000112096,ENSG00000130300,ENSG00000171843,ENSG00000152804,ENSG00000136960,ENSG00000278030,ENSG00000132359,ENSG00000112561,ENSG00000211721,ENSG00000049249,ENSG00000077984,ENSG00000136999,ENSG00000134460,ENSG00000135898,ENSG00000135426,ENSG00000118432,ENSG00000211651,ENSG00000110013,ENSG00000049245,ENSG00000134954,ENSG00000282420,ENSG00000109743,ENSG00000143669,ENSG00000232810,ENSG00000115956,ENSG00000178035,ENSG00000172575,ENSG00000139370,ENSG00000204388,ENSG00000056972,ENSG00000073849,ENSG00000144476,ENSG00000163220,ENSG00000101966,ENSG00000211752,ENSG00000140577,ENSG00000164342,ENSG00000211772,ENSG00000066336,ENSG00000168214,ENSG00000178562,ENSG00000184584,ENSG00000009694,ENSG00000100298,ENSG00000005194,ENSG00000015475,ENSG00000222028,ENSG00000168495,ENSG00000147896,ENSG00000216490,ENSG00000211799,ENSG00000188906,ENSG00000277734,ENSG00000198736,ENSG00000243466,ENSG00000111859,ENSG00000197971,ENSG00000137462,ENSG00000170989,ENSG00000172216,ENSG00000273820,ENSG00000070404,ENSG00000254087,ENSG00000211652,ENSG00000109861,ENSG00000281958,ENSG00000101916,ENSG00000166526,ENSG00000011600,ENSG00000018280,ENSG00000211941,ENSG00000165030,ENSG00000244437,ENSG00000136689,ENSG00000157216,ENSG00000282133,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000240864,ENSG00000116251,ENSG00000197329,ENSG00000140368,ENSG00000136694,ENSG00000081189,ENSG00000102245,ENSG00000071889,ENSG00000079950,ENSG00000120738,ENSG00000169230,ENSG00000134352,ENSG00000089902,ENSG00000173585,ENSG00000125378,ENSG00000173511,ENSG00000211746,ENSG00000090487,ENSG00000109943,ENSG00000182580,ENSG00000008438,ENSG00000160219,ENSG00000169884,ENSG00000167193,ENSG00000244575,ENSG00000163131,ENSG00000153551,ENSG00000116701,ENSG00000107099,ENSG00000095002,ENSG00000116514,ENSG00000064393,ENSG00000101265,ENSG00000166747,ENSG00000142867,ENSG00000090776,ENSG00000115590,ENSG00000134215,ENSG00000074966,ENSG00000204590,ENSG00000197943,ENSG00000165025,ENSG00000109684,ENSG00000166086,ENSG00000174130,ENSG00000105851,ENSG00000006042
GO:0046649	ENSG00000126353,ENSG00000173762,ENSG00000057657,ENSG00000172116,ENSG00000117322,ENSG00000138795,ENSG00000139193,ENSG00000124813,ENSG00000081059,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000110448,ENSG00000125084,ENSG00000163600,ENSG00000152495,ENSG00000127152,ENSG00000167664,ENSG00000211751,ENSG00000048052,ENSG00000196839,ENSG00000144161,ENSG00000131507,ENSG00000103522,ENSG00000122224,ENSG00000160654,ENSG00000198851,ENSG00000168685,ENSG00000115738,ENSG00000138814,ENSG00000204482,ENSG00000067082,ENSG00000124766,ENSG00000104998,ENSG00000171793,ENSG00000164136,ENSG00000152804,ENSG00000049249,ENSG00000134460,ENSG00000135426,ENSG00000109743,ENSG00000178035,ENSG00000172575,ENSG00000139370,ENSG00000056972,ENSG00000211772,ENSG00000066336,ENSG00000168214,ENSG00000178562,ENSG00000015475,ENSG00000222028,ENSG00000147896,ENSG00000277734,ENSG00000111859,ENSG00000172216,ENSG00000254087,ENSG00000011600,ENSG00000018280,ENSG00000211941,ENSG00000165030,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000116251,ENSG00000197329,ENSG00000081189,ENSG00000102245,ENSG00000120738,ENSG00000169230,ENSG00000134352,ENSG00000173585,ENSG00000125378,ENSG00000109943,ENSG00000008438,ENSG00000169884,ENSG00000153551,ENSG00000107099,ENSG00000095002,ENSG00000166747,ENSG00000142867,ENSG00000090776,ENSG00000134215,ENSG00000197943,ENSG00000165025,ENSG00000109684,ENSG00000105851,ENSG00000006042
GO:0006955	ENSG00000143502,ENSG00000126353,ENSG00000173762,ENSG00000057657,ENSG00000172116,ENSG00000153898,ENSG00000183439,ENSG00000136068,ENSG00000117322,ENSG00000138795,ENSG00000139193,ENSG00000226660,ENSG00000081059,ENSG00000239855,ENSG00000182566,ENSG00000182866,ENSG00000166311,ENSG00000174500,ENSG00000211809,ENSG00000211804,ENSG00000000971,ENSG00000124181,ENSG00000163600,ENSG00000152495,ENSG00000282780,ENSG00000145911,ENSG00000167996,ENSG00000155629,ENSG00000167664,ENSG00000211751,ENSG00000121057,ENSG00000119401,ENSG00000180370,ENSG00000276953,ENSG00000196839,ENSG00000147324,ENSG00000131507,ENSG00000103522,ENSG00000122224,ENSG00000159128,ENSG00000000003,ENSG00000160654,ENSG00000211640,ENSG00000162924,ENSG00000254126,ENSG00000198851,ENSG00000168685,ENSG00000160185,ENSG00000241755,ENSG00000204482,ENSG00000256590,ENSG00000282173,ENSG00000102760,ENSG00000197442,ENSG00000126368,ENSG00000211747,ENSG00000130508,ENSG00000100413,ENSG00000181481,ENSG00000211638,ENSG00000104998,ENSG00000163564,ENSG00000164136,ENSG00000112182,ENSG00000184304,ENSG00000136960,ENSG00000278030,ENSG00000132359,ENSG00000112561,ENSG00000211721,ENSG00000077984,ENSG00000134460,ENSG00000135426,ENSG00000118432,ENSG00000211651,ENSG00000049245,ENSG00000134954,ENSG00000282420,ENSG00000109743,ENSG00000143669,ENSG00000232810,ENSG00000172575,ENSG00000139370,ENSG00000204388,ENSG00000056972,ENSG00000073849,ENSG00000144476,ENSG00000163220,ENSG00000101966,ENSG00000211752,ENSG00000164342,ENSG00000211772,ENSG00000066336,ENSG00000168214,ENSG00000178562,ENSG00000184584,ENSG00000009694,ENSG00000100298,ENSG00000168495,ENSG00000147896,ENSG00000211799,ENSG00000277734,ENSG00000198736,ENSG00000243466,ENSG00000197971,ENSG00000137462,ENSG00000172216,ENSG00000273820,ENSG00000254087,ENSG00000211652,ENSG00000109861,ENSG00000281958,ENSG00000101916,ENSG00000011600,ENSG00000018280,ENSG00000211941,ENSG00000165030,ENSG00000244437,ENSG00000136689,ENSG00000282133,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000240864,ENSG00000197329,ENSG00000140368,ENSG00000136694,ENSG00000081189,ENSG00000102245,ENSG00000071889,ENSG00000079950,ENSG00000134352,ENSG00000173585,ENSG00000211746,ENSG00000090487,ENSG00000109943,ENSG00000008438,ENSG00000167193,ENSG00000244575,ENSG00000163131,ENSG00000116701,ENSG00000095002,ENSG00000116514,ENSG00000166747,ENSG00000142867,ENSG00000115590,ENSG00000134215,ENSG00000074966,ENSG00000204590,ENSG00000197943,ENSG00000165025,ENSG00000109684,ENSG00000166086,ENSG00000174130,ENSG00000105851,ENSG00000006042
GO:0050865	ENSG00000126353,ENSG00000164867,ENSG00000057657,ENSG00000178732,ENSG00000138795,ENSG00000139193,ENSG00000081059,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000135919,ENSG00000110448,ENSG00000163600,ENSG00000152495,ENSG00000167664,ENSG00000211751,ENSG00000196839,ENSG00000144161,ENSG00000147324,ENSG00000131507,ENSG00000154229,ENSG00000198851,ENSG00000132718,ENSG00000168685,ENSG00000115738,ENSG00000138814,ENSG00000204482,ENSG00000124766,ENSG00000113249,ENSG00000126368,ENSG00000104998,ENSG00000164136,ENSG00000178726,ENSG00000049249,ENSG00000077984,ENSG00000134460,ENSG00000135426,ENSG00000118432,ENSG00000109743,ENSG00000232810,ENSG00000115956,ENSG00000172575,ENSG00000139370,ENSG00000211772,ENSG00000066336,ENSG00000178562,ENSG00000015475,ENSG00000188906,ENSG00000111859,ENSG00000172216,ENSG00000113721,ENSG00000254087,ENSG00000109861,ENSG00000011600,ENSG00000156052,ENSG00000211941,ENSG00000013725,ENSG00000135870,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000111537,ENSG00000197329,ENSG00000081189,ENSG00000102245,ENSG00000169230,ENSG00000134352,ENSG00000125378,ENSG00000109943,ENSG00000008438,ENSG00000169884,ENSG00000107099,ENSG00000095002,ENSG00000166747,ENSG00000142867,ENSG00000090776,ENSG00000134215,ENSG00000074966,ENSG00000165025,ENSG00000109684,ENSG00000174130
GO:0042110	ENSG00000126353,ENSG00000173762,ENSG00000057657,ENSG00000172116,ENSG00000138795,ENSG00000139193,ENSG00000124813,ENSG00000081059,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000110448,ENSG00000125084,ENSG00000163600,ENSG00000152495,ENSG00000127152,ENSG00000167664,ENSG00000211751,ENSG00000196839,ENSG00000144161,ENSG00000131507,ENSG00000122224,ENSG00000160654,ENSG00000198851,ENSG00000168685,ENSG00000138814,ENSG00000124766,ENSG00000104998,ENSG00000171793,ENSG00000164136,ENSG00000049249,ENSG00000134460,ENSG00000135426,ENSG00000172575,ENSG00000056972,ENSG00000211772,ENSG00000066336,ENSG00000178562,ENSG00000015475,ENSG00000222028,ENSG00000147896,ENSG00000277734,ENSG00000172216,ENSG00000254087,ENSG00000018280,ENSG00000013725,ENSG00000135870,ENSG00000069974,ENSG00000153310,ENSG00000125726,ENSG00000153563,ENSG00000111537,ENSG00000116251,ENSG00000197329,ENSG00000102245,ENSG00000120738,ENSG00000169230,ENSG00000134352,ENSG00000173585,ENSG00000125378,ENSG00000109943,ENSG00000169884,ENSG00000107099,ENSG00000142867,ENSG00000090776,ENSG00000165025,ENSG00000105851,ENSG00000006042
GO:0050793	ENSG00000182742,ENSG00000162738,ENSG00000173114,ENSG00000120093,ENSG00000122378,ENSG00000162337,ENSG00000142798,ENSG00000164867,ENSG00000057657,ENSG00000168646,ENSG00000169242,ENSG00000158301,ENSG00000221866,ENSG00000183691,ENSG00000006638,ENSG00000005513,ENSG00000139211,ENSG00000136997,ENSG00000132846,ENSG00000146555,ENSG00000147257,ENSG00000120756,ENSG00000181690,ENSG00000181754,ENSG00000138795,ENSG00000139193,ENSG00000154764,ENSG00000275342,ENSG00000124813,ENSG00000064309,ENSG00000091129,ENSG00000118200,ENSG00000277586,ENSG00000081059,ENSG00000169992,ENSG00000106991,ENSG00000057935,ENSG00000177732,ENSG00000112655,ENSG00000213626,ENSG00000168056,ENSG00000135679,ENSG00000182566,ENSG00000213923,ENSG00000266524,ENSG00000169083,ENSG00000172867,ENSG00000135919,ENSG00000161791,ENSG00000125084,ENSG00000061337,ENSG00000179915,ENSG00000261150,ENSG00000104290,ENSG00000124181,ENSG00000179593,ENSG00000152495,ENSG00000074527,ENSG00000105088,ENSG00000117318,ENSG00000127152,ENSG00000119314,ENSG00000167664,ENSG00000101405,ENSG00000197283,ENSG00000130005,ENSG00000119401,ENSG00000186260,ENSG00000180370,ENSG00000109458,ENSG00000048052,ENSG00000196839,ENSG00000154856,ENSG00000144161,ENSG00000169252,ENSG00000146674,ENSG00000203485,ENSG00000196358,ENSG00000131507,ENSG00000134698,ENSG00000197555,ENSG00000154229,ENSG00000133895,ENSG00000143126,ENSG00000102878,ENSG00000164938,ENSG00000168685,ENSG00000134986,ENSG00000143434,ENSG00000065361,ENSG00000115738,ENSG00000146904,ENSG00000071575,ENSG00000138814,ENSG00000040608,ENSG00000114739,ENSG00000148468,ENSG00000148737,ENSG00000132932,ENSG00000169554,ENSG00000128656,ENSG00000204482,ENSG00000141576,ENSG00000124766,ENSG00000102760,ENSG00000197442,ENSG00000126368,ENSG00000073756,ENSG00000145287,ENSG00000206190,ENSG00000164136,ENSG00000140682,ENSG00000184304,ENSG00000112096,ENSG00000107742,ENSG00000171843,ENSG00000152804,ENSG00000136960,ENSG00000150907,ENSG00000019144,ENSG00000154734,ENSG00000077984,ENSG00000136999,ENSG00000134460,ENSG00000135898,ENSG00000159556,ENSG00000213719,ENSG00000165802,ENSG00000135426,ENSG00000107104,ENSG00000165060,ENSG00000135622,ENSG00000110987,ENSG00000173406,ENSG00000134954,ENSG00000099953,ENSG00000185920,ENSG00000183023,ENSG00000132386,ENSG00000137270,ENSG00000232810,ENSG00000135414,ENSG00000174306,ENSG00000172575,ENSG00000204388,ENSG00000164050,ENSG00000183762,ENSG00000148926,ENSG00000073849,ENSG00000196581,ENSG00000134243,ENSG00000164342,ENSG00000066336,ENSG00000163466,ENSG00000168214,ENSG00000178562,ENSG00000197296,ENSG00000176788,ENSG00000188906,ENSG00000111859,ENSG00000197971,ENSG00000109819,ENSG00000196549,ENSG00000137462,ENSG00000088256,ENSG00000170989,ENSG00000148498,ENSG00000172216,ENSG00000139132,ENSG00000004487,ENSG00000077782,ENSG00000070404,ENSG00000254087,ENSG00000188157,ENSG00000109861,ENSG00000113758,ENSG00000011600,ENSG00000162643,ENSG00000146122,ENSG00000157216,ENSG00000135870,ENSG00000136040,ENSG00000153310,ENSG00000173482,ENSG00000139668,ENSG00000108557,ENSG00000135334,ENSG00000111537,ENSG00000081189,ENSG00000168758,ENSG00000169230,ENSG00000047644,ENSG00000134352,ENSG00000104881,ENSG00000089902,ENSG00000135547,ENSG00000125378,ENSG00000173511,ENSG00000109943,ENSG00000127603,ENSG00000146535,ENSG00000106211,ENSG00000182580,ENSG00000163382,ENSG00000008438,ENSG00000204628,ENSG00000008300,ENSG00000088899,ENSG00000140396,ENSG00000114554,ENSG00000169884,ENSG00000116106,ENSG00000167193,ENSG00000170558,ENSG00000138443,ENSG00000186174,ENSG00000175793,ENSG00000095002,ENSG00000122694,ENSG00000079691,ENSG00000064393,ENSG00000101265,ENSG00000135766,ENSG00000134107,ENSG00000131389,ENSG00000165730,ENSG00000185386,ENSG00000165025,ENSG00000074660,ENSG00000006042
GO:0002694	ENSG00000126353,ENSG00000057657,ENSG00000138795,ENSG00000139193,ENSG00000081059,ENSG00000177732,ENSG00000089012,ENSG00000107968,ENSG00000182566,ENSG00000182866,ENSG00000110448,ENSG00000163600,ENSG00000152495,ENSG00000167664,ENSG00000211751,ENSG00000196839,ENSG00000144161,ENSG00000147324,ENSG00000131507,ENSG00000198851,ENSG00000132718,ENSG00000168685,ENSG00000115738,ENSG00000138814,ENSG00000204482,ENSG00000124766,ENSG00000113249,ENSG00000126368,ENSG00000104998,ENSG00000164136,ENSG00000049249,ENSG00000077984,ENSG00000134460,ENSG00000135426,ENSG00000118432,ENSG00000109743,ENSG00000232810,ENSG00000172575,ENSG00000139370,ENSG00000211772,ENSG00000066336,ENSG00000178562,ENSG00000015475,ENSG00000188906,ENSG00000111859,ENSG00000172216,ENSG00000254087,ENSG00000109861,ENSG00000011600,ENSG00000211941,ENSG00000013725,ENSG00000135870,ENSG00000153310,ENSG00000135334,ENSG00000125726,ENSG00000111537,ENSG00000197329,ENSG00000081189,ENSG00000102245,ENSG00000169230,ENSG00000134352,ENSG00000125378,ENSG00000109943,ENSG00000008438,ENSG00000169884,ENSG00000107099,ENSG00000095002,ENSG00000166747,ENSG00000142867,ENSG00000090776,ENSG00000134215,ENSG00000165025,ENSG00000109684,ENSG00000174130
