status	ok
max_sites	2500
target_sites_used	2500
reference_overlap	2121
stderr_view	[W::libcurl_open] Retrying open (attempt 1/3) | [W::libcurl_open] Retrying open (attempt 2/3) | [W::libcurl_open] Retrying open (attempt 3/3) | 
sample	rank	ref_sample	pop	super_pop	compared	matches	match_rate	mean_abs_dosage_diff
Sample1	1	HG03557	MSL	AFR	2121	1538	0.725130	0.305045
Sample1	2	HG02314	ACB	AFR	2121	1500	0.707214	0.311645
Sample1	3	NA19197	YRI	AFR	2121	1491	0.702970	0.327204
Sample1	4	NA19041	LWK	AFR	2121	1484	0.699670	0.307402
Sample1	5	NA19035	LWK	AFR	2121	1480	0.697784	0.322961
Sample1	6	HG01990	ACB	AFR	2121	1473	0.694484	0.330504
Sample1	7	HG03538	GWD	AFR	2121	1468	0.692126	0.352192
Sample1	8	NA19473	LWK	AFR	2121	1467	0.691655	0.349835
Sample1	9	HG02646	GWD	AFR	2121	1465	0.690712	0.347478
Sample1	10	NA19141	YRI	AFR	2121	1463	0.689769	0.328619
Sample1	11	HG02922	ESN	AFR	2121	1462	0.689298	0.356907
Sample1	12	HG03198	ESN	AFR	2121	1461	0.688826	0.329562
Sample1	13	HG01948	PEL	AMR	2121	1460	0.688355	0.334748
Sample1	14	HG03159	ESN	AFR	2121	1452	0.684583	0.357379
Sample1	15	HG02095	ACB	AFR	2121	1452	0.684583	0.358322
Sample1	16	HG03460	MSL	AFR	2121	1452	0.684583	0.365865
Sample1	17	NA19043	LWK	AFR	2121	1451	0.684111	0.333805
Sample1	18	HG02508	ACB	AFR	2121	1449	0.683168	0.347478
Sample1	19	NA19394	LWK	AFR	2121	1448	0.682697	0.339934
Sample1	20	HG02884	GWD	AFR	2121	1448	0.682697	0.344649
Sample2	1	NA19390	LWK	AFR	2121	1520	0.716643	0.291372
Sample2	2	HG03342	ESN	AFR	2121	1512	0.712871	0.299387
Sample2	3	HG03061	MSL	AFR	2121	1510	0.711928	0.305516
Sample2	4	HG02583	GWD	AFR	2121	1505	0.709571	0.309288
Sample2	5	NA19323	LWK	AFR	2121	1492	0.703442	0.309760
Sample2	6	NA19701	ASW	AFR	2121	1492	0.703442	0.313531
Sample2	7	NA19834	ASW	AFR	2121	1488	0.701556	0.329562
Sample2	8	HG03202	ESN	AFR	2121	1487	0.701084	0.316832
Sample2	9	NA19138	YRI	AFR	2121	1487	0.701084	0.333805
Sample2	10	HG03478	MSL	AFR	2121	1477	0.696370	0.330033
Sample2	11	HG03198	ESN	AFR	2121	1471	0.693541	0.316832
Sample2	12	NA18879	YRI	AFR	2121	1471	0.693541	0.329090
Sample2	13	HG03369	ESN	AFR	2121	1470	0.693069	0.320603
Sample2	14	HG02317	ACB	AFR	2121	1469	0.692598	0.329562
Sample2	15	HG02549	ACB	AFR	2121	1469	0.692598	0.330504
Sample2	16	HG03343	ESN	AFR	2121	1468	0.692126	0.325790
Sample2	17	HG02343	ACB	AFR	2121	1465	0.690712	0.330504
Sample2	18	HG02594	GWD	AFR	2121	1464	0.690240	0.336162
Sample2	19	HG03439	MSL	AFR	2121	1461	0.688826	0.326733
Sample2	20	NA19185	YRI	AFR	2121	1459	0.687883	0.331919
Sample3	1	HG02724	PJL	SAS	2121	2085	0.983027	0.017445
Sample3	2	HG01167	PUR	AMR	2121	1533	0.722772	0.306459
Sample3	3	HG00190	FIN	EUR	2121	1511	0.712400	0.288543
Sample3	4	HG02733	PJL	SAS	2121	1490	0.702499	0.307402
Sample3	5	HG03969	ITU	SAS	2121	1487	0.701084	0.306931
Sample3	6	HG01303	PUR	AMR	2121	1475	0.695427	0.335219
Sample3	7	HG03673	STU	SAS	2121	1472	0.694012	0.314003
Sample3	8	HG02789	PJL	SAS	2121	1467	0.691655	0.333805
Sample3	9	HG00252	GBR	EUR	2121	1466	0.691183	0.336162
Sample3	10	HG03934	BEB	SAS	2121	1465	0.690712	0.341820
Sample3	11	HG02143	ACB	AFR	2121	1464	0.690240	0.337577
Sample3	12	HG04141	BEB	SAS	2121	1460	0.688355	0.331919
Sample3	13	HG00257	GBR	EUR	2121	1457	0.686940	0.324375
Sample3	14	HG03895	STU	SAS	2121	1456	0.686469	0.325318
Sample3	15	HG03908	BEB	SAS	2121	1453	0.685054	0.329090
Sample3	16	HG03836	STU	SAS	2121	1453	0.685054	0.335219
Sample3	17	NA20809	TSI	EUR	2121	1453	0.685054	0.355493
Sample3	18	HG02734	PJL	SAS	2121	1450	0.683640	0.347006
Sample3	19	HG03856	STU	SAS	2121	1446	0.681754	0.336634
Sample3	20	HG01351	CLM	AMR	2121	1446	0.681754	0.348421
Sample4	1	HG00190	FIN	EUR	2121	2096	0.988213	0.012730
Sample4	2	HG02724	PJL	SAS	2121	1512	0.712871	0.288543
Sample4	3	HG00178	FIN	EUR	2121	1482	0.698727	0.305988
Sample4	4	HG00368	FIN	EUR	2121	1475	0.695427	0.312117
Sample4	5	HG00332	FIN	EUR	2121	1474	0.694955	0.316832
Sample4	6	HG03634	PJL	SAS	2121	1473	0.694484	0.327676
Sample4	7	HG01566	PEL	AMR	2121	1470	0.693069	0.312117
Sample4	8	HG00099	GBR	EUR	2121	1469	0.692598	0.336162
Sample4	9	NA12347	CEU	EUR	2121	1463	0.689769	0.320603
Sample4	10	HG00269	FIN	EUR	2121	1462	0.689298	0.316360
Sample4	11	HG00272	FIN	EUR	2121	1459	0.687883	0.341348
Sample4	12	HG03916	BEB	SAS	2121	1457	0.686940	0.329562
Sample4	13	HG00361	FIN	EUR	2121	1454	0.685526	0.319661
Sample4	14	HG00252	GBR	EUR	2121	1454	0.685526	0.326261
Sample4	15	HG03741	STU	SAS	2121	1452	0.684583	0.319661
Sample4	16	HG00257	GBR	EUR	2121	1452	0.684583	0.325790
Sample4	17	NA20770	TSI	EUR	2121	1450	0.683640	0.335691
Sample4	18	HG00245	GBR	EUR	2121	1449	0.683168	0.321075
Sample4	19	NA20507	TSI	EUR	2121	1449	0.683168	0.323904
Sample4	20	NA20887	GIH	SAS	2121	1445	0.681282	0.332390
