status	ok
target_sites_used	2500
reference_overlap	2121
sample	class_rank	super_pop	mean_abs_dosage_diff	match_rate	comparisons	reference_sample_count
Sample1	1	AFR	0.417338	0.625056	1401981	661
Sample1	2	AMR	0.485761	0.573759	735987	347
Sample1	3	EUR	0.498295	0.566627	1066863	503
Sample1	4	SAS	0.503436	0.558355	1037169	489
Sample1	5	EAS	0.559837	0.530827	1068984	504
Sample2	1	AFR	0.399404	0.626135	1401981	661
Sample2	2	AMR	0.499086	0.553705	735987	347
Sample2	3	SAS	0.512799	0.540601	1037169	489
Sample2	4	EUR	0.516870	0.543195	1066863	503
Sample2	5	EAS	0.548142	0.522637	1068984	504
Sample3	1	SAS	0.438467	0.596026	1037169	489
Sample3	2	AMR	0.444823	0.592084	735987	347
Sample3	3	EUR	0.459663	0.581339	1066863	503
Sample3	4	AFR	0.465526	0.572132	1401981	661
Sample3	5	EAS	0.474545	0.572518	1068984	504
Sample4	1	EUR	0.427671	0.591845	1066863	503
Sample4	2	AMR	0.431574	0.588800	735987	347
Sample4	3	SAS	0.443283	0.580799	1037169	489
Sample4	4	AFR	0.471013	0.558293	1401981	661
Sample4	5	EAS	0.492760	0.544830	1068984	504
nearest_individuals
sample	rank	ref_sample	super_pop	mean_abs_dosage_diff	match_rate	compared
Sample1	1	HG03557	AFR	0.305045	0.725130	2121
Sample1	2	NA19041	AFR	0.307402	0.699670	2121
Sample1	3	HG02314	AFR	0.311645	0.707214	2121
Sample1	4	NA19035	AFR	0.322961	0.697784	2121
Sample1	5	NA19197	AFR	0.327204	0.702970	2121
Sample1	6	NA19141	AFR	0.328619	0.689769	2121
Sample1	7	HG03198	AFR	0.329562	0.688826	2121
Sample1	8	HG01990	AFR	0.330504	0.694484	2121
Sample2	1	NA19390	AFR	0.291372	0.716643	2121
Sample2	2	HG03342	AFR	0.299387	0.712871	2121
Sample2	3	HG03061	AFR	0.305516	0.711928	2121
Sample2	4	HG02583	AFR	0.309288	0.709571	2121
Sample2	5	NA19323	AFR	0.309760	0.703442	2121
Sample2	6	NA19701	AFR	0.313531	0.703442	2121
Sample2	7	HG03202	AFR	0.316832	0.701084	2121
Sample2	8	HG03198	AFR	0.316832	0.693541	2121
Sample3	1	HG02724	SAS	0.017445	0.983027	2121
Sample3	2	HG00190	EUR	0.288543	0.712400	2121
Sample3	3	HG01167	AMR	0.306459	0.722772	2121
Sample3	4	HG03969	SAS	0.306931	0.701084	2121
Sample3	5	HG02733	SAS	0.307402	0.702499	2121
Sample3	6	HG03673	SAS	0.314003	0.694012	2121
Sample3	7	HG00257	EUR	0.324375	0.686940	2121
Sample3	8	HG03895	SAS	0.325318	0.686469	2121
Sample4	1	HG00190	EUR	0.012730	0.988213	2121
Sample4	2	HG02724	SAS	0.288543	0.712871	2121
Sample4	3	HG00178	EUR	0.305988	0.698727	2121
Sample4	4	HG00368	EUR	0.312117	0.695427	2121
Sample4	5	HG01566	AMR	0.312117	0.693069	2121
Sample4	6	HG00269	EUR	0.316360	0.689298	2121
Sample4	7	HG00332	EUR	0.316832	0.694955	2121
Sample4	8	HG00361	EUR	0.319661	0.685526	2121
