group	member	n_taxa	n_pairs	mean_patristic_distance	status	error
Animals	1003258at2759.faa.mafft.clipkit.treefile	3	3	1.5591328997999998	ok	
Animals	100698at2759.faa.mafft.clipkit.treefile	3	3	0.47042986953333327	ok	
Animals	1010730at2759.faa.mafft.clipkit.treefile	3	3	1.2812257515333334	ok	
Animals	1014314at2759.faa.mafft.clipkit.treefile	4	6	0.63988531770000001	ok	
Animals	1018517at2759.faa.mafft.clipkit.treefile	4	6	0.56677588683333335	ok	
Animals	1019762at2759.faa.mafft.clipkit.treefile	3	3	1.2219457336666666	ok	
Animals	1038775at2759.faa.mafft.clipkit.treefile	3	3	0.83039013759999991	ok	
Animals	1041560at2759.faa.mafft.clipkit.treefile	3	3	0.80221365933333333	ok	
Animals	1065019at2759.faa.mafft.clipkit.treefile	3	3	1.0825288678666667	ok	
Animals	1079827at2759.faa.mafft.clipkit.treefile	3	3	0.24679564853333333	ok	
Animals	1094121at2759.faa.mafft.clipkit.treefile	3	3	0.75242575826666658	ok	
Animals	1096688at2759.faa.mafft.clipkit.treefile	3	3	0.71925434339999994	ok	
Animals	1112002at2759.faa.mafft.clipkit.treefile	3	3	1.0809956647333334	ok	
Animals	1129824at2759.faa.mafft.clipkit.treefile	3	3	1.2589226904666668	ok	
Animals	1138059at2759.faa.mafft.clipkit.treefile	3	3	0.61597436773333325	ok	
Animals	1157302at2759.faa.mafft.clipkit.treefile	3	3	0.33052243246666663	ok	
Animals	1161199at2759.faa.mafft.clipkit.treefile	3	3	1.022787997	ok	
Animals	1173229at2759.faa.mafft.clipkit.treefile	4	6	1.3465436398166666	ok	
Animals	1193442at2759.faa.mafft.clipkit.treefile	4	6	0.85468011244999997	ok	
Animals	1194691at2759.faa.mafft.clipkit.treefile	3	3	0.58940207833333336	ok	
Animals	1200489at2759.faa.mafft.clipkit.treefile	3	3	1.2634072330666666	ok	
Animals	1217666at2759.faa.mafft.clipkit.treefile	3	3	0.47258090773333333	ok	
Animals	1249159at2759.faa.mafft.clipkit.treefile	4	6	0.81738607278333342	ok	
Animals	1251252at2759.faa.mafft.clipkit.treefile	3	3	0.82079344473333327	ok	
Animals	1260807at2759.faa.mafft.clipkit.treefile	3	3	1.0687310068666667	ok	
Animals	1264469at2759.faa.mafft.clipkit.treefile	3	3	1.4902947420666666	ok	
Animals	1269244at2759.faa.mafft.clipkit.treefile	3	3	1.1610125099333333	ok	
Animals	1269649at2759.faa.mafft.clipkit.treefile	4	6	0.57398094314999992	ok	
Animals	1284731at2759.faa.mafft.clipkit.treefile	3	3	1.0719411247333335	ok	
Animals	1287094at2759.faa.mafft.clipkit.treefile	3	3	0.97962248980000011	ok	
Animals	1287401at2759.faa.mafft.clipkit.treefile	3	3	0.40560412646666671	ok	
Animals	1291729at2759.faa.mafft.clipkit.treefile	3	3	1.2973927757333332	ok	
Animals	1304061at2759.faa.mafft.clipkit.treefile	3	3	0.42110754820000001	ok	
Animals	1338131at2759.faa.mafft.clipkit.treefile	3	3	0.38388545313333333	ok	
Animals	1342242at2759.faa.mafft.clipkit.treefile	4	6	1.6978771859000001	ok	
Animals	1346165at2759.faa.mafft.clipkit.treefile	3	3	1.4446200683333335	ok	
Animals	1346432at2759.faa.mafft.clipkit.treefile	4	6	1.0664543440833334	ok	
Animals	1355894at2759.faa.mafft.clipkit.treefile	3	3	0.38694382373333336	ok	
Animals	1358374at2759.faa.mafft.clipkit.treefile	3	3	0.88338879600000009	ok	
Animals	1364586at2759.faa.mafft.clipkit.treefile	3	3	1.1996138339333331	ok	
Animals	1370285at2759.faa.mafft.clipkit.treefile	3	3	1.2883555197999998	ok	
Animals	1379600at2759.faa.mafft.clipkit.treefile	3	3	0.95813016006666663	ok	
Animals	1382842at2759.faa.mafft.clipkit.treefile	3	3	0.90143612653333338	ok	
Animals	1405073at2759.faa.mafft.clipkit.treefile	4	6	0.34475838495	ok	
Animals	1421503at2759.faa.mafft.clipkit.treefile	3	3	0.43520266699999999	ok	
Animals	1423847at2759.faa.mafft.clipkit.treefile	3	3	0.69811296580000004	ok	
Animals	1428854at2759.faa.mafft.clipkit.treefile	4	6	1.3544034616500003	ok	
Animals	1432328at2759.faa.mafft.clipkit.treefile	3	3	0.57929108740000002	ok	
Animals	1434266at2759.faa.mafft.clipkit.treefile	3	3	1.4288699071333333	ok	
Animals	1441854at2759.faa.mafft.clipkit.treefile	3	3	0.74753002973333338	ok	
Animals	1445102at2759.faa.mafft.clipkit.treefile	3	3	0.54019620806666668	ok	
Animals	1455730at2759.faa.mafft.clipkit.treefile	3	3	0.45252144813333334	ok	
Animals	1488235at2759.faa.mafft.clipkit.treefile	3	3	0.69140583719999993	ok	
Animals	1488436at2759.faa.mafft.clipkit.treefile	3	3	0.60187680913333341	ok	
Animals	1504863at2759.faa.mafft.clipkit.treefile	4	6	0.71177891500000001	ok	
Animals	1513531at2759.faa.mafft.clipkit.treefile	3	3	0.96276975099999984	ok	
Animals	1525971at2759.faa.mafft.clipkit.treefile	4	6	0.86140779851666671	ok	
Animals	1526152at2759.faa.mafft.clipkit.treefile	3	3	1.2518107352000001	ok	
Animals	1538526at2759.faa.mafft.clipkit.treefile	3	3	0.84110198366666655	ok	
Animals	1545004at2759.faa.mafft.clipkit.treefile	3	3	0.41780904919999995	ok	
Animals	1552706at2759.faa.mafft.clipkit.treefile	3	3	0.6493725668	ok	
Animals	156083at2759.faa.mafft.clipkit.treefile	4	6	0.094635419466666662	ok	
Animals	1620056at2759.faa.mafft.clipkit.treefile	4	6	0.93800567573333327	ok	
Animals	1626636at2759.faa.mafft.clipkit.treefile	3	3	0.52887601113333338	ok	
Animals	1633672at2759.faa.mafft.clipkit.treefile	3	3	0.25712394873333333	ok	
Animals	176625at2759.faa.mafft.clipkit.treefile	3	3	1.6977264919333332	ok	
Animals	271586at2759.faa.mafft.clipkit.treefile	3	3	1.9764695957333336	ok	
Animals	290630at2759.faa.mafft.clipkit.treefile	3	3	0.99915055846666678	ok	
Animals	296129at2759.faa.mafft.clipkit.treefile	3	3	0.62962603373333337	ok	
Animals	306227at2759.faa.mafft.clipkit.treefile	3	3	1.1728052663999999	ok	
Animals	320059at2759.faa.mafft.clipkit.treefile	3	3	0.23898105826666668	ok	
Animals	324863at2759.faa.mafft.clipkit.treefile	3	3	1.5027658922	ok	
Animals	331411at2759.faa.mafft.clipkit.treefile	3	3	0.55172092959999997	ok	
Animals	341721at2759.faa.mafft.clipkit.treefile	4	6	1.4680013384833333	ok	
Animals	355408at2759.faa.mafft.clipkit.treefile	3	3	0.1201200946	ok	
Animals	390348at2759.faa.mafft.clipkit.treefile	3	3	0.23011384866666665	ok	
Animals	39650at2759.faa.mafft.clipkit.treefile	3	3	1.0403453749333333	ok	
Animals	396755at2759.faa.mafft.clipkit.treefile	3	3	0.90985293773333342	ok	
Animals	418107at2759.faa.mafft.clipkit.treefile	3	3	0.70905554566666662	ok	
Animals	453044at2759.faa.mafft.clipkit.treefile	4	6	1.0663724661	ok	
Animals	491869at2759.faa.mafft.clipkit.treefile	3	3	1.3153018301999999	ok	
Animals	570797at2759.faa.mafft.clipkit.treefile	4	6	2.0334451293666667	ok	
Animals	621827at2759.faa.mafft.clipkit.treefile	3	3	1.4191667410666666	ok	
Animals	664730at2759.faa.mafft.clipkit.treefile	4	6	0.54334122753333325	ok	
Animals	673132at2759.faa.mafft.clipkit.treefile	4	6	0.8285599446166666	ok	
Animals	674160at2759.faa.mafft.clipkit.treefile	3	3	1.8706589398000002	ok	
Animals	679771at2759.faa.mafft.clipkit.treefile	3	3	1.4105997872666665	ok	
Animals	720340at2759.faa.mafft.clipkit.treefile	3	3	0.95514596806666674	ok	
Animals	721605at2759.faa.mafft.clipkit.treefile	4	6	1.1962454998500001	ok	
Animals	734666at2759.faa.mafft.clipkit.treefile	3	3	0.71060501239999996	ok	
Animals	777920at2759.faa.mafft.clipkit.treefile	3	3	1.0173571554666667	ok	
Animals	814241at2759.faa.mafft.clipkit.treefile	3	3	0.61956406753333326	ok	
Animals	836599at2759.faa.mafft.clipkit.treefile	3	3	0.67802865153333336	ok	
Animals	866359at2759.faa.mafft.clipkit.treefile	3	3	0.61053875999999996	ok	
Animals	891751at2759.faa.mafft.clipkit.treefile	3	3	1.9117014892000002	ok	
Animals	919955at2759.faa.mafft.clipkit.treefile	3	3	1.0464429820666667	ok	
Animals	974865at2759.faa.mafft.clipkit.treefile	4	6	0.98800033104999996	ok	
Animals	975158at2759.faa.mafft.clipkit.treefile	3	3	0.66256833726666664	ok	
Animals	981902at2759.faa.mafft.clipkit.treefile	3	3	0.89172561280000007	ok	
Animals	996662at2759.faa.mafft.clipkit.treefile	4	6	1.4757947088333332	ok	
Fungi	1001705at2759.faa.mafft.clipkit.treefile	4	6	1.7015966260666666	ok	
Fungi	1003258at2759.faa.mafft.clipkit.treefile	4	6	1.6908806038333335	ok	
Fungi	100698at2759.faa.mafft.clipkit.treefile	4	6	1.0808753392500001	ok	
