gene	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#2_T_cell	Control_#1_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	Control_#3_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#1_monocyte	SARS_CoV2_pos_Severe_#1_platelet	Control_#3_monocyte	Control_#2_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_erythroid_lineage_cell	Control_#3_erythroid_lineage_cell	Control_#3_B_cell	Control_#2_neutrophil	Control_#3_platelet	Control_#2_B_cell	Control_#1_platelet	Control_#1_neutrophil	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_B_cell
CFLAR	1568	939	593	1165	19	633	554	494	76	210	85	242	416	163	0	361	80	120	139	279	17	174	172	30	0	1	19	10	3	33	4	16	25	19
ARF5	359	342	39	346	8	163	163	121	52	50	1	223	159	39	4	246	8	21	36	153	22	132	123	2	0	0	9	5	3	9	6	2	7	6
SKAP2	131	62	106	68	13	32	37	48	74	75	30	190	216	47	5	231	23	69	14	114	24	98	107	16	0	0	16	5	8	11	5	1	6	7
POLR2J	381	307	40	287	26	167	178	126	15	48	5	154	103	32	12	102	6	40	41	78	4	69	65	2	1	0	12	0	1	9	0	1	5	5
KMT2E	1287	1080	167	914	41	690	698	502	13	323	16	214	219	265	14	241	14	181	111	170	2	117	131	14	0	1	51	4	1	49	2	0	36	23
MYCBP2	1371	718	30	742	5	478	483	392	7	281	11	153	255	247	0	278	8	187	104	164	12	137	146	7	0	1	44	2	0	53	4	1	36	22
FBXL3	182	146	41	147	19	97	92	66	8	39	9	80	52	41	0	43	2	21	11	43	3	49	22	2	0	0	6	2	0	9	0	1	3	5
ITGAL	691	291	38	497	3	303	271	200	1	20	9	238	231	25	0	170	5	32	62	169	0	165	102	3	1	1	5	2	0	11	1	1	4	3
KDM7A	156	86	24	152	53	88	66	52	25	32	11	60	84	22	28	104	4	10	8	66	6	41	36	4	2	6	5	1	0	4	0	1	0	5
IFRD1	159	251	215	172	15	235	159	89	117	90	70	56	63	45	2	44	23	22	12	40	12	27	8	29	0	1	8	20	1	15	3	2	10	6
PAFAH1B1	2464	1180	257	1663	40	838	864	610	25	322	90	355	627	368	4	537	32	253	256	377	6	255	287	25	2	2	45	6	2	56	4	11	72	31
PSMB1	937	822	80	766	24	323	309	261	12	177	8	363	278	90	3	252	13	66	100	162	0	152	128	5	1	0	18	3	1	14	0	0	19	10
JARID2	179	129	71	102	14	86	91	45	19	42	15	405	356	45	2	198	8	29	13	170	4	96	105	9	1	1	7	6	2	14	3	2	4	2
CDKL5	268	94	127	165	10	148	171	91	5	16	24	102	239	22	4	189	32	16	24	283	0	148	252	17	0	1	8	7	1	9	0	6	8	8
SPAG9	224	187	219	199	7	138	109	92	10	46	59	159	177	35	0	188	39	36	19	195	3	110	151	15	0	1	9	6	0	17	0	7	6	6
