rank	experiment	biosample	replicates_profiled	pooled_pearson	pooled_spearman	best_single_pearson	best_replicate	best_bam	best_bigwig
1	ENCSR597URK	T-cell	1	0.991325909	0.989369613	0.991325909	1	ENCFF051GHB	ENCFF186BOY
2	ENCSR396ZIN	T-cell	1	0.990007195	0.988399980	0.990007195	1	ENCFF288WLP	ENCFF011IOW
3	ENCSR305WLF	T-cell	1	0.989755359	0.987226623	0.989755359	1	ENCFF337XYS	ENCFF118VBY
4	ENCSR111LTT	T-cell	1	0.989533893	0.988004776	0.989533893	1	ENCFF108ELD	ENCFF372KSU
5	ENCSR662IRS	CD8-positive, alpha-beta T cell	1	0.989280396	0.987004237	0.989280396	1	ENCFF191BAK	ENCFF218MVU
6	ENCSR878ITC	T-cell	1	0.989241955	0.987040783	0.989241955	1	ENCFF625OES	ENCFF176BTL
7	ENCSR769OIG	CD4-positive, alpha-beta T cell	1	0.989191476	0.987854124	0.989191476	1	ENCFF673DMO	ENCFF121ZZH
8	ENCSR251INE	T-cell	1	0.989075859	0.987168305	0.989075859	1	ENCFF377VKY	ENCFF667QSN
9	ENCSR815DWW	T-cell	1	0.989063276	0.985530737	0.989063276	1	ENCFF387TXI	ENCFF009GSJ
10	ENCSR497NLU	T-cell	1	0.988976739	0.986111584	0.988976739	1	ENCFF407PIT	ENCFF829JMH
11	ENCSR473LSX	T-cell	1	0.988915810	0.986503481	0.988915810	1	ENCFF800GJQ	ENCFF505HUJ
12	ENCSR631XIF	T-cell	1	0.988523106	0.989674421	0.988523106	1	ENCFF845VIU	ENCFF378HTI
13	ENCSR036ELY	CD4-positive, alpha-beta T cell	1	0.988522815	0.985799000	0.988522815	1	ENCFF746OZT	ENCFF761XCG
14	ENCSR617NTY	activated T-cell	1	0.988407896	0.986981688	0.988407896	1	ENCFF620SNJ	ENCFF806SGH
15	ENCSR342OGI	T-cell	1	0.988402342	0.985224374	0.988402342	1	ENCFF278OYI	ENCFF300VIJ
16	ENCSR744UQK	CD8-positive, alpha-beta T cell	1	0.988328526	0.987766258	0.988328526	1	ENCFF475JUX	ENCFF465USN
17	ENCSR965JHW	T-cell	1	0.988316756	0.986185453	0.988316756	1	ENCFF207YBC	ENCFF278AJU
18	ENCSR235OZX	CD8-positive, alpha-beta T cell	1	0.988205016	0.984853472	0.988205016	1	ENCFF889DNV	ENCFF991DNH
19	ENCSR502GWQ	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.988172177	0.987903111	0.988172177	1	ENCFF325HML	ENCFF052TCE
20	ENCSR525VCH	effector CD4-positive, alpha-beta T cell	1	0.987975768	0.987968427	0.987975768	1	ENCFF039PMX	ENCFF151NIC
21	ENCSR419CKG	stimulated activated CD4-positive, alpha-beta T cell	1	0.987890621	0.987667507	0.987890621	1	ENCFF373MWN	ENCFF369LDM
22	ENCSR346GIP	CD4-positive, alpha-beta T cell	1	0.987859797	0.984455355	0.987859797	1	ENCFF968CXF	ENCFF802GFK
23	ENCSR254BCA	CD8-positive, alpha-beta T cell	1	0.987859082	0.986690876	0.987859082	1	ENCFF466QWH	ENCFF759BZH
24	ENCSR740DJQ	activated CD4-positive, alpha-beta T cell	1	0.987749494	0.984137328	0.987749494	1	ENCFF016ISY	ENCFF414WEG
25	ENCSR410IYF	T-cell	1	0.987477243	0.985546289	0.987477243	1	ENCFF907FEO	ENCFF319JVY
26	ENCSR635URJ	T-cell	1	0.987443722	0.986463047	0.987443722	1	ENCFF304ENV	ENCFF914OKV
27	ENCSR507XBY	T-cell	1	0.987432761	0.984191758	0.987432761	1	ENCFF809SGB	ENCFF571GCP
28	ENCSR384GGJ	T-helper 1 cell	1	0.987381146	0.986845612	0.987381146	1	ENCFF889NJK	ENCFF906SNG
29	ENCSR863LZT	T-cell	1	0.987315940	0.985690140	0.987315940	1	ENCFF167LIP	ENCFF165MKR
30	ENCSR025EYJ	T-cell	1	0.987217556	0.986627892	0.987217556	1	ENCFF377MQA	ENCFF540HZY
31	ENCSR155NBS	CD4-positive, alpha-beta T cell	1	0.987104299	0.986252325	0.987104299	1	ENCFF979WRO	ENCFF132HLR
32	ENCSR186NTL	T-cell	1	0.987070558	0.982758692	0.987070558	1	ENCFF648TSX	ENCFF743OIJ
33	ENCSR376DAE	CD4-positive, alpha-beta T cell	1	0.987038077	0.985729796	0.987038077	1	ENCFF916EGX	ENCFF753JMD
34	ENCSR676GAW	activated gamma-delta T cell	1	0.987026535	0.986229775	0.987026535	1	ENCFF370USQ	ENCFF109KJR
35	ENCSR671ZRV	central memory CD4-positive, alpha-beta T cell	1	0.986961300	0.988163598	0.986961300	1	ENCFF449DWJ	ENCFF131POA
36	ENCSR930USX	CD4-positive, alpha-beta T cell	1	0.986957131	0.984931229	0.986957131	1	ENCFF318JKL	ENCFF627YJN
37	ENCSR270JQK	T-cell	1	0.986824651	0.985313017	0.986824651	1	ENCFF727ZRD	ENCFF370PCW
38	ENCSR803JVQ	T-cell	1	0.986803163	0.982829642	0.986803163	1	ENCFF055SUH	ENCFF422IHL
39	ENCSR496UER	T-cell	1	0.986764612	0.984765606	0.986764612	1	ENCFF715TCC	ENCFF753PTI
40	ENCSR041PCL	T-cell	1	0.986687246	0.985951404	0.986687246	1	ENCFF071MVM	ENCFF412ONC
41	ENCSR025BWH	CD8-positive, alpha-beta memory T cell	1	0.986648401	0.986147352	0.986648401	1	ENCFF639MWE	ENCFF887FZH
42	ENCSR097AMI	CD8-positive, alpha-beta T cell	1	0.986611485	0.987459117	0.986611485	1	ENCFF240NPO	ENCFF306KBJ
43	ENCSR582QEW	effector memory CD4-positive, alpha-beta T cell	1	0.986580080	0.984795931	0.986580080	1	ENCFF309COD	ENCFF240ZBU
44	ENCSR688DKY	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.986530891	0.986946697	0.986530891	1	ENCFF860JAT	ENCFF125BPF
45	ENCSR173BJC	activated effector memory CD4-positive, alpha-beta T cell	1	0.986421987	0.985472419	0.986421987	1	ENCFF642YUG	ENCFF380MCL
46	ENCSR951MYM	activated CD8-positive, alpha-beta memory T cell	1	0.986310457	0.985610050	0.986310457	1	ENCFF122ZIM	ENCFF056BEG
47	ENCSR542GKI	T-helper 9 cell	1	0.986300812	0.985761676	0.986300812	1	ENCFF238UQP	ENCFF983OAW
48	ENCSR635QIZ	activated T-helper 1 cell	1	0.986237993	0.985645818	0.986237993	1	ENCFF188NQV	ENCFF141RPA
49	ENCSR042WQA	CD4-positive, CD25-positive, alpha-beta regulatory T cell	1	0.986236018	0.985986395	0.986236018	1	ENCFF575MJC	ENCFF042RAY
50	ENCSR167VIP	activated CD8-positive, alpha-beta memory T cell	1	0.986230256	0.985260334	0.986230256	1	ENCFF868LUM	ENCFF211IRR
51	ENCSR198UKY	T-cell	1	0.986172604	0.985202602	0.986172604	1	ENCFF293MVC	ENCFF156UHI
52	ENCSR540VTN	T-cell	1	0.986164780	0.987273277	0.986164780	1	ENCFF096GHS	ENCFF451BTR
53	ENCSR321KUC	CD8-positive, alpha-beta T cell	1	0.986027079	0.986931145	0.986027079	1	ENCFF990TLE	ENCFF492QZP
54	ENCSR486KKY	T follicular helper cell	1	0.985978909	0.984384596	0.985978909	1	ENCFF580HRZ	ENCFF749YXO
55	ENCSR654WXX	CD4-positive, alpha-beta T cell	1	0.985949067	0.985911748	0.985949067	1	ENCFF798CVZ	ENCFF008UII
56	ENCSR287GYT	stimulated activated CD4-positive, alpha-beta T cell	1	0.985946976	0.986735975	0.985946976	1	ENCFF046LCT	ENCFF860DNN
57	ENCSR874DUP	activated CD4-positive, alpha-beta T cell	1	0.985881468	0.984774159	0.985881468	1	ENCFF020MVR	ENCFF232OTE
58	ENCSR625WLB	CD8-positive, alpha-beta memory T cell	1	0.985861733	0.985748458	0.985861733	1	ENCFF461QHE	ENCFF245YIL
59	ENCSR627QIA	T-cell	1	0.985846856	0.983345759	0.985846856	1	ENCFF283USW	ENCFF344QUF
60	ENCSR552TPH	T-cell	1	0.985820816	0.989064027	0.985820816	1	ENCFF558ELY	ENCFF609DSZ
61	ENCSR531AYV	naive thymus-derived CD4-positive, alpha-beta T cell	1	0.985771526	0.984551774	0.985771526	1	ENCFF145NLF	ENCFF275AAG
62	ENCSR735MJZ	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.985750631	0.984502787	0.985750631	1	ENCFF431EGV	ENCFF678ORF
63	ENCSR595THL	activated T-helper 1 cell	1	0.985724886	0.985739127	0.985724886	1	ENCFF418EXB	ENCFF328WBJ
64	ENCSR660FSU	activated T-cell	1	0.985704938	0.985417212	0.985704938	1	ENCFF349RNU	ENCFF731KOK
65	ENCSR217PZP	T-cell	1	0.985586459	0.981941463	0.985586459	1	ENCFF906TNE	ENCFF950WGH
66	ENCSR104QUE	activated gamma-delta T cell	1	0.985530742	0.986050933	0.985530742	1	ENCFF404MRF	ENCFF671XRX
67	ENCSR266NDC	stimulated activated CD4-positive, alpha-beta T cell	1	0.985473697	0.986329304	0.985473697	1	ENCFF503HKL	ENCFF016SWR
68	ENCSR561ZLY	T-cell	1	0.985434152	0.982797570	0.985434152	1	ENCFF201MUP	ENCFF505ELW
69	ENCSR732IFV	activated effector memory CD4-positive, alpha-beta T cell	1	0.985424856	0.984566548	0.985424856	1	ENCFF854NWN	ENCFF526ZOQ
70	ENCSR904GDU	CD4-positive, alpha-beta T cell	1	0.985409430	0.987106877	0.985409430	1	ENCFF884KLV	ENCFF361NLP
71	ENCSR546FUC	CD4-positive, alpha-beta T cell	1	0.985402451	0.986250770	0.985402451	1	ENCFF881RHO	ENCFF201MRV
72	ENCSR396EWH	activated naive CD4-positive, alpha-beta T cell	1	0.985334328	0.984343384	0.985334328	1	ENCFF410YVW	ENCFF229FLG
73	ENCSR389BWT	CD4-positive, alpha-beta T cell	1	0.985287503	0.987644179	0.985287503	1	ENCFF502CST	ENCFF565PUW
74	ENCSR720TCN	activated CD4-positive, alpha-beta memory T cell	1	0.985246683	0.984709621	0.985246683	1	ENCFF417SCC	ENCFF212LAY
75	ENCSR433WOV	activated T-helper 9 cell	1	0.985245595	0.984578989	0.985245595	1	ENCFF089LIB	ENCFF760FTT
76	ENCSR697FME	CD4-positive, alpha-beta T cell	1	0.985209771	0.984060348	0.985209771	1	ENCFF859NRU	ENCFF029XBE
77	ENCSR653OVF	activated T-cell	1	0.984996971	0.981679421	0.984996971	1	ENCFF318YBS	ENCFF233JIA
78	ENCSR536VAY	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.984821350	0.986295869	0.984821350	1	ENCFF581VZB	ENCFF841DAP
79	ENCSR380TXB	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.984795724	0.983320099	0.984795724	1	ENCFF537VIW	ENCFF990VDF
80	ENCSR705GCU	CD8-positive, alpha-beta memory T cell	1	0.984779477	0.983865955	0.984779477	1	ENCFF356WGA	ENCFF098QPB
81	ENCSR749YCR	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.984767180	0.986148130	0.984767180	1	ENCFF024UTK	ENCFF461MVZ
82	ENCSR581RSO	T-cell	1	0.984756764	0.981455480	0.984756764	1	ENCFF890PGM	ENCFF501FTF
83	ENCSR366KPR	CD4-positive, alpha-beta T cell	1	0.984698655	0.984475572	0.984698655	1	ENCFF292CZL	ENCFF586ZEQ
84	ENCSR322BYN	activated CD4-positive, alpha-beta T cell	1	0.984669983	0.981831048	0.984669983	1	ENCFF581PGG	ENCFF180JWH
85	ENCSR467MSP	T-cell	1	0.984662351	0.980097061	0.984662351	1	ENCFF821PAI	ENCFF731MVA
86	ENCSR715TMH	T-cell	1	0.984628896	0.980206699	0.984628896	1	ENCFF423ZPD	ENCFF142VCT
87	ENCSR060ZXQ	CD4-positive, alpha-beta T cell	1	0.984621422	0.985939741	0.984621422	1	ENCFF031GZH	ENCFF068KJY
88	ENCSR335EYA	stimulated activated CD8-positive, alpha-beta memory T cell	1	0.984601445	0.988072622	0.984601445	1	ENCFF846AOP	ENCFF199TWN
89	ENCSR953UJL	stimulated activated CD4-positive, alpha-beta T cell	1	0.984468249	0.985564173	0.984468249	1	ENCFF817ZNY	ENCFF640BEZ
90	ENCSR778DWG	activated naive CD4-positive, alpha-beta T cell	1	0.984427507	0.982450773	0.984427507	1	ENCFF104EGX	ENCFF311NAL
91	ENCSR419OAR	T-cell	1	0.984401729	0.981789836	0.984401729	1	ENCFF018HDG	ENCFF878FQR
92	ENCSR180KMR	activated CD4-positive, alpha-beta T cell	1	0.984342840	0.984442136	0.984342840	1	ENCFF420MCP	ENCFF848AKF
93	ENCSR787ERP	naive thymus-derived CD4-positive, alpha-beta T cell	1	0.984232769	0.982547192	0.984232769	1	ENCFF626JAC	ENCFF613RDW
94	ENCSR696LPC	activated CD4-positive, alpha-beta T cell	1	0.984174313	0.986284983	0.984174313	1	ENCFF739DIO	ENCFF473VAY
95	ENCSR121BSW	activated CD4-positive, alpha-beta T cell	1	0.984121579	0.987163640	0.984121579	1	ENCFF072YRU	ENCFF499LCF
96	ENCSR332HAD	naive thymus-derived CD8-positive, alpha-beta T cell	1	0.984001531	0.980229248	0.984001531	1	ENCFF686WEN	ENCFF201XEO
97	ENCSR559QCM	CD8-positive, alpha-beta T cell	1	0.983968023	0.987088215	0.983968023	1	ENCFF083FOQ	ENCFF528BNZ
98	ENCSR623PVB	T-helper 17 cell	1	0.983949477	0.983494275	0.983949477	1	ENCFF600KBG	ENCFF943ISW
99	ENCSR698VDM	activated CD4-positive, alpha-beta T cell	1	0.983851220	0.983418073	0.983851220	1	ENCFF182ETW	ENCFF004FDW
100	ENCSR385XHV	T-cell	1	0.983765176	0.986590569	0.983765176	1	ENCFF664LPX	ENCFF091ALI
