rank	experiment	biosample	bigwig	combined_equal_chromosome_pearson	chr1_pearson	chr19_pearson	chrX_pearson
1	ENCSR597URK	T-cell	ENCFF186BOY	0.986162398	0.982356574	0.988735007	0.991268261
2	ENCSR396ZIN	T-cell	ENCFF011IOW	0.981023809	0.977821629	0.985315358	0.984520847
3	ENCSR631XIF	T-cell	ENCFF378HTI	0.980443728	0.977682169	0.985793509	0.982840233
4	ENCSR251INE	T-cell	ENCFF667QSN	0.979798360	0.976259958	0.984404130	0.983713809
5	ENCSR525VCH	effector CD4-positive, alpha-beta T cell	ENCFF151NIC	0.972448198	0.970907689	0.978772216	0.972530539
6	ENCSR744UQK	CD8-positive, alpha-beta T cell	ENCFF465USN	0.970946492	0.970173772	0.977858238	0.969583042
7	ENCSR235OZX	CD8-positive, alpha-beta T cell	ENCFF991DNH	0.970467665	0.969044350	0.969589347	0.973068514
8	ENCSR662IRS	CD8-positive, alpha-beta T cell	ENCFF218MVU	0.968970988	0.967460146	0.970650023	0.970750841
9	ENCSR965JHW	T-cell	ENCFF278AJU	0.965005929	0.976008554	0.983280263	0.940586511
10	ENCSR497NLU	T-cell	ENCFF829JMH	0.964701888	0.977853745	0.985995130	0.935719317
11	ENCSR111LTT	T-cell	ENCFF372KSU	0.963641710	0.976872331	0.985411986	0.934354277
12	ENCSR878ITC	T-cell	ENCFF176BTL	0.962338095	0.976652630	0.985302419	0.930872729
13	ENCSR815DWW	T-cell	ENCFF009GSJ	0.960238717	0.973056184	0.983797438	0.930938660
14	ENCSR305WLF	T-cell	ENCFF118VBY	0.960190426	0.977174449	0.986589060	0.923175789
15	ENCSR342OGI	T-cell	ENCFF300VIJ	0.959485009	0.974819645	0.983356528	0.926051278
16	ENCSR473LSX	T-cell	ENCFF505HUJ	0.959146448	0.975266779	0.985751146	0.923432438
17	ENCSR769OIG	CD4-positive, alpha-beta T cell	ENCFF121ZZH	0.958083515	0.970233332	0.978594079	0.930993717
18	ENCSR502GWQ	stimulated activated CD8-positive, alpha-beta memory T cell	ENCFF052TCE	0.953519098	0.969885161	0.975383315	0.919193739
19	ENCSR036ELY	CD4-positive, alpha-beta T cell	ENCFF761XCG	0.953371970	0.967154732	0.975317241	0.923137852
20	ENCSR617NTY	activated T-cell	ENCFF806SGH	0.950535085	0.964878391	0.970133954	0.920288016
