record	group	member	treeness	n_treefiles	n_valid	n_failed	median_treeness	difference_fungi_minus_animals
tree	animals	1003258at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	100698at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1010730at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1014314at2759.faa.mafft.clipkit.treefile	0.088402149295929253	100	100	0	0	
tree	animals	1018517at2759.faa.mafft.clipkit.treefile	0.007934556114730892	100	100	0	0	
tree	animals	1019762at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1038775at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1041560at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1065019at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1079827at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1094121at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1096688at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1112002at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1129824at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1138059at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1157302at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1161199at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1173229at2759.faa.mafft.clipkit.treefile	0.028156035224312898	100	100	0	0	
tree	animals	1193442at2759.faa.mafft.clipkit.treefile	0.036568379738801532	100	100	0	0	
tree	animals	1194691at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1200489at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1217666at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1249159at2759.faa.mafft.clipkit.treefile	0.030773428699541486	100	100	0	0	
tree	animals	1251252at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1260807at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1264469at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1269244at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1269649at2759.faa.mafft.clipkit.treefile	0.048656555693380017	100	100	0	0	
tree	animals	1284731at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1287094at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1287401at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1291729at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1304061at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1338131at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1342242at2759.faa.mafft.clipkit.treefile	0.045369180644359484	100	100	0	0	
tree	animals	1346165at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1346432at2759.faa.mafft.clipkit.treefile	0.041178041495804743	100	100	0	0	
tree	animals	1355894at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1358374at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1364586at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1370285at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1379600at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1382842at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1405073at2759.faa.mafft.clipkit.treefile	0.052730819285124735	100	100	0	0	
tree	animals	1421503at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1423847at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
tree	animals	1428854at2759.faa.mafft.clipkit.treefile	0.033632409434070913	100	100	0	0	
tree	animals	1432328at2759.faa.mafft.clipkit.treefile	0	100	100	0	0	
