metric	value
core_signature	IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
core_definition	interferon-gamma signature excluding STAT1 and ISG15 to avoid direct-target circularity
normalization	log1p(count / cell_library_size * 10000)
matrix_dimensions	1000x2455
matrix_nonzero_entries_header	2410284
cells	2455
control_cells	500
control_core_median	3.3260931
control_core_mad	0.046917698
robust_core_hit_count	1
robust_core_hit_guides	guide_012
robust_core_hit_targets	ISG15
