guide_id	target_gene	cells	gene	control_mean_log_norm	guide_mean_log_norm	delta_log_norm	guide_detection_fraction
guide_001	Non-Targeting	50	STAT1	3.3197242	3.3820017	0.062277559	1
guide_001	Non-Targeting	50	ISG15	3.30336	3.377669	0.074308942	1
guide_001	Non-Targeting	50	IFIT1	3.2999318	3.3224463	0.022514459	1
guide_001	Non-Targeting	50	IFIT2	3.3225285	3.2772262	-0.045302346	1
guide_001	Non-Targeting	50	IFIT3	3.2969525	3.3189184	0.021965955	1
guide_001	Non-Targeting	50	MX1	3.3180589	3.3096111	-0.0084478541	1
guide_001	Non-Targeting	50	MX2	3.3426687	3.4050513	0.062382617	1
guide_001	Non-Targeting	50	OAS1	3.3235795	3.3531505	0.029570984	1
guide_001	Non-Targeting	50	OAS2	3.3371846	3.3105277	-0.026656884	1
guide_001	Non-Targeting	50	OAS3	3.3275254	3.3269476	-0.00057773594	1
guide_001	Non-Targeting	50	CXCL10	3.3268748	3.3243254	-0.0025494788	1
guide_001	Non-Targeting	50	CXCL11	3.3081936	3.3640982	0.055904589	1
guide_001	Non-Targeting	50	IRF7	3.3100384	3.3166444	0.0066059537	1
guide_001	Non-Targeting	50	BST2	3.3080094	3.3284559	0.020446512	1
guide_001	Non-Targeting	50	IFI6	3.3423953	3.38276	0.040364732	1
guide_001	Non-Targeting	50	STAT2	3.3399567	3.3494609	0.0095041837	1
guide_001	Non-Targeting	50	EIF2AK2	3.3417999	3.3606187	0.01881885	1
guide_001	Non-Targeting	50	GBP1	3.3322932	3.258612	-0.073681252	1
guide_001	Non-Targeting	50	GBP2	3.306703	3.315159	0.0084559874	1
guide_001	Non-Targeting	50	IDO1	3.345552	3.3677883	0.022236335	1
guide_002	Non-Targeting	50	STAT1	3.3197242	3.2924141	-0.027310067	1
guide_002	Non-Targeting	50	ISG15	3.30336	3.2414188	-0.061941258	1
guide_002	Non-Targeting	50	IFIT1	3.2999318	3.3023526	0.0024207935	1
guide_002	Non-Targeting	50	IFIT2	3.3225285	3.3401167	0.017588215	1
guide_002	Non-Targeting	50	IFIT3	3.2969525	3.3127251	0.015772662	1
guide_002	Non-Targeting	50	MX1	3.3180589	3.3332837	0.015224739	1
guide_002	Non-Targeting	50	MX2	3.3426687	3.3103898	-0.032278886	1
guide_002	Non-Targeting	50	OAS1	3.3235795	3.3826787	0.059099201	1
guide_002	Non-Targeting	50	OAS2	3.3371846	3.3777203	0.040535627	1
guide_002	Non-Targeting	50	OAS3	3.3275254	3.3581236	0.030598267	1
guide_002	Non-Targeting	50	CXCL10	3.3268748	3.3079771	-0.018897731	1
guide_002	Non-Targeting	50	CXCL11	3.3081936	3.2556265	-0.052567111	1
guide_002	Non-Targeting	50	IRF7	3.3100384	3.2824305	-0.027607928	1
guide_002	Non-Targeting	50	BST2	3.3080094	3.3021031	-0.0059062834	1
guide_002	Non-Targeting	50	IFI6	3.3423953	3.4051007	0.062705365	1
guide_002	Non-Targeting	50	STAT2	3.3399567	3.3148987	-0.025057932	1
