metric	value
feature_rows	1000
barcode_rows	2455
matrix_rows	1000
matrix_columns	2455
matrix_nonzero_entries_header	2410284
matrix_nonzero_entries_observed	2410284
matrix_total_count	10540091
assignment_rows	2455
assignment_unique_cells	2455
assignment_unique_guides	50
assignment_duplicate_cell_rows	0
assignment_unknown_guide_rows	0
guide_cells:guide_001:Non-Targeting	50
guide_cells:guide_002:Non-Targeting	50
guide_cells:guide_003:Non-Targeting	50
guide_cells:guide_004:Non-Targeting	50
guide_cells:guide_005:Non-Targeting	50
guide_cells:guide_006:Non-Targeting	50
guide_cells:guide_007:Non-Targeting	50
guide_cells:guide_008:Non-Targeting	50
guide_cells:guide_009:Non-Targeting	50
guide_cells:guide_010:Non-Targeting	50
guide_cells:guide_011:STAT1	5
guide_cells:guide_012:ISG15	50
guide_cells:guide_013:CD103	50
guide_cells:guide_014:ZNF326	50
guide_cells:guide_015:RPL27	50
guide_cells:guide_016:SOX28	50
guide_cells:guide_017:TRIM23	50
guide_cells:guide_018:ZNF20	50
guide_cells:guide_019:IL6	50
guide_cells:guide_020:HOXB5	50
guide_cells:guide_021:CD92	50
guide_cells:guide_022:ZNF264	50
guide_cells:guide_023:ATP27	50
guide_cells:guide_024:ZNF115	50
guide_cells:guide_025:ZNF205	50
guide_cells:guide_026:CD39	50
guide_cells:guide_027:MAPK2	50
guide_cells:guide_028:ZNF122	50
guide_cells:guide_029:MAPK1	50
guide_cells:guide_030:ZNF361	50
guide_cells:guide_031:ZNF329	50
guide_cells:guide_032:TRIM20	50
guide_cells:guide_033:CD83	50
guide_cells:guide_034:ZNF159	50
guide_cells:guide_035:CCL8	50
guide_cells:guide_036:ZNF324	50
guide_cells:guide_037:HOXA1	50
guide_cells:guide_038:TRIM33	50
guide_cells:guide_039:ZNF209	50
guide_cells:guide_040:ATP9	50
guide_cells:guide_041:ZNF359	50
guide_cells:guide_042:ZNF315	50
guide_cells:guide_043:TRIM5	50
guide_cells:guide_044:CD69	50
guide_cells:guide_045:CD149	50
guide_cells:guide_046:ZNF90	50
guide_cells:guide_047:ATP49	50
guide_cells:guide_048:SLC2A1	50
guide_cells:guide_049:ZNF271	50
guide_cells:guide_050:ZNF101	50
