guide_id	target_gene	cells	guide_umi_sum	library_mean	full_delta_median	leave_target_out_delta_median	core_delta_mean	core_delta_median	core_rank_biserial	core_rank_p	leave_target_out_rank_biserial	leave_target_out_p	core_genes_down	core_genes_down_0.1	target_gene_delta	eligible_n_ge_20	robust_core_hit
guide_012	ISG15	50	22569	4187.06	-0.66387107	-0.66173935	-0.66716224	-0.66801195	-1	1.8922822e-31	-1	1.8922822e-31	18	18	-0.785154	True	True
guide_041	ZNF359	50	22524	4300.66	-0.0014013887	-0.0014013887	-0.011267132	-0.0181985	-0.08768	0.30655112	-0.03928	0.64709004	10	1	NA	True	False
guide_045	CD149	50	22619	4315.38	-0.014105989	-0.014105989	-0.012176991	-0.017645283	-0.09984	0.24428022	-0.06904	0.42081108	11	0	NA	True	False
guide_008	Non-Targeting	50	22580	4285.38	-0.014854739	-0.014854739	-0.0039727691	-0.014467492	-0.02568	0.76483388	-0.04752	0.57961711	8	0	NA	True	False
guide_034	ZNF159	50	22278	4297.5	-0.0090876626	-0.0090876626	-0.0055950268	-0.014415394	-0.06752	0.43111725	-0.07672	0.37099209	8	0	NA	True	False
guide_026	CD39	50	22328	4295.06	-0.014618977	-0.014618977	-0.014093019	-0.014384619	-0.12224	0.15395696	-0.14112	0.099771209	11	2	NA	True	False
guide_009	Non-Targeting	50	22390	4278.68	-0.004157006	-0.004157006	-0.0094773877	-0.01314717	-0.0952	0.26690356	-0.08104	0.34464951	8	0	NA	True	False
guide_047	ATP49	50	22649	4300.34	-0.0055778297	-0.0055778297	-0.011394181	-0.012020513	-0.08296	0.33333516	-0.09224	0.28206745	11	1	NA	True	False
guide_024	ZNF115	50	22421	4283.34	0.003163414	0.003163414	-0.0039679135	-0.011936986	-0.04728	0.58153528	0.02208	0.79707217	9	0	NA	True	False
guide_006	Non-Targeting	50	22427	4286.5	-0.0086676365	-0.0086676365	-0.0055862863	-0.011488398	-0.04288	0.61720908	-0.0528	0.53819467	9	0	NA	True	False
guide_050	ZNF101	50	22616	4287.84	-0.0093639135	-0.0093639135	-0.0060088247	-0.010376344	-0.05832	0.4965387	-0.03464	0.68645236	9	0	NA	True	False
guide_014	ZNF326	50	22670	4276.1	-0.0048574955	-0.0048574955	-0.0091142415	-0.009045769	-0.07032	0.41224546	-0.03656	0.67005352	11	0	NA	True	False
guide_017	TRIM23	50	22299	4301.96	-0.0013528295	-0.0013528295	0.003877365	-0.0078813262	0.02936	0.73229595	0.0072	0.93342624	9	0	NA	True	False
guide_022	ZNF264	50	22561	4292.56	-0.0063728226	-0.0063728226	-0.0095181622	-0.0077332785	-0.0684	0.42513278	-0.042	0.62445774	10	0	NA	True	False
